a0,b1,c2,d3,e4,f5
#VMay Settings,,,,,
#setting,value,,,,
#Enforcer stats,,,,,
Enforcer_health,1350,,,,
Enforcer_special_refire,20,,,,
Enforcer_special_detRange,800,,,,
Enforcer_special_detMaxDamage,5500,,,,
Enforcer_special_detMinDamage,4800,,,,
Enforcer_special_autoaim_range,5700,,,,
Enforcer_special_autoaim_cone_angle,40,,,,
,,,,,
#VMAY Damage effects,,,,,
damage_smoke_large_fx,trail/fx_trail_fire_smoke_black_lg,1,,,
damage_smoke_medium_fx,trail/fx_trail_fire_smoke,1,,,
damage_smoke_small_fx,trail/fx_trail_heli_white_smoke,1,,,
damage_fire_large_fx,weapon/muzzleflashes/fx_at4_flash_world,2.5,,,
damage_fire_medium_fx,weapon/muzzleflashes/fx_mini_cannon_flash_base,1,,,
damage_fire_small_fx,weapon/muzzleflashes/fx_mg42hv_flash,0.7,,,
,,,,,
damage_macro_count,8,,,,
damage_macro0,damage_smoke_small_fx,80,40,tag_brakelight_left,
damage_macro1,damage_smoke_small_fx,65,40,tag_brakelight_right,
damage_macro2,damage_smoke_medium_fx,40,0,tag_brakelight_left,
damage_macro3,damage_smoke_medium_fx,40,20,tag_brakelight_right,
damage_macro4,damage_fire_small_fx,40,20,tag_brakelight_right,
damage_macro5,damage_smoke_large_fx,20,0,tag_brakelight_right,
damage_macro6,damage_fire_medium_fx,20,0,tag_brakelight_right,
damage_macro7,damage_smoke_small_fx,20,0,tag_engine_left,
,,,,,
damage_radius,1500,,,,
vehicle_explosion_fx,weapon/rocket/fx_LCI_rocket_explosion_beach,,,,
,,,,,
#game options,,,,,
vmay_op_regen_mode,1,,,,
,,,,,
#regen options,,,,,
regen_heartbeat,0.1,,,,
regen_delay,5,,,,
regen_heal_amount,80,,,,
,,,,,
#pickup options,,,,,
pickup_respawn_time,20,,,,
pickup_deployable_offset,-200,,,,
pickup_swapWeaponTimeout,3,,,,
pickup_location_fx,misc/fx_zombie_powerup_on,,,,
,,,,,
pickup_healthpack_heal_amount,500,,,,
,,,,,
pickup_buntingmine_exp_fx,explosions/fx_flashbang,,,,
pickup_buntingmine_damage,0,,,,
pickup_buntingmine_maxDeviation,0.5,,,,
pickup_buntingmine_buntStrength,450,,,,
pickup_buntingmine_triggerRadius,64,,,,
pickup_buntingmine_triggerHeight,64,,,,
pickup_buntingmine_model,vm_pickups_health,,,,
pickup_buntingmine_offset,200,,,,
pickup_buntingmine_minBuntDelay,500,,,,
pickup_buntingmine_starting_ammo,1,,,,
pickup_buntingmine_deploy_delay,0.5,,,,
,,,,,
pickup_smokescreen_fx,weapon/napalm/fx_napalm_trail_em_lg_mp,,,,
pickup_smokescreen_plumeCount,5,,,,
pickup_smokescreen_plumeSeparationTime,1,,,,
pickup_smokescreen_starting_ammo,1,,,,
,,,,,
pickup_shotgun_starting_ammo,10,,,,
,,,,,
pickup_machinegun_starting_ammo,150,,,,
,,,,,
pickup_missilelauncher_starting_ammo,10,,,,
,,,,,
#kill volume settings,,,,,
minefield_warn_fx,trail/fx_trail_fire_smoke_black_lg,,,,
minefield_death_fx,trail/fx_trail_fire_smoke_black_lg,,,,
minefield_explosion_radius,150,,,,
minefield_warn_minWait,1,,,,
minefield_warn_maxWait,3,,,,
minefield_warn_damage,300,,,,
,,,,,
minefield_death_minWait,0.5,,,,
minefield_death_maxWait,1,,,,
minefield_death_damage,1000,,,,
,,,,,
killvolume_waitTime,0.1,,,,
