a0,b1,c2,d3,e4,f5,g6
# Offline Default Class Data,,,,,,
# index,# stat num,# group,# name,# reference,# stat and reference numbers,#count
# Assault,,,,,,
0,200,defaultclass1,Primary Grenade,frag_grenade,100,1
1,201,defaultclass1,Primary Weapon,ak47,22,
2,202,defaultclass1,Primary Attachment,none,0,
3,203,defaultclass1,Secondary Weapon,colt45,0,
4,204,defaultclass1,Secondary Attachment,none,0,
5,205,defaultclass1,Specialty1,specialty_extraammo,193,
6,206,defaultclass1,Specialty2,specialty_rof,153,
7,207,defaultclass1,Specialty3,specialty_quieter,167,
8,208,defaultclass1,Special Grenade,flash_grenade,103,1
9,209,defaultclass1,Camo is not scripted for offline,camo_none,0,
105,305,defaultclass1,Specialty4,specialty_leadfoot,174,
106,306,defaultclass1,Killstreak1,killstreak_spyplane,1,
107,307,defaultclass1,Killstreak2,killstreak_artillery,8,
108,308,defaultclass1,Killstreak3,killstreak_helicopter,10,
109,309,defaultclass1,Killstreak4,killstreak_dogs,13,
# Guard,,,,,,
10,210,defaultclass2,Primary Grenade,tabun_gas,104,1
11,211,defaultclass2,Primary Weapon,ak47,11,
12,212,defaultclass2,Primary Attachment,none,0,
13,213,defaultclass2,Secondary Weapon,colt45,1,
14,214,defaultclass2,Secondary Attachment,none,0,
15,215,defaultclass2,Specialty1,specialty_extraammo,151,
16,216,defaultclass2,Specialty2,specialty_explosivedamage,156,
17,217,defaultclass2,Specialty3,specialty_grenadepulldeath,164,
18,218,defaultclass2,Special Grenade,flash_grenade,102,1
19,219,defaultclass2,Camo is not scripted for offline,camo_none,0,
115,315,defaultclass2,Specialty4,specialty_ordinance,175,
116,316,defaultclass2,Killstreak1,killstreak_spyplane,1,
117,317,defaultclass2,Killstreak2,killstreak_artillery,8,
118,318,defaultclass2,Killstreak3,killstreak_helicopter,10,
119,319,defaultclass3,Killstreak4,killstreak_dogs,13,
# Specialist,,,,,,
20,220,defaultclass3,Primary Grenade,frag_grenade,100,1
21,221,defaultclass3,Primary Weapon,m60e4,81,
22,222,defaultclass3,Primary Attachment,grip,0,
23,223,defaultclass3,Secondary Weapon,357magnum,4,
