#Skill Table - Data table,,,,,,,,,,,,
#Unique,#Unique,#Unique,,,,#Unique,,,,,,
,#MAX 20,#800+,#2800+,,#0/1,#ch_,,,,,#reference string separated by spaces,
,,,,,,,,,,,,#reference string separated by spaces
a0,b1,c2,d3,e4,f5,g6,h7,,,,,
listsize,24,,,,,,,,,,,
#INDX,#Group,#Skill Index,#Perk Index,#Cost,#Short Name,#Long Name,#Description,,,,,
0,0,0,0,1,marathon,SPPERK_MARATHON1,SPPERK_MARATHON1_LONG,,,,,
1,0,1,0,3,marathon,SPPERK_MARATHON2,SPPERK_MARATHON2_LONG,,,,,
2,0,2,0,8,marathon,SPPERK_MARATHON3,SPPERK_MARATHON3_LONG,,,,,
3,1,0,1,1,scavanger,SPPERK_SCAVANGER1,SPPERK_SCAVANGER1_LONG,,,,,
4,1,1,1,3,scavanger,SPPERK_SCAVANGER2,SPPERK_SCAVANGER2_LONG,,,,,
5,1,2,1,8,scavanger,SPPERK_SCAVANGER3,SPPERK_SCAVANGER3_LONG,,,,,
6,2,0,2,1,sleightofhand,SPPERK_SLIEGHT1,SPPERK_SLIEGHT1_LONG,,,,,
7,2,1,2,3,sleightofhand,SPPERK_SLIEGHT2,SPPERK_SLIEGHT2_LONG,,,,,
8,2,2,2,8,sleightofhand,SPPERK_SLIEGHT3,SPPERK_SLIEGHT3_LONG,,,,,
9,3,0,3,1,stoppingpower,SPPERK_STOPPING1,SPPERK_STOPPING1_LONG,,,,,
10,3,1,3,3,stoppingpower,SPPERK_STOPPING2,SPPERK_STOPPING2_LONG,,,,,
11,3,2,3,8,stoppingpower,SPPERK_STOPPING3,SPPERK_STOPPING3_LONG,,,,,
12,4,0,8,1,commando,SPPERK_COMMANDO1,SPPERK_COMMANDO1_LONG,,,,,
13,4,1,8,3,commando,SPPERK_COMMANDO2,SPPERK_COMMANDO2_LONG,,,,,
14,4,2,8,8,commando,SPPERK_COMMANDO3,SPPERK_COMMANDO3_LONG,,,,,
15,5,0,4,1,steadyaim,SPPERK_STEADYAIM1,SPPERK_STEADYAIM1_LONG,,,,,
16,5,1,4,3,steadyaim,SPPERK_STEADYAIM2,SPPERK_STEADYAIM2_LONG,,,,,
17,5,2,4,8,steadyaim,SPPERK_STEADYAIM3,SPPERK_STEADYAIM3_LONG,,,,,
18,6,0,5,1,flakjacket,SPPERK_FLAKJACKET1,SPPERK_FLAKJACKET1_LONG,,,,,
19,6,1,5,3,flakjacket,SPPERK_FLAKJACKET2,SPPERK_FLAKJACKET2_LONG,,,,,
20,6,2,5,8,flakjacket,SPPERK_FLAKJACKET3,SPPERK_FLAKJACKET3_LONG,,,,,
21,7,0,6,1,juggernaut,SPPERK_JUGGERNAUT1,SPPERK_JUGGERNAUT1_LONG,,,,,
22,7,1,6,3,juggernaut,SPPERK_JUGGERNAUT2,SPPERK_JUGGERNAUT2_LONG,,,,,
23,7,2,6,8,juggernaut,SPPERK_JUGGERNAUT3,SPPERK_JUGGERNAUT3_LONG,,,,,
