name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
# player Pain occlusion system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evt_hurt_loop,CHR\pain\pain_loops\evt_hurt_loop.wav,MUS_NORMAL_LOOP_2D,player_hurt,,event,,,,,,,,,,,,,,,,,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
evt_hurt_badly_loop,CHR\pain\pain_loops\evt_hurt_badly_loop.wav,MUS_NORMAL_LOOP_2D,player_hurt_bad,,event,,,,,,,,,,,,,,,,,,,,,,,,looping,,,,,pain_heavy_occlude,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
chr_tinitus_loop,CHR\tinitus\chr_tinitus_loop.wav,MUS_NORMAL_LOOP_2D,player_hurt,,event,,,,,,,,,,,,,,,,,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
chr_tinitus_loop_silent,CHR\tinitus\chr_tinitus_loop.wav,MUS_NORMAL_LOOP_2D,player_hurt,,event,0,0,,,,,,,,,,,,,,,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr_flashbang_tinnitus_loop,CHR\tinitus\flashbang,,player_flashbang,,event,95,95,,,,,,,,,,,,,0,0,,100,100,0.25,1,2d,streamed,looping,,,,,,quad,,,,,,,,,,,,,,,,,,,,,,,,,,,event
# Squelch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_squelch_strt,dds\squelch_start,VOX_DDS,dds_squelch,,voice,,,,900,,,,,alloff,,,,,,,,,,,,,,loaded,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
