name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
# DOG Sfx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aml_dog_bark,AML/dog/bark,CHR_DOG_EVENT,char_dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
aml_dog_bark_mid,AML/dog/bark,CHR_DOG_EVENT,char_dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
aml_dog_bark_close,AML/dog/close,CHR_DOG_EVENT,char_dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
aml_dog_neckbreak,AML/dog/dog_neckbreak.wav,CHR_DOG_EVENT,char_dog,,,,,,,,,,,,,,,,,,,,,,,,,streamed,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
aml_dog_pain,AML/dog/pain,CHR_DOG_EVENT,char_dog,,,,,,,,,,,,,,,,,,,,,,,,,streamed,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
aml_dog_death,AML/dog/death,CHR_DOG_EVENT,char_dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
aml_dog_attack_jump,AML/dog/attack,CHR_DOG_EVENT,char_dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
aml_dog_run_gear,AML/dog/run_collar,FLY_DOG,char_dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,yes,,,,,,,,
aml_dog_run_gear_enemyteam,AML/dog/run_collar,FLY_DOG,char_dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,yes,,,,,,,,
aml_dog_run_gear_enemy,AML/dog/run_collar,FLY_DOG,char_dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,yes,,,,,,,,
aml_dog_growl,AML/dog/growl,FLY_DOG,char_dog,,,,,,,,,,,,,,,,,,,,,,,,,streamed,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
aml_dog_idle_look,AML/dog/idle,FLY_DOG,char_dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
aml_dog_attack_kill_player,AML/dog/anml_dog_attack_kill_player2.wav,CHR_DOG_EVENT,char_dog,,,,,,,,,,,,,,,,,,,,90,90,,,,streamed,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,yes,,
aml_dog_run_start,AML/dog/runstart,FLY_DOG,char_dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
chr_melee_dog_hit,AML/dog/dog_bite_00.wav,CHR_DOG_EVENT,char_dog,,,,,,,,,,,,,,,,,,,,,,,,,streamed,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
