name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Dive to Prone & Mantle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr_launch_exert_plr,VOX\dds\us\exert\carter\jump,VOX_LOCAL_PLR_2D_HURT,char_human dtp_plr,fly_gear_sprint_plr,,92,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voice_player_hurt
chr_land_exert_plr,VOX\dds\us\exert\carter\land,VOX_LOCAL_PLR_2D_HURT,char_human dtp_plr,fly_gear_sprint_plr,,92,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voice_player_hurt
chr_collide_exert_plr,VOX\dds\us\exert\carter\land,VOX_LOCAL_PLR_2D_HURT,char_human dtp_plr,,,92,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voice_player_hurt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr_launch_exert_npc,VOX\dds\us\exert\carter\jump,VOX_DDS_MPL,char_human dtp_npc,fly_gear_sprint_npc,,92,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr_land_exert_npc,VOX\dds\us\exert\carter\land,VOX_DDS_MPL,char_human dtp_npc,fly_gear_sprint_npc,,92,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr_collide_exert_npc,VOX\dds\us\exert\carter\jump,VOX_DDS_MPL,char_human dtp_npc,,,92,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Sniper Breathing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_sniper_breathin,chr\breath\sniper\vox_sniper_breathin.wav,VOX_LOCAL_PLR_2D_HURT,,,,,,,,,,,,,,,,,,,,,,,,,,streamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_sniper_breathout,chr\breath\sniper\vox_sniper_breathout.wav,VOX_LOCAL_PLR_2D_HURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_sniper_heartbeat,CHR\heartbeat\heartbeat_loop.wav,VOX_LOCAL_PLR_2D_HURT,,,,,,,,,,,,,,,,,,,,,,,,,,streamed,looping,,,,,,wpn_all,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_sniper_breathgasp,chr\breath\sniper\vox_sniper_breathgasp.wav,VOX_LOCAL_PLR_2D_HURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Hurt Breathing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
