name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Body Fall Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_bodyfall_small_asphalt,FLY\bodyfall\dirt,FLY_BODYFALL,char_human surf_asphalt,fly_gear_fall_npc,,,,,,,,,,,,,,,,-300,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_bodyfall_small_bark,FLY\bodyfall\dirt,FLY_BODYFALL,char_human surf_bark,fly_gear_fall_npc,,,,,,,,,,,,,,,,-300,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_bodyfall_small_brick,FLY\bodyfall\dirt,FLY_BODYFALL,char_human surf_brick,fly_gear_fall_npc,,,,,,,,,,,,,,,,-300,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_bodyfall_small_carpet,FLY\bodyfall\dirt,FLY_BODYFALL,char_human surf_carpet,fly_gear_fall_npc,,,,,,,,,,,,,,,,-300,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_bodyfall_small_ceramic,FLY\bodyfall\dirt,FLY_BODYFALL,char_human surf_ceramic,fly_gear_fall_npc,,,,,,,,,,,,,,,,-300,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_bodyfall_small_cloth,FLY\bodyfall\dirt,FLY_BODYFALL,char_human surf_cloth,fly_gear_fall_npc,,,,,,,,,,,,,,,,-300,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_bodyfall_small_concrete,FLY\bodyfall\dirt,FLY_BODYFALL,char_human surf_concrete,fly_gear_fall_npc,,,,,,,,,,,,,,,,-300,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_bodyfall_small_dirt,FLY\bodyfall\dirt,FLY_BODYFALL,char_human surf_dirt,fly_gear_fall_npc,,,,,,,,,,,,,,,,-300,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
