name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Walk qstep Crouch NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_qstep_crouch_walk_npc_default,FLY\footsteps\walk\dirt,FLY_QSTEP_CROUCH_WALK_NPC,char_human surf_default,fly_Ngear_npc,,70,73,,60,600,600,log1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,
fly_qstep_crouch_walk_npc_bark,FLY\footsteps\walk\wood,FLY_QSTEP_CROUCH_WALK_NPC,char_human surf_bark,fly_Ngear_npc,,70,73,,60,600,600,log1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,
fly_qstep_crouch_walk_npc_brick,FLY\footsteps\walk\concrete,FLY_QSTEP_CROUCH_WALK_NPC,char_human surf_brick,fly_Ngear_npc,,70,73,,60,600,600,log1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,
fly_qstep_crouch_walk_npc_carpet,FLY\footsteps\run\carpet,FLY_QSTEP_CROUCH_WALK_NPC,char_human surf_carpet,fly_Ngear_npc,,70,73,,60,600,600,log1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,
fly_qstep_crouch_walk_npc_cloth,FLY\footsteps\run\carpet,FLY_QSTEP_CROUCH_WALK_NPC,char_human surf_cloth,fly_Ngear_npc,,70,73,,60,600,600,log1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,
fly_qstep_crouch_walk_npc_concrete,FLY\footsteps\walk\concrete,FLY_QSTEP_CROUCH_WALK_NPC,char_human surf_concrete,fly_Ngear_npc,,70,73,,60,600,600,log1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,
fly_qstep_crouch_walk_npc_dirt,FLY\footsteps\walk\dirt,FLY_QSTEP_CROUCH_WALK_NPC,char_human surf_dirt,fly_Ngear_npc,,70,73,,60,600,600,log1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,
fly_qstep_crouch_walk_npc_flesh,,FLY_QSTEP_CROUCH_WALK_NPC,char_human surf_flesh,fly_Ngear_npc,,70,73,,60,600,600,log1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,
