name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Walk Crouch PLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_step_crouch_walk_plr_default,FLY\footsteps\walk\dirt,FLY_STEP_CROUCH_WALK_PLR_2d,char_human surf_default,fly_gear_plr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_step_crouch_walk_plr_bark,FLY\footsteps\walk\dirt,FLY_STEP_CROUCH_WALK_PLR_2d,char_human surf_bark,fly_gear_plr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_step_crouch_walk_plr_brick,FLY\footsteps\walk\concrete,FLY_STEP_CROUCH_WALK_PLR_2d,char_human surf_brick,fly_gear_plr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_step_crouch_walk_plr_carpet,FLY\footsteps\run\carpet,FLY_STEP_CROUCH_WALK_PLR_2d,char_human surf_carpet,fly_gear_plr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_step_crouch_walk_plr_cloth,FLY\footsteps\run\carpet,FLY_STEP_CROUCH_WALK_PLR_2d,char_human surf_cloth,fly_gear_plr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_step_crouch_walk_plr_concrete,FLY\footsteps\walk\concrete,FLY_STEP_CROUCH_WALK_PLR_2d,char_human surf_concrete,fly_gear_plr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_step_crouch_walk_plr_dirt,FLY\footsteps\walk\dirt,FLY_STEP_CROUCH_WALK_PLR_2d,char_human surf_dirt,fly_gear_plr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_step_crouch_walk_plr_flesh,,FLY_STEP_CROUCH_WALK_PLR_2d,char_human surf_flesh,fly_gear_plr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_step_crouch_walk_plr_foliage,FLY\footsteps\walk\dirt,FLY_STEP_CROUCH_WALK_PLR_2d,char_human surf_foliage,fly_gear_plr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_step_crouch_walk_plr_glass,,FLY_STEP_CROUCH_WALK_PLR_2d,char_human surf_glass,fly_gear_plr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_step_crouch_walk_plr_grass,FLY\footsteps\run\grass,FLY_STEP_CROUCH_WALK_PLR_2d,char_human surf_grass,fly_gear_plr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_step_crouch_walk_plr_gravel,FLY\footsteps\walk\dirt,FLY_STEP_CROUCH_WALK_PLR_2d,char_human surf_gravel,fly_gear_plr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_step_crouch_walk_plr_ice,FLY\footsteps\run\ice,FLY_STEP_CROUCH_WALK_PLR_2d,char_human surf_ice,fly_gear_plr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_step_crouch_walk_plr_metal,FLY\footsteps\walk\metal,FLY_STEP_CROUCH_WALK_PLR_2d,char_human surf_metal,fly_gear_plr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_step_crouch_walk_plr_mud,FLY\footsteps\walk\mud,FLY_STEP_CROUCH_WALK_PLR_2d,char_human surf_mud,fly_gear_plr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_step_crouch_walk_plr_paper,FLY\footsteps\walk\dirt,FLY_STEP_CROUCH_WALK_PLR_2d,char_human surf_paper,fly_gear_plr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
