name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
# prj_bullet small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prj_bullet_impact_small_bark,PRJ\bullet\impacts\sm\wood,PRJ_BULLET_IMP_SMALL,surf_bark prj_small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prj_bullet_impact_small_brick,PRJ\bullet\impacts\sm\brick,PRJ_BULLET_IMP_SMALL,surf_brick prj_small,prj_bullet_debris_small_rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prj_bullet_impact_small_carpet,PRJ\bullet\impacts\sm\dirt,PRJ_BULLET_IMP_SMALL,surf_carpet prj_small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prj_bullet_impact_small_cloth,PRJ\bullet\impacts\sm\dirt,PRJ_BULLET_IMP_SMALL,surf_cloth prj_small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prj_bullet_impact_small_concrete,PRJ\bullet\impacts\sm\rock,PRJ_BULLET_IMP_SMALL,surf_concrete prj_small,prj_bullet_debris_small_rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prj_bullet_impact_small_default,PRJ\bullet\impacts\sm\rock,PRJ_BULLET_IMP_SMALL,surf_default prj_small,prj_bullet_debris_small_rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prj_bullet_impact_small_dirt,PRJ\bullet\impacts\sm\dirt,PRJ_BULLET_IMP_SMALL,surf_dirt prj_small,prj_bullet_debris_small_dirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prj_bullet_impact_small_grass,PRJ\bullet\impacts\sm\dirt,PRJ_BULLET_IMP_SMALL,surf_grass prj_small,prj_bullet_debris_small_dirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prj_bullet_impact_small_paper,PRJ\bullet\impacts\sm\dirt,PRJ_BULLET_IMP_SMALL,surf_paper prj_small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prj_bullet_impact_small_flesh,PRJ\bullet\impacts\sm\flesh,PRJ_BULLET_IMP_SMALL,surf_flesh prj_small,,,95,100,,300,,5500,curve5,curve5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prj_bullet_impact_small_foliage,PRJ\bullet\impacts\sm\foliage,PRJ_BULLET_IMP_SMALL,surf_foliage prj_small,prj_bullet_debris_small_dirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
