name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#vehicle_sounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veh_jeep_engine_idle,veh\jeep\engine\veh_jeep_engine_idle.wav,VEH_IDLE_NPC,veh_jeep,,vehicle,86,86,,50,800,1500,curve2,,,,,,,,0,0,,100,100,0.25,1,3d,,looping,,,,,,,,50,300,90,,,,,,,,,,,,,,,,,,,,,,,vehicle
veh_jeep_engine_run,veh\jeep\engine\veh_jeep_engine_run.wav,VEH_MOVE_NPC,veh_jeep,,vehicle,84,84,,150,1000,1500,curve2,,,,,,,,0,0,,100,100,0.25,1,3d,streamed,looping,,,,,,,,50,150,90,,,,,,,,,,,,,,,,,,,,,,,vehicle
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Boat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veh_boat_idle,veh\boat\generic\engine\boat_idle.wav,,veh_boat,,vehicle,93,93,,150,1000,,curve2,,,,,,,,0,0,,100,100,0.25,1,3d,,looping,,,,,,,,50,300,93,,,,,,,,,,,,,,,,,,,,,,,vehicle
veh_boat_run,veh\boat\generic\engine\boat_run.wav,,veh_boat,,vehicle,96,96,,350,2500,,curve2,,,,,,,,0,0,,100,100,0.25,1,3d,,looping,,,,,,,,50,300,93,,,,,,,,,,,,,,,,,,,,,,,vehicle
veh_boat_water_idle,veh\boat\generic\water\boat_water_idle.wav,,veh_boat,,vehicle,93,93,,350,2500,,curve2,,,,,,,,0,0,,100,100,0.25,1,3d,,looping,,,,,,,,50,300,93,,,,,,,,,,,,,,,,,,,,,,,vehicle
veh_boat_water_run,veh\boat\generic\water\boat_water_run.wav,,veh_boat,,vehicle,96,96,,350,2500,,curve2,,,,,,,,0,0,,100,100,0.25,1,3d,,looping,,,,,,,,50,300,93,,,,,,,,,,,,,,,,,,,,,,,vehicle
veh_boat_splash,veh\boat\pbr\splash,,veh_boat,,vehicle,95,95,,200,1200,,curve2,,,,,,2,reject,-100,200,,100,100,0.25,1,3d,,,,,,,,,,300,600,93,0,,,,,,,,,,,,,,,,,,,,,,vehicle
veh_boat_splash_small,veh\boat\pbr\splash,,veh_boat,,vehicle,95,95,,100,850,,curve2,,,,,,2,reject,450,650,,100,100,0.25,1,3d,,,,,,,,,,300,600,93,0,,,,,,,,,,,,,,,,,,,,,,vehicle
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
