name,notchE,notchG,notchF,notchQ,lowE,lowG,lowF,lowQ,peak1E,peak1G,peak1F,peak1Q,peak2E,peak2G,peak2F,peak2Q,hiE,hiG,hiF,hiQ,eqG,compE,compPG,compMG,compT,compR,compTA,compTR,limitE,limitPG,limitMG,limitT,limitR,limitTA,limitTR
default,0,0,100,1,0,0,100,1,0,0,100,1,0,0,100,1,0,0,100,1,1,0,1,1,0.1,1,0.1,1,0,1.015176,1.001735,0.397682,100,0.01600002,0.37
tv_quiet,0,0,100,1,0,-6.93,76.27364,1.632,1,0.659999,155.2258,0.763,1,1.47,1603.804,1,1,2.1,6404.338,1,1.012572,1,1.003258,0.654177,0.2017189,4.019999,0.267491,0.7700559,1,0.9766486,0.4998951,0.2615246,100,0.0180055,0.305007
tv_loud,0,0,100,1,1,-3.36,155.3443,0.447,0,5.909999,100,1.158,1,1.68,1707.413,1.0875,0,2.1,7445.534,1,1,1,1.03896,0.6999821,0.3045146,1.57,0.170066,1.050032,1,0.9547655,0.7739961,0.5288122,100,0.012,0.245
headphone_quiet,0,0,100,1,0,-1.65,567.812,0.1,1,2.549999,222.9042,0.842,1,-2.31,5414.831,1.5135,1,2.1,6404.338,1,1.012572,1,1.003258,0.6925023,0.1397586,2.879999,0.2225,1.310037,1,0.9766486,0.5774974,0.3434111,100,0.0110125,0.2600115
headphone_loud,0,0,100,1,0,-3.36,155.3443,0.447,1,2.339999,191.8624,0.416,1,-1.89,4420.64,1.0875,0,2.1,7445.534,1,1,1,1.03896,0.6999821,0.3242579,2.615,0.5,2,1,0.9547655,0.8521568,0.5288122,100,0.027984,0.245
tv_neutral,0,0,100,1,1,-1.05,397.926,0.4075,0,-0.180001,100,1.158,1,2.1,2223.063,1,0,2.94,7445.534,1,1,1,1.018715,0.6798538,0.2068867,2.5,0.205059,1.030043,1,1.006249,0.6757047,0.6469156,100,0.012,0.245
surround_quiet,0,0,100,1,0,-5.67,106.7173,1,0,3.599999,45.486,1.158,1,1.89,1366.053,1,0,1.68,7445.534,1,1,1,0.8647152,0.632905,0.1935697,3.734999,0.3525,1.280035,1,0.9927844,0.5425889,0.2571408,100,0.0065,0.1
surround_loud,0,0,100,1,0,-5.67,106.7173,1,0,3.599999,100,1.158,0,4.62,2223.063,1,0,3.36,7445.534,1,1,1,0.992356,0.7310975,0.354119,1.855,0.3275345,0.9000431,1,0.8691117,0.8214242,0.7515709,100,0.012,0.245
surround_neutral,0,0,100,1,0,-5.67,106.7173,1,0,3.599999,100,1.158,0,4.62,2223.063,1,0,3.36,7445.534,1,1,1,0.8647152,0.6641693,0.4182091,1.264999,0.31,1.07004,1,0.954554,0.8687974,0.397566,100,0.012,0.245
neutral_quiet,0,0,100,1,0,-5.67,106.7173,1,0,3.599999,100,1.158,0,4.62,2223.063,1,0,3.36,7445.534,1,1,0,0.8647152,0.8390149,0.09741171,9.91,0.5,2,0,1.219739,0.4965131,0.2110511,53.47007,0.012,0.245
neutral_loud,0,0,100,1,0,-5.67,106.7173,1,0,3.599999,100,1.158,0,4.62,2223.063,1,0,3.36,7445.534,1,1,0,0.8647152,0.6179621,0.09741171,9.91,0.5,2,0,1.034829,0.9253709,0.8708737,100,0.012,0.245
neutral_neutral,0,0,100,1,0,-5.67,106.7173,1,0,3.599999,100,1.158,0,4.62,2223.063,1,0,3.36,7445.534,1,1,0,0.8647152,0.6179621,0.09741171,9.91,0.5,2,0,1.219739,1,0.619404,100,0.012,0.245
