table,column,title,tip,wiget,type,min,max,default,enumTable,enumColumn,unit,displayUnit
alias,name,Alias Name,,text,string,0,48,,,,,
alias,file,File Name,,text,string,0,88,,,,,
alias,template,Template Alias,,combo,enum,0,48,,template,name,,
alias,loadspec,Loadspec,,combo,enum,,,,loadspec,name,,
alias,secondary,Secondary Alias,,text,string,0,48,,,,,
alias,group,Group,,combo,enum,0,32,,group,name,,
alias,vol_min,Min Volume,,knob,int,0,100,95,,,dbspl,dbspl
alias,vol_max,Max Volume,,knob,int,0,100,95,,,dbspl,dbspl
alias,dist_min,Min Distance,,number,int,0,65000,100,,,quakeunit,quakeunit
alias,dist_max,Max Distance,,number,int,0,65000,500,,,quakeunit,quakeunit
alias,dist_reverb_max,Max Reverb Distance,,number,int,0,65000,500,,,quakeunit,quakeunit
alias,volume_falloff_curve,Volume Curve,,combo,enum,,,default,curve,name,,
alias,reverb_falloff_curve,Reverb Curve,,combo,enum,,,default,curve,name,,
alias,volume_min_falloff_curve,Volume Min Curve,,combo,enum,,,default,curve,name,,
alias,reverb_min_falloff_curve,Reverb Min Curve,,combo,enum,,,default,curve,name,,
alias,limit_count,Limit Count,,number,int,0,64,8,,,,
alias,limit_type,Limit Type,,combo,enum,,,,limittype,name,,
alias,entity_limit_count,Entity Limit Count,,number,int,0,64,8,,,,
alias,entity_limit_type,Entity Limit Type,,combo,enum,,,,limittype,name,,
alias,pitch_min,Pitch Min,,knob,float,-3600,1200,0,,,cent,cent
alias,pitch_max,Pitch Max,,knob,float,-3600,1200,0,,,cent,cent
alias,min_priority,Min Priority,,number,int,0,100,0,,,,
alias,max_priority,Max Priority,,number,int,0,100,100,,,,
alias,min_priority_threshold,Min Threshold,,number,int,0,1,0,,,percent,percent
alias,max_priority_threshold,Max Threshold,,number,int,0,1,1,,,percent,percent
alias,spatialized,Spatialized,,combo,enum,,,,spatialized,name,,
alias,type,Storage,,combo,enum,,,,storage,name,,
alias,loop,Looping,,check,bool,,,,,,,
alias,randomize_type,Randomize Type,,checklist,flags,,,,randomizeType,name,,
alias,probability,Probability,,knob,float,0,1,1,,,percent,percent
alias,start_delay,Start Delay,,number,float,0,65000,0,,,millisecond,millisecond
alias,reverb_send,Reverb Send,,knob,float,0,100,95,,,dbspl,dbspl
alias,duck,Duck,,combo,enum,,,,snapshot,name,,
alias,pan,Pan,,combo,enum,,,,pan,name,,
alias,center_send,Center Send,,knob,float,0,100,95,,,dbspl,dbspl
alias,envelop_min,Envelop Min,,number,int,0,65000,0,,,quakeunit,quakeunit
alias,envelop_max,Envelop Max,,number,int,0,65000,0,,,quakeunit,quakeunit
alias,envelop_percentage,Envelop Percent,,knob,float,0,1,0,,,percent,percent
alias,occlusion_level,Occlusion Level,,knob,float,0,1,0.5,,,percent,percent
alias,is_big,Is Big,,check,bool,,,,,,,
alias,distance_lpf,Distance Lpf,,check,bool,,,,,,,
alias,move_type,Move Type,,combo,enum,,,,movetype,name,,
alias,move_time,Move Time,,number,int,0,65000,0,,,millisecond,millisecond
alias,subtitle,Subtitle,,text,string,,,,,,,
alias,doppler,Doppler,,check,bool,,,,,,,
alias,futz,Futz,,check,bool,,,,,,,
alias,context_type,Context Type,,combo,enum,,,,context,type,,
alias,context_value,Context Value,,combo,enum,,,,context,value,,
alias,compression,Compression,,number,int,0,100,,,,,
alias,timescale,Timescale,,check,bool,,,,,,,
alias,music,Music,,check,bool,,,,,,,
alias,fade_in,Fade In,,number,int,0,65000,0,,,millisecond,millisecond
alias,fade_out,Fade Out,,number,int,0,65000,0,,,millisecond,millisecond
alias,pause,Pause,,check,bool,,,,,,,
alias,stop_on_death,Stop On Death,,check,bool,,,,,,,
alias,bus,Bus,,combo,enum,,,,bus,name,,
alias,snapshot,Snapshot,,combo,enum,,,,snapshotgroup,name,,
,,,,,,,,,,,,
radverb,name,,,,,,,,,,,
radverb,loadspec,,,,,,,,,,,
radverb,smoothing,,,,float,0,1,,,,,
radverb,earlyTime,,,,float,0,1,,,,,
radverb,lateTime,,,,float,0,1,,,,,
radverb,earlyGain,,,,float,0,4,,,,,
radverb,lateGain,,,,float,0,4,,,,,
radverb,returnGain,,,,float,0,4,,,,,
radverb,earlyLpf,,,,float,0,1,,,,,
radverb,lateLpf,,,,float,0,1,,,,,
radverb,inputLpf,,,,float,0,1,,,,,
radverb,dampLpf,,,,float,0,1,,,,,
radverb,wallReflect,,,,float,0,1,,,,,
radverb,dryGain,,,,float,0,1,,,,,
radverb,earlySize,,,,float,0.1,16,,,,,
radverb,lateSize,,,,float,0.1,16,,,,,
radverb,diffusion,,,,float,0,1,,,,,
,,,,,,,,,,,,
group,name,,,,,,,,,,,
group,attenuationSp,,,,int,0,100,,,,,
group,attenuationMp,,,,int,0,100,,,,,
group,category,,,,,,,,,,,
group,parent,,,,,,,,,,,
,,,,,,,,,,,,
pan,name,,,,,,,,,,,
pan,front,,,,float,0,1,,,,,
pan,back,,,,float,0,1,,,,,
pan,center,,,,float,0,1,,,,,
pan,lfe,,,,float,0,1,,,,,
pan,left,,,,float,0,1,,,,,
pan,right,,,,float,0,1,,,,,
,,,,,,,,,,,,
curve,name,,,,,,,,,,,
curve,x0,,,,float,,,,,,,
curve,y0,,,,float,0,1,,,,,
curve,x1,,,,float,0,1,,,,,
curve,y1,,,,float,0,1,,,,,
curve,x2,,,,float,0,1,,,,,
curve,y2,,,,float,0,1,,,,,
curve,x3,,,,float,0,1,,,,,
curve,y3,,,,float,0,1,,,,,
curve,x4,,,,float,0,1,,,,,
curve,y4,,,,float,0,1,,,,,
curve,x5,,,,float,0,1,,,,,
curve,y5,,,,float,0,1,,,,,
curve,x6,,,,float,0,1,,,,,
curve,y6,,,,float,0,1,,,,,
curve,x7,,,,float,0,1,,,,,
curve,y7,,,,float,0,1,,,,,
,,,,,,,,,,,,
futz,name,,,,,,,,,,,
futz,bpf_f,,,,,,,,,,,
futz,bpf_q,,,,,,,,,,,
futz,ls_g,,,,,,,,,,,
futz,ls_f,,,,,,,,,,,
futz,ls_q,,,,,,,,,,,
futz,distortion,,,,,,,,,,,
futz,preg,,,,,,,,,,,
futz,postg,,,,,,,,,,,
futz,th,,,,,,,,,,,
futz,tg,,,,,,,,,,,
futz,clip_pre,,,,,,,,,,,
futz,clip_post,,,,,,,,,,,
,,,,,,,,,,,,
master,name,,,,,,,,,,,
master,notchE,,,,float,0,1,,,,,
master,notchG,,,,float,-60,12,,,,,
master,notchF,,,,float,20,20000,,,,,
master,notchQ,,,,float,0.1,16,,,,,
master,lowE,,,,float,0,1,,,,,
master,lowG,,,,float,-60,12,,,,,
master,lowF,,,,float,20,20000,,,,,
