name,front,back,center,lfe,left,right
default,1,0,0,0,1,1
music,1,0.5,0.5,0,1,1
wpn_all,0.95,0.95,0,0,1,1
wpn_fnt,0.95,0,0,0,1,1
wpn_rear,0,0.95,0,0,1,1
wpn_left,0.95,0.95,0,0,1,0.1
wpn_right,0.95,0.95,0,0,0.1,1
music_all,0.95,0.8,0,0,1,1
fly_gear_front_73,0.7,0.3,0,0,1,1
fly_gear_rear_73,0.3,0.7,0,0,1,1
fly_foot_all,0.75,0.75,0,0,1,1
fly_gear_wpn_cnt,0,0,0.5,0,1,1
front,1,0,0,0,1,1
back,0,1,0,0,1,1
front_mostly,1,0.3,0,0,1,1
back_mostly,0.3,1,0,0,1,1
all,1,1,1,0,1,1
center,0,0,1,0,1,1
front_and_center,1,0,1,0,1,1
lfe,0,0,0,1,1,1
quad,1,1,0,0,1,1
front_mostly_some_center,1,0.3,0.3,0,1,1
front_halfback,1,0.5,0,0,1,1
halffront_back,0.5,1,0,0,1,1
test,1,1,1,1,1,1
