table,row,field,value
alias,mus_zmbtron_island,vol_min,97
alias,mus_zmbtron_island,vol_max,97
alias,mus_zmbtron_town,vol_min,97
alias,mus_zmbtron_town,vol_max,97
alias,mus_zmbtron_rooftop,vol_min,97
alias,mus_zmbtron_rooftop,vol_max,97
alias,mus_zmbtron_snow,vol_min,97
alias,mus_zmbtron_snow,vol_max,97
alias,mus_zmbtron_jungle,vol_min,97
alias,mus_zmbtron_jungle,vol_max,97
alias,mus_zmbtron_street,vol_min,97
alias,mus_zmbtron_street,vol_max,97
alias,mus_zmbtron_bunker,vol_min,97
alias,mus_zmbtron_bunker,vol_max,97
alias,mus_zmbtron_challenge,vol_min,99
alias,mus_zmbtron_challenge,vol_max,99
alias,mus_zmbtron_boss,vol_min,97
alias,mus_zmbtron_boss,vol_max,97
alias,mus_zmbtron_fate,vol_min,99
alias,mus_zmbtron_fate,vol_max,99
alias,mus_zmbtron_bonus,vol_min,97
alias,mus_zmbtron_bonus,vol_max,97
alias,exp_tron_barrel,vol_min,98
alias,exp_tron_barrel,vol_max,98
alias,zmb_player_shield_full,dist_max,7500
alias,zmb_player_shield_full,dist_reverb_max,8500
alias,zmb_player_shield_half,dist_max,7500
alias,zmb_player_shield_half,dist_reverb_max,8500
alias,zmb_player_shield_end,dist_max,7500
alias,zmb_player_shield_end,dist_reverb_max,8500
alias,zmb_player_death,dist_max,5000
alias,zmb_player_death,dist_reverb_max,5500
alias,zmb_player_respawn,dist_max,7500
alias,zmb_player_respawn,dist_reverb_max,8500
alias,wpn_rgun_fire_zt_plr,vol_min,100
alias,wpn_rgun_fire_zt_plr,vol_max,100
alias,wpn_rgun_fire_zt_plr,dist_min,2500
alias,wpn_rgun_fire_zt_plr,dist_max,5000
alias,wpn_rgun_fire_zt_plr,dist_reverb_max,7500
alias,wpn_rgun_fire_zt_plr,entity_limit_count,4
alias,wpn_rgun_fire_zt_npc,dist_min,2500
alias,wpn_rgun_fire_zt_npc,dist_max,5000
alias,wpn_rgun_fire_zt_npc,dist_reverb_max,7500
alias,wpn_rgun_fire_zt_npc,entity_limit_count,4
alias,wpn_rgun_zt_loop,vol_min,97
alias,wpn_rgun_zt_loop,vol_max,97
alias,wpn_rgun_zt_loop,dist_min,2500
alias,wpn_rgun_zt_loop,dist_max,5000
alias,wpn_rgun_zt_loop,dist_reverb_max,7500
alias,wpn_rgun_zt_loop,entity_limit_count,8
alias,wpn_rgun_fire_explo_zt,vol_min,100
alias,wpn_rgun_fire_explo_zt,vol_max,100
alias,wpn_rgun_fire_explo_zt,dist_min,2500
alias,wpn_rgun_fire_explo_zt,dist_max,5000
alias,wpn_rgun_fire_explo_zt,dist_reverb_max,7500
alias,wpn_rgun_fire_explo_zt,entity_limit_count,8
alias,wpn_rpg_fire_zt_plr,vol_min,97
alias,wpn_rpg_fire_zt_plr,vol_max,97
alias,wpn_rpg_fire_zt_plr,dist_max,5000
alias,wpn_rpg_fire_zt_plr,dist_reverb_max,7500
alias,wpn_rpg_fire_zt_npc,vol_min,97
alias,wpn_rpg_fire_zt_npc,vol_max,97
alias,wpn_rpg_fire_zt_npc,dist_max,5000
alias,wpn_rpg_fire_zt_npc,dist_reverb_max,7500
alias,wpn_rpg_zt_loop,vol_min,94
alias,wpn_rpg_zt_loop,vol_max,94
alias,wpn_rpg_zt_loop,dist_max,5000
alias,wpn_rpg_zt_loop,dist_reverb_max,7500
alias,wpn_rpg_fire_explo_zt,vol_min,97
alias,wpn_rpg_fire_explo_zt,vol_max,97
alias,wpn_rpg_fire_explo_zt,dist_max,5000
alias,wpn_rpg_fire_explo_zt,dist_reverb_max,7500
alias,wpn_grlaun_fire_zt_plr,vol_min,98
alias,wpn_grlaun_fire_zt_plr,vol_max,98
alias,wpn_grlaun_fire_zt_npc,vol_min,98
alias,wpn_grlaun_fire_zt_npc,vol_max,98
alias,wpn_glaun_fire_explo_zt,vol_min,97
alias,wpn_glaun_fire_explo_zt,vol_max,97
alias,zmb_nuke_impact,vol_min,98
alias,zmb_nuke_impact,vol_max,98
alias,evt_dew_80hz,vol_min,98
alias,evt_dew_80hz,vol_max,98
alias,veh_hind_rotor_zt,dist_max,5000
alias,veh_hind_rotor_zt,dist_reverb_max,7500
alias,veh_t55_mini_move_zt,dist_max,5000
alias,veh_t55_mini_move_zt,dist_reverb_max,7500
alias,wpn_tank_rocket_zt_plr,vol_min,94
alias,wpn_tank_rocket_zt_plr,vol_max,94
alias,wpn_tank_rocket_zt_npc,vol_min,94
alias,wpn_tank_rocket_zt_npc,vol_max,94
alias,wpn_turret_fire_zt_npc,vol_min,95
alias,wpn_turret_fire_zt_npc,vol_max,95
alias,zmb_pwup_coco_impact,vol_min,97
alias,zmb_pwup_coco_impact,vol_max,97
alias,zmb_pwup_coco_impact2,vol_min,97
alias,zmb_pwup_coco_impact2,vol_max,97
alias,zmb_pwup_coco_body_sizzle,vol_min,97
alias,zmb_pwup_coco_body_sizzle,vol_max,97
alias,zmb_pwup_coco_vox,vol_min,97
alias,zmb_pwup_coco_vox,vol_max,97
alias,zmb_pwup_coco_bounce,vol_min,97
alias,zmb_pwup_coco_bounce,vol_max,97
alias,zmb_dblshot_spawn,vol_min,98
alias,zmb_dblshot_spawn,vol_max,98
alias,zmb_dblshot_squawk,vol_min,98
alias,zmb_dblshot_squawk,vol_max,98
alias,zmb_dblshot_wingflap,vol_min,95
alias,zmb_dblshot_wingflap,vol_max,95
alias,zmb_dblshot_wingflap,vol_min,95
alias,zmb_dblshot_wingflap,vol_max,95
alias,zmb_dblshot_death,vol_min,98
alias,zmb_dblshot_death,vol_max,98
alias,zmb_pickup_weapon_shimmer,vol_min,93
alias,zmb_pickup_weapon_shimmer,vol_max,93
alias,zmb_pickup_money_shimmer,vol_min,94
alias,zmb_pickup_money_shimmer,vol_max,94
alias,zmb_pickup_powerup_shimmer,vol_min,93
alias,zmb_pickup_powerup_shimmer,vol_max,93
alias,zmb_pickup_life_shimmer,vol_min,93
alias,zmb_pickup_life_shimmer,vol_max,93
alias,zmb_pickup_vehicle_shimmer,vol_min,93
alias,zmb_pickup_vehicle_shimmer,vol_max,93
alias,zmb_pickup_money,vol_min,100
alias,zmb_pickup_money,vol_max,100
alias,zmb_pickup_money,dist_min,5000
alias,zmb_pickup_money,dist_max,7500
alias,zmb_pickup_money,dist_reverb_max,10000
alias,zmb_pickup_life,dist_min,5000
alias,zmb_pickup_life,dist_max,7500
alias,zmb_pickup_life,dist_reverb_max,10000
alias,zmb_pickup_vehicle,dist_min,5000
alias,zmb_pickup_vehicle,dist_max,7500
alias,zmb_pickup_vehicle,dist_reverb_max,10000
alias,zmb_teleporter_spawn,dist_min,500
alias,zmb_hazard_loop,vol_min,96
alias,zmb_hazard_loop,vol_max,96
alias,zmb_hazard_loop,dist_min,50
alias,zmb_hazard_loop,dist_max,700
alias,zmb_hazard_loop,dist_reverb_max,750
alias,zmb_hazard_hit,vol_min,98
alias,zmb_hazard_hit,vol_max,98
alias,zmb_hazard_hit,dist_min,5000
alias,zmb_hazard_hit,dist_max,7500
alias,zmb_hazard_hit,dist_reverb_max,10000
alias,zmb_hazard_sizzle,vol_min,98
alias,zmb_hazard_sizzle,vol_max,98
alias,zmb_hazard_sizzle,dist_min,5000
alias,zmb_hazard_sizzle,dist_max,7500
alias,zmb_hazard_sizzle,dist_reverb_max,10000
alias,zmb_regular_vox_move,dist_reverb_max,5000
alias,zmb_regular_vox_move,dist_reverb_max,5000
alias,zmb_regular_vox_move,dist_reverb_max,5000
alias,zmb_regular_vox_attack,dist_reverb_max,5000
alias,zmb_regular_vox_death,dist_reverb_max,5000
alias,zmb_death_gibs,vol_min,93
alias,zmb_death_gibs,vol_max,93
alias,zmb_sergei_vox_move,dist_max,4000
alias,zmb_sergei_vox_move,dist_reverb_max,5000
alias,zmb_sergei_vox_move,dist_max,4000
alias,zmb_sergei_vox_move,dist_reverb_max,5000
alias,zmb_sergei_vox_move,dist_max,4000
alias,zmb_sergei_vox_move,dist_reverb_max,5000
alias,zmb_sergei_vox_attack,dist_max,4000
alias,zmb_sergei_vox_attack,dist_reverb_max,5000
alias,zmb_sergei_vox_death,dist_max,4000
alias,zmb_sergei_vox_death,dist_reverb_max,5000
alias,zmb_boss_vox_move,dist_max,4000
alias,zmb_boss_vox_move,dist_reverb_max,5000
alias,zmb_boss_vox_attack,dist_max,4000
alias,zmb_boss_vox_attack,dist_reverb_max,5000
alias,zmb_boss_vox_death,dist_max,4000
alias,zmb_boss_vox_death,dist_reverb_max,5000
alias,zmb_boss_vox_hit,dist_max,4000
alias,zmb_boss_vox_hit,dist_reverb_max,5000
alias,zmb_engineer_headbutt,vol_min,95
alias,zmb_engineer_headbutt,vol_max,95
alias,zmb_engineer_headbang,vol_min,91
alias,zmb_engineer_headbang,vol_max,94
alias,zmb_engineer_pipebang,vol_min,91
alias,zmb_engineer_pipebang,vol_max,94
alias,zmb_engineer_handbang,vol_min,91
alias,zmb_engineer_handbang,vol_max,94
alias,zmb_engineer_whoosh,vol_min,94
alias,zmb_engineer_whoosh,vol_max,94
alias,zmb_simianaut_roar,vol_min,98
alias,zmb_simianaut_roar,vol_max,98
alias,zmb_simianaut_vocal,vol_min,98
alias,zmb_simianaut_vocal,vol_max,98
alias,zmb_simianaut_death,vol_min,98
alias,zmb_simianaut_death,vol_max,98
