name,room,roomHF,roomRolloffFactor,decayTime,decayHFRatio,reflections,reflectionsDelay,reverb,reverbDelay,diffusion,density,HFReference
DEFAULT,-10000,0,0,1,0.5,-10000,0.02,-10000,0.04,100,100,5000
GENERIC,-1000,-100,0,1.49,0.83,-2602,0.007,200,0.011,100,100,5000
PADDEDCELL,-1000,-6000,0,0.17,0.1,-1204,0.001,207,0.002,100,100,5000
ROOM,-1000,-454,0,0.4,0.83,-1646,0.002,53,0.003,100,100,5000
BATHROOM,-1000,-1200,0,1.49,0.54,-370,0.007,1030,0.011,100,60,5000
LIVINGROOM,-1000,-6000,0,0.5,0.1,-1376,0.003,-1104,0.004,100,100,5000
STONEROOM,-1000,-300,0,2.31,0.64,-711,0.012,83,0.017,100,100,5000
AUDITORIUM,-1000,-476,0,4.32,0.59,-789,0.02,-289,0.03,100,100,5000
CONCERTHALL,-1000,-500,0,3.92,0.7,-1230,0.02,-2,0.029,100,100,5000
CAVE,-1000,0,0,2.91,1.3,-602,0.015,-302,0.022,100,100,5000
ARENA,-1000,-698,0,7.24,0.33,-1166,0.02,16,0.03,100,100,5000
HANGAR,-1000,-1000,0,10.05,0.23,-602,0.02,198,0.03,100,100,5000
CARPETEDHALLWAY,-1000,-4000,0,0.3,0.1,-1831,0.002,-1630,0.03,100,100,5000
HALLWAY,-1000,-300,0,1.49,0.59,-1219,0.007,441,0.011,100,100,5000
STONECORRIDOR,-1000,-237,0,2.7,0.79,-1214,0.013,395,0.02,100,100,5000
ALLEY,-1000,-270,0,1.49,0.86,-1204,0.007,-1476.4,0.011,100,100,5000
FOREST,-1000,-3300,0,1.49,0.54,-2560,0.162,-613,0.088,79,100,5000
CITY,-1000,-800,0,1.49,0.67,-2273,0.007,-2217,0.011,50,100,5000
MOUNTAINS,-1000,-2500,0,1.49,0.21,-2780,0.3,-2014,0.1,27,100,5000
QUARRY,-1000,-1000,0,1.49,0.83,-10000,0.061,500,0.025,100,100,5000
PLAIN,-1000,-2000,0,1.49,0.5,-2466,0.179,-2514,0.1,21,100,5000
PARKINGLOT,-1000,0,0,1.65,1.5,-1363,0.008,-1153,0.012,100,100,5000
SEWERPIPE,-1000,-1000,0,2.81,0.14,429,0.014,648,0.021,80,60,5000
UNDERWATER,-1000,-4000,0,1.49,0.1,-449,0.007,1700,0.011,100,100,5000
SMALLROOM,-1000,-600,0,1.1,0.83,-400,0.005,500,0.01,100,100,5000
MEDIUMROOM,-1000,-600,0,1.3,0.83,-1000,0.01,-200,0.02,100,100,5000
LARGEROOM,-1000,-600,0,1.5,0.83,-1600,0.02,-1000,0.04,100,100,5000
MEDIUMHALL,-1000,-600,0,1.8,0.7,-1300,0.015,-800,0.03,100,100,5000
LARGEHALL,-1000,-600,0,1.8,0.7,-2000,0.03,-1400,0.06,100,100,5000
PLATE,-1000,-200,0,1.3,0.9,0,0.002,-1000,0.01,100,75,5000
Ber3b,-1783,-2452,10,0.1,1.91,-4704,0,1464,0.002,97,95,14269
Ber1,-431,-2526,10,0.1,1.91,-4704,0,-1548.4,0.08707,0,100,14567.44
cod_alley,-579,-342,8.782,0.1,1.83622,-9836.1,0,-514,0,100,63.3,16793.21
cod_room,0,-2577,0.431,0.1,2,-10000,0,-863.2,0,0,100,16793.21
dirt_tunnel,0,-2577,0.431,0.1,2,-10000,0,-863.2,0,0,100,16793.21
gary_1,-1070,-2704,10,1.0751,1.36198,-10000,0,-586,0.00074,95.25,100,20000
gary_2,-3522,-802,8.493,1.37161,0.54,215.7,0.01917,-656.8,0.088,5.79,100,17298.7
gary_3,-1000,-3300,0,1.49,0.54,-2560,0.162,-613,0.088,79,100,5000
gary_4,-1000,-3300,0,1.49,0.54,-2560,0.162,-613,0.088,79,100,5000
partial_room,-1000,-6000,0,0.5,0.1,-1376,0.003,-1104,0.004,100,100,5000
stone_tunnel,-921,-1969,1.575,2.91983,0.21571,-127.5,0,-1691.2,0,89.9,89.9,6373.64
wood_room,-1418,-6221,0.551,1.50892,0.23452,-300.2,0,-362.8,0,100,100,5000
outdoor,-431,-2526,10,0.1,1.91,-4704,0,-1548.4,0.08707,0,100,14567.44
under_bridge,-921,-1969,1.575,1.4,0.21571,-127.5,0,-1691.2,0,89.9,89.9,6373.64
city_alley,-3804,-223,0,0.66118,1.18414,-1173.6,0.10878,1679.6,0.04725,79.05,5.5,2751.266
city_high_reflections,0,-3908,7.266,1.46116,1.26603,-7695.5,0.02436,-2226.4,0.01976,79.49,12.04,1088.93
wooden_structure,-8470,-3120,1.04,3.11684,1.30555,-8970.4,0,0,0.09108,64.97,36.4,14567.44
tuey_1,-8470,-3120,1.04,3.11684,1.30555,-8970.4,0,-1000,0.09108,64.97,36.4,14567.44
DOME_int_hall,-1000,-237,0,2.7,0.79,-1214,0.00045,-193.6,0.02,100,100,5000
DOME_int,-1000,-1000,0,3.61832,0.23,-1435.4,0.02,-32.8,0.03,100,100,5000
DOME_out_hall,-1000,-600,0,1.3,0.83,-1000,0.01,-200,0.02,100,100,5000
DOME_out,-1000,-600,0,1.5,0.83,-1600,0.02,-1000,0.04,100,100,5000
wmd_outdoor_snow,-1000,-600,0,1.5,0.83,-1600,0.02,-1000,0.04,100,100,5000
wmd_cliff_face,-1000,-600,0,1.5,0.83,-1600,0.02,-1000,0.04,100,100,5000
wmd_metal_shed,-1000,-600,0,1.5,0.83,-1600,0.02,-1000,0.04,100,100,5000
wmd_stone_hall,-1000,-600,0,1.5,0.83,-1600,0.02,-1000,0.04,100,100,5000
wmd_stone_room,-1000,-600,0,1.5,0.83,-1600,0.02,-1000,0.04,100,100,5000
