name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
#FX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#amb_cloth_flap,amb\cloth\flap,,,,ambience,91,95,,300,500,,curve3,curve2,,,2,priority,,,-88,0,,,,,,3d,,,pitch,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
#amb_boat_bell,amb\bell\boat,,,,ambience,80,93,,1900,2200,,curve3,curve2,,,5,priority,,,-34,100,,,,,,3d,,,pitch,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
#amb_instects_locust,amb\insects\locust,,,,ambience,92,98,,2300,2500,3500,curve3,curve2,,,3,priority,,,-34,100,,,,,,3d,,,pitch,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
#amb_instects_cicadas,amb\insects\cicadas\cicadas.wav,,,,ambience,89,97,,1600,2000,3500,curve3,curve2,,,5,priority,,,-34,100,,,,,,3d,,looping,pitch,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
#amb_metal_groan,amb\creak\metal,,,,ambience,77,82,,100,300,,curve3,curve2,,,3,priority,,,-182,165,,,,,,3d,,,pitch,,,96,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
#amb_wind_leaves,amb\environment\wind\gusts\leaves,,,,ambience,87,89,,400,800,,curve3,curve2,,,2,priority,,,-34,100,,,,,,3d,,,pitch,,,96,,,,100,250,92,0.2,,,,,,,,,,,,,,,,,,,,,,ambience
#amb_sink_drip,amb\environment\water\drip\loop\drip.wav,,,,ambience,96,96,,50,300,,curve3,curve2,,,2,priority,,,-34,100,,,,,,3d,,looping,,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
#amb_steam_hiss,amb\industrial\steam\hiss\small\small.wav,,,,ambience,96,96,,100,300,500,,curve2,,,,,,,-150,165,,,,,,3d,,looping,pitch,,,98,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
fly_dirt_tumble,fly\step\dirt_tumble,AMB_1000,,,ambience,89,95,,300,600,,curve3,curve2,,,2,reject,,,-50,50,,,,,,3d,,,,,,96,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,ambience
amb_power_buzz,amb\industrial\power\buzz\buzz.wav,AMB_1000,,,ambience,96,96,,200,700,,curve3,curve2,,,2,priority,,,-34,100,,,,,,3d,,looping,pitch,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
