name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
#Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_out_l,amb\environment\wind\desert\line\desert_l_01.wav,AMB_3000,,,ambience,90,90,,500,4000,4000,curve4,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,800,1800,95,0.4,,,no,,,,,,,,,,,,,,,,,,,ambience
amb_wind_out_r,amb\environment\wind\desert\line\desert_r_01.wav,AMB_3000,,,ambience,90,90,,500,4000,4000,curve4,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,800,1800,95,0.4,,,no,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_gust,amb\environment\wind\gusts\desert,AMB_1000,,amb_wind_sand,ambience,87,90,,,,,,,,,5,priority,,,-200,200,,,,,,3d,streamed,,,,,96,,,,150,400,93,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_sand,amb\environment\wind\gusts\debris_sand,AMB_1000,,,ambience,85,90,,,,,,,,,3,priority,,,-200,200,,,,,,3d,streamed,,,0.4,600,96,,,,150,300,92,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_metal,amb\environment\wind\gusts\debris_metal,AMB_1000,,,ambience,85,89,,,,,,,,,3,priority,,,-200,200,,,,,,3d,,,,0.9,,96,,,,150,300,92,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_whistle,amb\environment\wind\gusts\whistling,AMB_500,,,ambience,86,89,,,,,,,,,,,,,-200,200,,,,,,3d,,,,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_tree,amb\environment\wind\gusts\leaves,AMB_1000,,,ambience,85,88,,,,,,,,,4,priority,,,-200,200,,,,,,3d,streamed,,,,,96,,,,150,300,89,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_cave_l,amb\environment\wind\underground\dank\wind_dank_l.wav,AMB_250,,,ambience,96,96,,150,,,curve1,curve1,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,50,150,89,1,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_cave_r,amb\environment\wind\underground\dank\wind_dank_r.wav,AMB_250,,,ambience,96,96,,150,,,curve1,curve1,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,50,150,89,1,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_cave_alc,amb\environment\wind\underground\dank\wind_dank_r.wav,AMB_250,,,ambience,96,96,,40,150,150,,,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,50,90,92,1,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_cave_low,amb\environment\wind\hollow\hollow.wav,AMB_250,,,ambience,88,88,,40,150,150,,,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,50,90,92,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_moan,amb\environment\wind\opening,AMB_250,,,ambience,91,94,,,,,,,,,,,,,0,0,,,,,,3d,,,,,,96,,,,50,150,92,1,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_calm,amb\environment\wind\calm\night\night_L.wav,AMB_1000,,,ambience,94,94,,,,,curve2,curve2,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,100,500,95,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_calm_st,amb\environment\wind\calm\night\wind_00.wav,AMB_1000,,,ambience,94,94,,200,,,curve3,curve3,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,100,500,95,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_calm_trailer,amb\environment\wind\calm\night\night_L.wav,AMB_500,,,ambience,93,93,,,400,400,,,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,100,300,95,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_int_1,amb\environment\wind\desert\inside\desert_int.wav,AMB_500,,,ambience,90,90,,,,,,,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,100,400,95,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_int_2,amb\environment\wind\desert\inside\desert_int_lopass.wav,AMB_250,,,ambience,93,93,,,,,,,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,50,250,95,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_dank,amb\environment\wind\hollow\hollow.wav,AMB_500,,,ambience,87,87,,,,,,,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,100,400,95,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_cricket_single,amb\insects\crickets,AMB_1000,,,ambience,88,91,,,,,,,,,,,,,-200,200,,,,,,3d,,,,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_cricket_loop,amb\insects\cricket_loop,AMB_1000,,,ambience,89,89,,,800,800,,,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,50,150,89,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
