name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Winds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_high_l,amb\environment\wind\snow\cold_wind\high\high_l.wav,AMB_1500,,,ambience,94,94,,500,1700,1700,curve4,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,98,,,,400,800,93,0.4,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_wind_high_r,amb\environment\wind\snow\cold_wind\high\high_r.wav,AMB_1500,,,ambience,94,94,,350,1600,1600,curve4,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,98,,,,150,800,94,0.4,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_wind_edge_l,amb\weather\blizzard\canyon_edge\amb_canyon_edge_l.wav,AMB_1000,,,ambience,93,93,,300,,,curve1,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,98,,,,250,600,96,0.3,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_wind_edge_r,amb\weather\blizzard\canyon_edge\amb_canyon_edge_l.wav,AMB_500,,,ambience,93,93,,200,900,900,curve1,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,98,,,,200,600,96,0.3,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_low_l,amb\environment\wind\snow\cold_wind\low\low_l.wav,AMB_1500,,,ambience,94,94,,600,1200,1200,curve3,curve3,,,,,,,0,0,,,,,,3d,streamed,looping,,,,98,,,,400,600,93,0.55,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_wind_low_r,amb\environment\wind\snow\cold_wind\low\low_r.wav,AMB_1000,,,ambience,94,94,,400,900,900,curve3,curve3,,,,,,,0,0,,,,,,3d,streamed,looping,,,,98,,,,300,600,93,0.55,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_wind_low_shrt_l,amb\environment\wind\snow\cold_wind\low\low_l.wav,AMB_500,,,ambience,93,93,,180,350,350,curve2,curve2,,,,,,,0,0,,,,,,3d,streamed,looping,,,,98,,,,150,225,92,0.55,,,,,,,,,,,,,,,,,,,,,,ambience,,,
