name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
# Amb Winds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_left,amb\environment\wind\desert\line\desert_l_00.wav,AMB_2500,,,ambience,96,96,,700,2200,2200,curve4,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,98,,,,300,600,92,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_right,amb\environment\wind\desert\line\desert_r_00.wav,AMB_2500,,,ambience,96,96,,700,2200,2200,curve4,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,98,,,,300,600,92,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_left_2,amb\environment\wind\desert\line\desert_l_01.wav,AMB_2500,,,ambience,96,96,,700,2200,2200,curve4,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,98,,,,300,600,92,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_right_2,amb\environment\wind\desert\line\desert_r_01.wav,AMB_2500,,,ambience,96,96,,700,2200,2200,curve4,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,98,,,,300,600,92,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
amb_int_wind,amb\environment\wind\desert\inside\desert_int.wav,AMB_250,,,ambience,90,90,,130,250,250,curve4,curve3,,,3,priority,,,0,0,,,,,,3d,,looping,,,,98,,,,90,170,93,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
amb_int_wind_2,amb\environment\wind\desert\inside\desert_int.wav,AMB_250,,,ambience,90,90,,80,160,160,curve3,curve3,,,2,priority,,,0,0,,,,,,3d,,looping,,,,98,,,,80,120,93,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
amb_int_wind_lp,amb\environment\wind\desert\inside\desert_int_lopass.wav,AMB_250,,,ambience,95,95,,80,160,160,curve4,curve3,,,2,priority,,,0,0,,,,,,3d,,looping,,,,98,,,,70,100,93,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_gust,amb\environment\wind\gusts\whistling,AMB_1000,,,ambience,86,94,,,,,,,,,5,reject,,,-350,350,,,,,,3d,streamed,,,,,98,,,,100,200,92,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_short,amb\environment\wind\desert\short\short_wind.wav,AMB_250,,,ambience,94,94,,80,220,220,curve2,curve3,,,2,priority,,,0,0,,,,,,3d,streamed,looping,,,,98,,,,90,130,89,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_short_2,amb\environment\wind\desert\short\short_wind.wav,AMB_250,,,ambience,94,94,,50,140,140,curve2,curve3,,,3,priority,,,0,0,,,,,,3d,streamed,looping,,,,98,,,,50,100,89,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Amb Animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
