name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Winds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_gen_rm,amb\environment\wind\calm\roomtone\wind_room.wav,AMB_BG_2D,,,ambience,90,90,,,,,,,,,,,,,0,0,,,,,,2d,streamed,looping,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_gen_lp,amb\environment\wind\calm\roomtone\wind_room_lopass.wav,AMB_BG_2D,,,ambience,96,96,,,,,,,,,,,,,0,0,,,,,,2d,streamed,looping,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_treeline_r,amb\environment\wind\tree\leaves\birds\birds_r.wav,AMB_1000,,,ambience,96,96,,300,1200,1200,,curve3,,,,,,,0,0,,,,,,3d,streamed,looping,,,,95,,,,200,400,89,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_treeline_l,amb\environment\wind\tree\leaves\birds\birds_l.wav,AMB_1000,,,ambience,96,96,,300,1300,1300,,curve3,,,,,,,0,0,,,,,,3d,streamed,looping,,,,95,,,,200,400,89,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_trees_dist_l,amb\environment\wind\tree\leaves\birds\birds_short_l.wav,AMB_1000,,,ambience,96,96,,400,1500,1500,curve4,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,200,500,86,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_trees_dist_r,amb\environment\wind\tree\leaves\birds\birds_short_r.wav,AMB_1000,,,ambience,96,96,,600,1800,1800,curve4,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,200,600,86,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_airy,amb\environment\wind\calm\airy\airy.wav,AMB_1000,,,ambience,96,96,,500,1100,1100,curve3,curve3,,,,,,,0,0,,,,,,3d,streamed,looping,,,,98,,,,350,700,92,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_leaves_path,amb\environment\wind\tree\leaves\line\line.wav,AMB_1000,,,ambience,88,88,,150,700,700,curve2,curve2,,,,,,,0,0,,,,,,3d,streamed,looping,,,,98,,,,300,500,93,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
