name,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7
default ,0,1,0.142857,0.979592,0.285714,0.918367,0.428571,0.816327,0.571429,0.673469,0.714286,0.489796,0.857143,0.265306,1,0
defaultmin,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
rdefault ,0,0,0.142857,0.265306,0.285714,0.489796,0.428571,0.673469,0.571429,0.816327,0.714286,0.918367,0.857143,0.979592,1,1
curve0 ,0,1,0.142857,0.44221,0.285714,0.31328,0.428571,0.224455,0.571429,0.154549,0.714286,0.096014,0.857143,0.045192,1,0
rcurve0 ,0,0,0.142857,0.045192,0.285714,0.096014,0.428571,0.154549,0.571429,0.224455,0.714286,0.31328,0.857143,0.44221,1,1
curve1 ,0,1,0.142857,0.688871,0.285714,0.528416,0.428571,0.39853,0.571429,0.285212,0.714286,0.18281,0.857143,0.088342,1,0
rcurve1 ,0,0,0.142857,0.088342,0.285714,0.18281,0.428571,0.285212,0.571429,0.39853,0.714286,0.528416,0.857143,0.688871,1,1
curve2 ,0,1,0.142857,0.857143,0.285714,0.714286,0.428571,0.571429,0.571429,0.428571,0.714286,0.285714,0.857143,0.142857,1,0
rcurve2 ,0,0,0.142857,0.142857,0.285714,0.285714,0.428571,0.428571,0.571429,0.571429,0.714286,0.714286,0.857143,0.857143,1,1
curve3 ,0,1,0.142857,0.979592,0.285714,0.918367,0.428571,0.816327,0.571429,0.673469,0.714286,0.489796,0.857143,0.265306,1,0
rcurve3 ,0,0,0.142857,0.265306,0.285714,0.489796,0.428571,0.673469,0.571429,0.816327,0.714286,0.918367,0.857143,0.979592,1,1
curve4 ,0,1,0.142857,0.999584,0.285714,0.993336,0.428571,0.966264,0.571429,0.893378,0.714286,0.739692,0.857143,0.460225,1,0
rcurve4 ,0,0,0.142857,0.460225,0.285714,0.739692,0.428571,0.893378,0.571429,0.966264,0.714286,0.993336,0.857143,0.999584,1,1
curve5 ,0,1,0.142857,1,0.285714,0.999956,0.428571,0.998862,0.571429,0.988632,0.714286,0.93224,0.857143,0.708643,1,0
rcurve5 ,0,0,0.142857,0.708643,0.285714,0.93224,0.428571,0.988632,0.571429,0.998862,0.714286,0.999956,0.857143,1,1,1
allon,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
alloff,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
real2 ,0,1,0.020844,0.857143,0.049988,0.714286,0.09375,0.571429,0.166626,0.428571,0.3125,0.285714,0.75,0.142857,1,0
log0 ,0,1,0.022308,0.857143,0.048706,0.714286,0.080994,0.571429,0.122681,0.428571,0.181396,0.285714,0.281738,0.142857,1,0
log1 ,0,1,0.028503,0.857143,0.062195,0.714286,0.103394,0.571429,0.156616,0.428571,0.231567,0.285714,0.359619,0.142857,1,0
log2 ,0,1,0.039368,0.857143,0.085938,0.714286,0.142944,0.571429,0.216431,0.428571,0.320068,0.285714,0.49707,0.142857,1,0
log3 ,0,1,0.063721,0.857143,0.13916,0.714286,0.231445,0.571429,0.350464,0.428571,0.518066,0.285714,0.804688,0.142857,1,0
sin,0.000000,0.000000 ,0.091309,0.142857 ,0.184448,0.285714 ,0.281982,0.428571 ,0.387207,0.571429 ,0.506470,0.714286 ,0.655518,0.857143 ,1.000000,1.000000
cos,0.000000,1.000000 ,0.344482,0.857143 ,0.493530,0.714286 ,0.612793,0.571429 ,0.718018,0.428571 ,0.815552,0.285714 ,0.908691,0.142857 ,1.000000,0.000000
