name,attenuationSp,attenuationMp,category,parent
reference,100,100,sfx,
master,98,98,sfx,
voice,96,100,voice,master
voice_player,95,95,voice,master
voice_announcer,95,100,voice,master
music,98,98,music,master
event,95,95,sfx,master
wpn_plr,96,96,sfx,master
wpn_npc,95,95,sfx,master
reload,94,94,sfx,master
shells,89,90,sfx,master
projectile,96,95,sfx,master
explosion,95,95,sfx,master
destructable,94,94,sfx,master
ambience,95,95,sfx,master
vehicle,96,96,sfx,master
foley,94,94,sfx,master
physics,97,95,sfx,master
ui,90,93,ui,master
effects,90,90,sfx,master
underwater,85,85,sfx,master
wpn_heavy_plr,97,97,sfx,wpn_plr
wpn_aslt_plr,97,97,sfx,wpn_plr
wpn_rfl_plr,97,97,sfx,wpn_plr
wpn_smg_plr,97,97,sfx,wpn_plr
wpn_pis_plr,97,97,sfx,wpn_plr
wpn_launcher_plr,97,97,sfx,wpn_plr
wpn_launcher_npc,96,96,sfx,wpn_npc
wpn_pis_npc,98,98,sfx,wpn_npc
wpn_smg_npc,95,95,sfx,wpn_npc
wpn_rfl_npc,95,95,sfx,wpn_npc
wpn_aslt_npc,95,95,sfx,wpn_npc
wpn_heavy_npc,95,95,sfx,wpn_npc
wpn_dist,92,92,sfx,wpn_npc
wpn_decay,91,91,sfx,wpn_npc
flashbacks,96,93,voice,master
