name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
#Vehicle Car,Move to correct folders/names post GL -SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp_veh_small,EXP\prop\car\stereo,,veh,veh_explo_dist,explosion,100,100,,500,7500,10000,log3,log1,,rcurve1,3,oldest,,,-350,350,,70,100,0.25,0.75,3d,,,,,,93,grenade_explode,,,250,700,98,0.1,,yes,no,,,,,,,,,,,,,,,,,,,explosion
exp_veh_med,EXP\prop\car\stereo,,veh,veh_explo_dist,explosion,100,100,,500,8500,11000,log3,log1,,rcurve1,3,oldest,,,-350,350,,70,100,0.25,0.75,3d,,,,,,93,grenade_explode,,,250,700,98,0.1,,yes,no,,,,,,,,,,,,,,,,,,,explosion
exp_veh_large,EXP\prop\car\stereo,,veh,veh_explo_dist,explosion,100,100,,1000,9500,12000,log3,log1,,rcurve1,3,oldest,,,-350,350,,75,100,0.25,0.75,3d,,,,,,93,grenade_explode,,,250,700,98,0.1,,yes,no,,,,,,,,,,,,,,,,,,,explosion
exp_armor_vehicle,EXP\prop\car\stereo,,veh,veh_explo_dist,explosion,100,100,,1000,9500,13500,log3,log1,,rcurve1,3,oldest,,,-350,350,,70,100,0.25,0.75,3d,,,,,,93,grenade_explode,,,250,700,98,0.1,,yes,no,,,,,,,,,,,,,,,,,,,explosion
veh_explo_dist,EXP\prop\car\distant,,veh,exp_veh_flux_l,explosion,100,100,,2500,12000,15000,sin,cos,rcurve1,,3,oldest,,,-350,350,,70,100,0.25,0.75,3d,,,,,,98,grenade_explode,,,,,,,,,,,,,,,,,,,,,,,,,,,,explosion
exp_veh_flux_l,dst\generic\metal\flux,,veh,exp_veh_flux_r,explosion,99,100,,3000,12000,13000,curve5,,,,3,oldest,,,-182,0,,40,60,0.55,1,3d,,,,,350,98,,,,,,,,,,,left_player,7000,,,,,,,,,,,,,,,,,explosion
exp_veh_flux_r,dst\generic\metal\flux,,veh,exp_veh_lfe,explosion,99,100,,3000,12000,13000,curve5,,,,3,oldest,,,-182,0,,40,60,0.55,1,3d,,,,,350,98,,,,,,,,,,,right_player,7000,,,,,,,,,,,,,,,,,explosion
exp_veh_lfe,EXP\prop\car\stereo\lfe,,veh,,destructable,98,100,,3000,12000,13000,curve3,curve2,,,,,,,0,0,,50,95,0.25,1,3d,,,,,,98,,lfe,,,,,,,,no,,,,,,,,,,,,,,,,,,,explosion
dst_car_fire,DST\generic\fire\med,AMB_MID,veh,,destructable,,,,,,,,,,,,,1,,,,,,,,,,,looping,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,explosion
dst_car_parts_tiny,DST\generic\metal\small,,veh,,destructable,98,100,,100,700,1400,curve3,curve2,,,,,1,reject,-182,84,,50,95,0.25,1,3d,,,pitch,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,explosion
dst_car_parts_small,DST\generic\metal\small,,veh,,destructable,98,100,,100,700,1400,curve3,curve2,,,,,1,reject,-182,84,,50,95,0.25,1,3d,,,pitch,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,explosion
dst_car_door_break,DST\generic\metal\small,,veh,,destructable,98,100,,100,700,1400,curve3,curve2,,,,,1,reject,-182,84,,50,95,0.25,1,3d,,,pitch,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,explosion
dst_car_glass_piece,DST\generic\glass\med,,glass,,destructable,96,100,,100,700,1400,curve3,curve2,,,8,oldest,1,reject,-182,165,,40,70,0.25,0.75,3d,,,pitch,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambience
dst_car_glass_crack,dst\generic\glass\small,,glass,,destructable,100,100,,50,700,1400,curve3,curve2,,,2,oldest,,,-100,100,,40,70,0.25,0.75,3d,,,pitch,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambience
dst_car_light_crack,dst\generic\glass\small,,glass,,destructable,100,100,,50,700,1400,curve3,curve2,,,2,oldest,,,-100,100,,40,70,0.25,0.75,3d,,,pitch,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambience
dst_car_wheel,DST\generic\metal\small,,veh,dst_car_tire,destructable,80,96,,100,700,1400,curve3,curve2,,,,,1,reject,-182,84,,50,95,0.25,1,3d,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,explosion
dst_car_tire,DST\prop\tire,,veh,,destructable,92,100,,200,1400,2000,curve3,curve2,,,,,1,reject,-182,84,,50,95,0.25,1,3d,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,explosion
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Generic Electronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dst_electronics_sparks_lg,amb\electronics\spark\large,,electronics,,destructable,94,98,,100,850,1200,log2,log1,,,,,,,-400,400,,10,55,0.25,1,3d,,,,,,100,,,,100,300,93,,0.2,,no,,,,,,,,,,,,,,,,,,,explosion
dst_electronics_elc_md,DST\generic\electric\med,,electronics,,destructable,94,98,,100,850,1200,log2,log1,,,,,,,-400,400,,10,55,0.25,1,3d,,,,,,100,,,,100,300,93,,0.2,,no,,,,,,,,,,,,,,,,,,,explosion
dst_electronics_elc_sm,DST\generic\electric\small,,electronics,,destructable,94,98,,100,850,1200,log2,log1,,,,,,,-400,400,,10,55,0.25,1,3d,,,,,,100,,,,100,300,93,,0.2,,no,,,,,,,,,,,,,,,,,,,explosion
dst_electronics_elc_md_flux_l,DST\generic\electric\med,,electronics,,destructable,94,98,,100,850,1200,log2,log1,,,,,,,-400,400,,10,55,0.25,1,3d,,,,,,100,,,,100,300,93,,0.2,,no,left_player,7000,yes,,,,,,,,,,,,,,,,explosion
dst_electronics_elc_md_flux_r,DST\generic\electric\med,,electronics,,destructable,94,98,,100,850,1200,log2,log1,,,,,,,-400,400,,10,55,0.25,1,3d,,,,,,100,,,,100,300,93,,0.2,,no,right_player,7000,yes,,,,,,,,,,,,,,,,explosion
dst_electronics_tv_tube,DST\prop\tv,,electronics,dst_electronics_tv_tube_spark,destructable,94,98,,100,850,1200,log2,log1,,,,,,,-400,400,,10,55,0.25,1,3d,,,,,,100,,,,100,300,93,,0.2,,no,,,,,,,,,,,,,,,,,,,explosion
dst_electronics_tv_tube_spark,DST\generic\electric\med,,electronics,,destructable,94,98,,100,850,1200,log2,log1,,,,,,,-400,400,,10,55,0.25,1,3d,,,,,430,100,,,,100,300,93,,0.2,,no,,,,,,,,,,,,,,,,,,,explosion
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dst_dest_jun_tvset_d1,DST\prop\tv,,electronics,dst_electronics_tv_tube_spark,destructable,94,98,,200,850,1200,log2,log1,,,,,,,-400,400,,10,55,0.25,1,3d,,,,,,100,,,,100,300,93,,0.2,,no,,,,,,,,,,,,,,,,,,,explosion
dst_dest_jun_tvset_d0,DST\prop\tv,,electronics,dst_electronics_tv_tube_spark,destructable,94,98,,200,850,1200,log2,log1,,,,,,,-400,400,,10,55,0.25,1,3d,,,,,,100,,,,100,300,93,,0.2,,no,,,,,,,,,,,,,,,,,,,explosion
dst_dest_jun_tvset_dp_d0,DST\prop\tv,,electronics,dst_electronics_tv_tube_spark,destructable,94,98,,200,850,1200,log2,log1,,,,,,,-400,400,,10,55,0.25,1,3d,,,,,,100,,,,100,300,93,,0.2,,no,,,,,,,,,,,,,,,,,,,explosion
dst_dest_jun_tvset_screen_dp_d0,DST\prop\tv,,electronics,dst_electronics_tv_tube_spark,destructable,94,98,,200,850,1200,log2,log1,,,,,,,-400,400,,10,55,0.25,1,3d,,,,,,100,,,,100,300,93,,0.2,,no,,,,,,,,,,,,,,,,,,,explosion
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Generic Electronics MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dst_electronics_sparks_lg,amb\electronics\spark\large,,electronics_mp,,destructable,90,96,,75,700,1200,log2,log1,,,,,,,-400,400,,10,55,0.25,1,3d,,,,,,100,,,,100,300,93,,0.2,,no,,,,,,,,,,,,,,,,,,,explosion
dst_electronics_elc_md,DST\generic\electric\med,,electronics_mp,,destructable,90,96,,75,700,1200,log2,log1,,,,,,,-400,400,,10,55,0.25,1,3d,,,,,,100,,,,100,300,93,,0.2,,no,,,,,,,,,,,,,,,,,,,explosion
dst_electronics_elc_sm,DST\generic\electric\small,,electronics_mp,,destructable,90,96,,75,700,1200,log2,log1,,,,,,,-400,400,,10,55,0.25,1,3d,,,,,,100,,,,100,300,93,,0.2,,no,,,,,,,,,,,,,,,,,,,explosion
