name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
# Bump Trigs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_bump_chainlink,fly\bump\fence\chainlink,,bump_chainlink,,foley,97,97,,100,1150,,curve3,,,,,,2,reject,-88,165,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_steelfence,fly\bump\fence\industrial,,bump_steelfence,,foley,97,97,,100,1150,,curve3,,,,,,2,reject,-88,165,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_bottle,fly\bump\vend\bottle,,bump_bottles,,foley,97,97,,100,1150,,curve3,,,,,,2,reject,-88,165,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_dishes,fly\bump\dishes\heavy,,bump_pots,,foley,97,97,,100,1150,,curve3,,,,,,2,reject,-88,165,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_shelf,fly\bump\shelf,,bump_shelf,,foley,97,97,,100,1150,,curve3,,,,,,2,reject,-88,165,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_cabinet,fly\bump\file_cab,,bump_cabinet,,foley,97,97,,100,1150,,curve3,,,,,,2,reject,-88,165,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_desk,fly\bump\desk,,bump_desk,,foley,97,97,,100,1150,,curve3,,,,,,2,reject,-88,165,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_stretcher,fly\bump\stretcher,,bump_stretcher,,foley,97,97,,100,1150,,curve3,,,,,,2,reject,-88,165,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_cupboard,fly\bump\cupboard,,bump_cupboard,,foley,97,97,,100,1150,,curve3,,,,,,2,reject,-88,165,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_barrel,fly\bump\barrel\reg,,bump_barrel,,foley,97,97,,100,1150,,curve3,,,,,,2,reject,-88,165,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_generic_metal,fly\bump\metal,,bump_metal_soft,,foley,97,97,,100,1150,,curve3,,,,,,2,reject,-88,165,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_solid_metal,fly\bump\metal_solid,,bump_metal_solid,,foley,97,97,,100,1150,,curve3,,,,,,2,reject,-88,165,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_car,fly\bump\vehicle\car,,bump_car,,foley,97,97,,100,1000,,curve3,,,,,,2,reject,-250,250,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_truck,fly\bump\vehicle\truck,,bump_truck,,foley,97,97,,100,1000,,curve3,,,,,,2,reject,-250,250,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_wood,fly\bump\wood,,bump_wood,,foley,97,97,,100,1000,,curve3,,,,,,2,reject,-250,250,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_cloth,fly\bump\cloth,,bump_cloth,,foley,97,97,,100,1000,,curve3,,,,,,2,reject,-250,250,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_cardboard,fly\bump\cardboard\large,,bump_cardboard,,foley,96,96,,100,1000,,curve3,,,,,,2,reject,-100,300,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_barrel_large,fly\bump\barrel\large,,bump_barrel_lg,,foley,96,96,,100,1000,,curve3,,,,,,2,reject,-100,300,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_barrelcage,fly\bump\barrel\barrelcage,,bump_barrelcage,,foley,96,96,,100,1000,,curve3,,,,,,2,reject,-100,300,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_tarp,fly\bump\tarp\loose,,bump_tarp,,foley,96,96,,100,1000,,curve3,,,,,,2,reject,-100,300,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_mannequin,fly\bump\mannequin,,bump_mannequin,,foley,96,96,,100,1000,,curve3,,,,,,2,reject,-200,300,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_fridge,fly\bump\fridge,,bump_fridge,,foley,96,96,,100,1000,,curve3,,,,,,2,reject,-300,300,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_brick,fly\bump\brick,,bump_brick,,foley,95,97,,300,600,,curve3,,,,2,reject,,,-50,50,,20,40,0.25,1,3d,,,,,,96,,,,50,100,93,0.2,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_bike,fly\bump\bicycle\bike,,bump_bike,fly_bike_bell,foley,95,97,,300,600,,curve3,,,,,,,,-50,50,,20,40,0.25,1,3d,,,,,,96,,,,50,100,93,0.2,,,,,,,,,,,,,,,,,,,,,,foley
fly_bike_bell,fly\bump\bicycle\bike_bell\bike_bell.wav,,bump_bike,,foley,90,94,,300,600,,curve3,,,,,,,,-50,50,,20,40,0.25,1,3d,,,,0.2,,96,,,,50,100,93,0.2,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_tire,fly\bump\tire,,bump_tire,,foley,95,97,,300,600,,curve3,,,,2,reject,,,-50,50,,20,40,0.25,1,3d,,,,,,96,,,,50,100,93,0.2,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_tarpcrate,fly\bump\tarp\crate,,bump_tarpcrate,,foley,95,97,,300,600,,curve3,,,,2,reject,,,-50,50,,20,40,0.25,1,3d,,,,,,96,,,,50,100,93,0.2,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_trashcan,fly\bump\trashcan,,bump_trashcan,,foley,95,97,,300,600,,curve3,,,,2,reject,,,-50,50,,20,40,0.25,1,3d,,,,,,96,,,,50,100,93,0.2,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_cardboard_sm,fly\bump\cardboard\small,,bump_cardboard_sm,,foley,96,96,,100,1000,,curve3,,,,,,2,reject,-100,300,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_potedplant,fly\bump\pottedplant,,bump_potedplant,,foley,96,96,,100,1000,,curve3,,,,,,2,reject,-100,300,,5,25,0.25,0.75,3d,,,,,,100,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_wirefence,fly\bump\fence\wire,,bump_wirefence,,foley,95,97,,300,600,,curve3,,,,2,reject,,,-50,50,,20,40,0.25,1,3d,,,,,,96,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_irongate,fly\bump\gate\iron,,bump_irongate,,foley,95,97,,300,600,,curve3,,,,2,reject,,,-100,300,,20,40,0.25,1,3d,,,,,,96,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_vend_small,fly\bump\vend\cigarette,,bump_vend_small,,foley,95,97,,300,600,,curve3,,,,2,reject,,,-100,300,,20,40,0.25,1,3d,,,,,,96,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_metal_stall,fly\bump\stall_door,,bump_metal_stall,,foley,95,97,,300,600,,curve3,,,,2,reject,,,-100,300,,20,40,0.25,1,3d,,,,,,96,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_blinds,fly\bump\blinds,,bump_blinds,,foley,95,97,,300,600,,curve3,,,,2,reject,,,-100,300,,20,40,0.25,1,3d,,,,,,96,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_branch,fly\bump\branch,,bump_branch,,foley,95,97,,300,600,,curve3,,,,2,reject,,,-100,300,,20,40,0.25,1,3d,,,,,,96,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_locker,fly\bump\locker,,bump_locker,,foley,95,97,,300,600,,curve3,,,,2,reject,,,-100,300,,20,40,0.25,1,3d,,,,,,96,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
fly_bump_table_scoot,fly\bump\table_scoot,,bump_table_scoot,,foley,95,97,,300,600,,curve3,,,,2,reject,,,-100,300,,20,40,0.25,1,3d,,,,,,96,,,,50,100,93,0.1,,,,,,,,,,,,,,,,,,,,,,foley
