name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
# Pain/Death/Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# RU Redshirt 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru0_pain,vox\dds\ru\ru0\dds_ru0_pain_00.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru0_pain,vox\dds\ru\ru0\dds_ru0_pain_01.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru0_pain,vox\dds\ru\ru0\dds_ru0_pain_02.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru0_pain,vox\dds\ru\ru0\dds_ru0_pain_03.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru0_pain,vox\dds\ru\ru0\dds_ru0_pain_04.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru0_pain,vox\dds\ru\ru0\dds_ru0_pain_05.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru0_pain,vox\dds\ru\ru0\dds_ru0_pain_06.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru0_pain,vox\dds\ru\ru0\dds_ru0_pain_07.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru0_death,vox\dds\ru\ru0\dds_ru0_death_00.wav,VOX_DEATH_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru0_death,vox\dds\ru\ru0\dds_ru0_death_01.wav,VOX_DEATH_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru0_death,vox\dds\ru\ru0\dds_ru0_death_02.wav,VOX_DEATH_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru0_death,vox\dds\ru\ru0\dds_ru0_death_03.wav,VOX_DEATH_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru0_death,vox\dds\ru\ru0\dds_ru0_death_04.wav,VOX_DEATH_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru0_attack,vox\dds\ru\ru0\dds_ru0_attack_00.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru0_attack,vox\dds\ru\ru0\dds_ru0_attack_01.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru0_attack,vox\dds\ru\ru0\dds_ru0_attack_02.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru0_attack,vox\dds\ru\ru0\dds_ru0_attack_03.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru0_attack,vox\dds\ru\ru0\dds_ru0_attack_04.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru0_attack,vox\dds\ru\ru0\dds_ru0_attack_05.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru0_attack,vox\dds\ru\ru0\dds_ru0_attack_06.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru0_attack,vox\dds\ru\ru0\dds_ru0_attack_07.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru0_attack,vox\dds\ru\ru0\dds_ru0_attack_08.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru0_attack,vox\dds\ru\ru0\dds_ru0_attack_09.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# RU Redshirt 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_pain,vox\dds\ru\ru1\dds_ru1_pain_00.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_pain,vox\dds\ru\ru1\dds_ru1_pain_01.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_pain,vox\dds\ru\ru1\dds_ru1_pain_02.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_pain,vox\dds\ru\ru1\dds_ru1_pain_03.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_pain,vox\dds\ru\ru1\dds_ru1_pain_04.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_pain,vox\dds\ru\ru1\dds_ru1_pain_05.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_pain,vox\dds\ru\ru1\dds_ru1_pain_06.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_pain,vox\dds\ru\ru1\dds_ru1_pain_07.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_pain,vox\dds\ru\ru1\dds_ru1_pain_08.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_pain,vox\dds\ru\ru1\dds_ru1_pain_09.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_pain,vox\dds\ru\ru1\dds_ru1_pain_10.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_pain,vox\dds\ru\ru1\dds_ru1_pain_11.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_death,vox\dds\ru\ru1\dds_ru1_death_00.wav,VOX_DEATH_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_death,vox\dds\ru\ru1\dds_ru1_death_01.wav,VOX_DEATH_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_death,vox\dds\ru\ru1\dds_ru1_death_02.wav,VOX_DEATH_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_death,vox\dds\ru\ru1\dds_ru1_death_03.wav,VOX_DEATH_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_death,vox\dds\ru\ru1\dds_ru1_death_04.wav,VOX_DEATH_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_death,vox\dds\ru\ru1\dds_ru1_death_05.wav,VOX_DEATH_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_attack,vox\dds\ru\ru1\dds_ru1_attack_00.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_attack,vox\dds\ru\ru1\dds_ru1_attack_01.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_attack,vox\dds\ru\ru1\dds_ru1_attack_02.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_attack,vox\dds\ru\ru1\dds_ru1_attack_03.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_attack,vox\dds\ru\ru1\dds_ru1_attack_04.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_attack,vox\dds\ru\ru1\dds_ru1_attack_05.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_attack,vox\dds\ru\ru1\dds_ru1_attack_06.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru1_attack,vox\dds\ru\ru1\dds_ru1_attack_07.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# VT Redshirt 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_pain,vox\dds\ru\ru2\dds_ru2_pain_00.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_pain,vox\dds\ru\ru2\dds_ru2_pain_01.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_pain,vox\dds\ru\ru2\dds_ru2_pain_02.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_pain,vox\dds\ru\ru2\dds_ru2_pain_03.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_pain,vox\dds\ru\ru2\dds_ru2_pain_04.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_pain,vox\dds\ru\ru2\dds_ru2_pain_05.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_pain,vox\dds\ru\ru2\dds_ru2_pain_06.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_pain,vox\dds\ru\ru2\dds_ru2_pain_07.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_pain,vox\dds\ru\ru2\dds_ru2_pain_08.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_death,vox\dds\ru\ru2\dds_ru2_death_00.wav,VOX_DEATH_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_death,vox\dds\ru\ru2\dds_ru2_death_01.wav,VOX_DEATH_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_death,vox\dds\ru\ru2\dds_ru2_death_02.wav,VOX_DEATH_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_death,vox\dds\ru\ru2\dds_ru2_death_03.wav,VOX_DEATH_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_death,vox\dds\ru\ru2\dds_ru2_death_04.wav,VOX_DEATH_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_death,vox\dds\ru\ru2\dds_ru2_death_05.wav,VOX_DEATH_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_death,vox\dds\ru\ru2\dds_ru2_death_06.wav,VOX_DEATH_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_attack,vox\dds\ru\ru2\dds_ru2_attack_00.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_attack,vox\dds\ru\ru2\dds_ru2_attack_01.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_attack,vox\dds\ru\ru2\dds_ru2_attack_02.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_attack,vox\dds\ru\ru2\dds_ru2_attack_03.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_attack,vox\dds\ru\ru2\dds_ru2_attack_04.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_attack,vox\dds\ru\ru2\dds_ru2_attack_05.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_attack,vox\dds\ru\ru2\dds_ru2_attack_06.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_attack,vox\dds\ru\ru2\dds_ru2_attack_07.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_attack,vox\dds\ru\ru2\dds_ru2_attack_08.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_ru2_attack,vox\dds\ru\ru2\dds_ru2_attack_09.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
