name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
# Pain/Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# VC Redshirt 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_vc0_pain,vox\dds\vc\vc0\dds_vc0_pain_00.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_vc0_pain,vox\dds\vc\vc0\dds_vc0_pain_01.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_vc0_pain,vox\dds\vc\vc0\dds_vc0_pain_02.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_vc0_pain,vox\dds\vc\vc0\dds_vc0_pain_03.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_vc0_pain,vox\dds\vc\vc0\dds_vc0_pain_04.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_vc0_death,vox\dds\vc\vc0\dds_vc0_death_00.wav,VOX_DEATH_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_vc0_death,vox\dds\vc\vc0\dds_vc0_death_01.wav,VOX_DEATH_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_vc0_death,vox\dds\vc\vc0\dds_vc0_death_02.wav,VOX_DEATH_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_vc0_death,vox\dds\vc\vc0\dds_vc0_death_03.wav,VOX_DEATH_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_vc0_death,vox\dds\vc\vc0\dds_vc0_death_04.wav,VOX_DEATH_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# VT Redshirt 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_vc1_pain,vox\dds\vc\vc1\dds_vc1_pain_00.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_vc1_pain,vox\dds\vc\vc1\dds_vc1_pain_01.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dds_vc1_pain,vox\dds\vc\vc1\dds_vc1_pain_02.wav,VOX_PAIN_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
