name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
# Navigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_navigation_click,uin\navigation\click\select.wav,UIN_BUTTON_2D,menu,,,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_navigation_over,uin\navigation\over\highlight.wav,UIN_BUTTON_2D,menu,,,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_navigation_slider,uin\navigation\slider\slider.wav,UIN_BUTTON_2D,menu,,,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_navigation_submenu_over,uin\navigation\over\highlight_submenu.wav,UIN_BUTTON_2D,menu,,,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_navigation_backout,uin\navigation\click\backout.wav,UIN_BUTTON_2D,menu,,,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_navigation_zoom_in,uin\navigation\zoom\zoom_in.wav,UIN_BUTTON_2D,menu,,,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_navigation_zoom_out,uin\navigation\zoom\zoom_out.wav,UIN_BUTTON_2D,menu,,,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_navigation_sys_open,uin\navigation\menu\sys\sys_open.wav,UIN_BUTTON_2D,menu,,,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_navigation_sys_close,uin\navigation\menu\sys\sys_close.wav,UIN_BUTTON_2D,menu,,,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_navigation_menu_sm_open,uin\navigation\menu\sm\open_small.wav,UIN_BUTTON_2D,menu,,,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_navigation_menu_sm_close,uin\navigation\menu\sm\close_small.wav,UIN_BUTTON_2D,menu,,,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_navigation_menu_lg_open,uin\navigation\menu\lg\open_large.wav,UIN_BUTTON_2D,menu,,,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_navigation_menu_lg_close,uin\navigation\menu\lg\close_large.wav,UIN_BUTTON_2D,menu,,,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Timers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_timer,uin\timer,UIN_BUTTON_2D,menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpl_ui_timer_countdown,uin\timer\beep\evt_mpl_clock_beep.wav,UIN_BUTTON_2D,menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Timers (wager match),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_timer_wager_beep,mpl\wager\timer\timer_wager_doot.wav,UIN_BUTTON_2D,menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_timer_wager_last_beep,mpl\wager\timer\timer_wager_deet.wav,UIN_BUTTON_2D,menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Lobby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_lobby_join,uin\lobby\join\lobby_join.wav,UIN_BUTTON_2D,menu,,,100,100,,,,,,,,,1,reject,,,,,,,,,,,streamed,,,,,,,front,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_lobby_leave,uin\lobby\leave\lobby_leave.wav,UIN_BUTTON_2D,menu,,,,,,,,,,,,,1,reject,,,,,,,,,,,streamed,,,,,,,front,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_lobby_wager,uin\lobby\wager\wager.wav,UIN_BUTTON_2D,menu,,,,,,,,,,,,,,,,,,,,,,,,,streamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#removed until we get some UI ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_lobby_summary,uin\lobby\summary\summary.wav,UIN_BUTTON_2D,menu,,,0,0,,,,,,,,,,,,,,,,,,,,,streamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_options_slider,uin\navigation\slider\slider_F.wav,UIN_BUTTON_2D,menu,uin_options_slider_RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_options_slider_RS,uin\navigation\slider\slider_RS.wav,UIN_BUTTON_2D,menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,back,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Objectives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_objective_updated,uin\objective\objective_updated.wav,UIN_BUTTON_2D,menu,,,,,,,,,,,,,,,,,,,,,,,,,streamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_objective_completed,uin\objective\objective_completed.wav,UIN_BUTTON_2D,menu,,,,,,,,,,,,,,,,,,,,,,,,,streamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_unlock_window,uin\aar\unlock_window_open.wav,UIN_BUTTON_2D,menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_aar_unlock,uin\aar\unlock.wav,UIN_BUTTON_2D,menu,,,,,,,,,,,,,,,,,,,,,,,,,streamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_aar_xp_fill,uin\aar\xp_fill.wav,UIN_BUTTON_2D,menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_aar_cp_fill,uin\aar\cp_fill.wav,UIN_BUTTON_2D,menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#the below sound is used as the collectible pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_aar_unlock_loud,uin\aar\unlock.wav,UIN_BUTTON_2D,menu,,event,96,96,,,,,,,,,,,,,,,,,,,,2d,streamed,,,,,,,front_mostly,,,,,,,,,,,,,,,,,,,,,,,,,,,event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_mainmenu,mus\menu\resurrection\mus_resurrection_intro.wav,,sp_menu,,music,90,90,,,,,,,,,,,,,,,,,,,,2d,streamed,looping,,,200,,,quad,,,,,,,,,,,,,,,,,,,,,,,,,,,music
#mus_mainmenu,mus\menu\resurrection\mus_resurrection_intro.wav,,mp_menu,,music,0,0,,,,,,,,,,,,,,,,,,,,2d,streamed,looping,,,200,,,quad,,,,,,,,,,,,,,,,,,,,,,,,,,,music
#mx_credits,Stream\Music\Mission\credits\credits.wav,,,,music,0,0,,,,,,,,,,,,,,,,,,,,2d,streamed,,,,,,,quad,,,,,,,,,,,,,,,,,,,,,,,,,,,music
mus_zmb_mainmenu,mus\zombie_theatre,,sp_menu,,music,90,90,,,,,,,,,,,,,,,,,,,,2d,streamed,looping,,,200,,,quad,,,,,,,,,,,,,,,,,,,,,,,,,,,music
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Alerts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_alert_lockon_start,uin\alert\lockon\lockon_start.wav,UIN_BUTTON_2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_alert_lockon,uin\alert\lockon\lockon.wav,UIN_BUTTON_2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
