name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
# Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_cold_wind_1_L,amb\environment\wind\cold\cold_1_L.wav,AMB_3000,,,ambience,88,88,,1500,3500,3500,curve2,curve2,,,2,reject,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,1500,3000,93,0.2,,,no,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_cold_wind_2_L,amb\environment\wind\cold\cold_2_L.wav,AMB_3000,,,ambience,87,87,,1500,3500,3500,curve2,curve2,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,2000,5000,93,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_cold_wind_2_R,amb\environment\wind\cold\cold_2_R.wav,AMB_3000,,,ambience,87,87,,1500,3500,3500,curve2,curve2,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,2000,5000,93,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_cold_wind_strong,amb\environment\wind\cold\strong_00.wav,AMB_2000,,,ambience,93,93,,300,,,log3,log3,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,300,1500,97,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_corridor,amb\environment\wind\cold\cold_1_R.wav,AMB_1000,,,ambience,94,94,,,,,curve1,curve1,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,300,600,97,0.4,,,,,,,,,,,,,,,,,,,,,,ambience_ext
amb_wind_st,amb\rooms\wmd\amb_wind_chilly_bg.wav,AMB_BG_2D,,,ambience,88,88,,,,,,,,,,,,,0,0,,,,,,2d,streamed,looping,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_st_qt,amb\rooms\wmd\amb_wind_chilly_bg.wav,AMB_BG_2D,,,ambience,80,80,,,,,,,,,,,,,0,0,,,,,,2d,streamed,looping,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambience
