name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Amb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_mp_cairo_bg_outdoor,amb\environment\wind\high\line\line_st.wav,,,,ambience,90,90,,,,,,,,,,,,,0,0,,,,,,2d,,looping,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Amb Loopers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_open,amb\environment\wind\high\open\wind_open.wav,amb_1000,,,ambience,94,96,,200,600,600,,curve3,,,,,,,-150,165,,,,,,3d,streamed,looping,pitch,,,88,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
amb_ocean_lap,amb\environment\water\lapping,amb_500,,,ambience,88,91,,100,400,,curve3,curve2,,,4,priority,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_hollow,amb\environment\wind\hollow,amb_1000,,,ambience,84,88,,100,500,,curve3,curve2,,,4,reject,,,-50,10,,,,,,3d,streamed,looping,,,,96,,,,100,300,93,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_hi,amb\environment\wind\high\steady\steady.wav,AMB_1000,,,ambience,87,90,,400,1000,,curve3,curve2,,,8,priority,,,-50,10,,,,,,3d,streamed,looping,,,,96,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_alley,amb\environment\wind\low\low_01.wav,AMB_1000,,,ambience,88,90,,400,900,1200,curve3,curve2,,,8,priority,,,-50,10,,,,,,3d,streamed,looping,,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
amb_fountain_water,amb\cave\water_fall\amb_cave_waterfall.wav,AMB_1000,,,ambience,83,85,,100,800,1000,curve1,curve4,,,8,priority,,,-50,10,,70,80,,,3d,streamed,looping,,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
amb_flag,amb\cloth\flag\flag_00.wav,AMB_1000,,,ambience,85,85,,200,800,1100,curve2,curve2,,,,,,,,,,,,,,3d,,looping,,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_light_hum,amb\lights\hum\hum_00.wav,amb_500,,,ambience,85,85,,200,400,600,,curve3,,,3,priority,,,-150,165,,,,,,3d,,looping,pitch,,,93,,,,50,75,93,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
amb_town_dist,amb\environment\town\distant\amb_town_cuba_distant.wav,AMB_1000,,,ambience,100,100,,1200,12000,54000,log1,log3,,,,,2,reject,-80,100,,75,100,,,,streamed,looping,,,,100,,,,150,250,,0.4,,,no,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Line Sounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_ocean_lap_loop_l,amb\environment\water\ocean\shore\lapping\lapping_l.wav,amb_1000,,,ambience,90,93,,400,1000,1400,curve3,curve2,,,1,priority,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
#amb_ocean_lap_loop_r,amb\environment\water\ocean\shore\lapping\lapping_r.wav,amb_1000,,,ambience,90,93,,400,1000,1400,curve3,curve2,,,1,priority,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_street_loop_l,amb\environment\wind\desert\line\desert_l_02.wav,amb_1500,,,ambience,94,97,,400,1400,,curve1,curve4,,,1,priority,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,200,400,93,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_street_loop_r,amb\environment\wind\desert\line\desert_r_02.wav,amb_1500,,,ambience,94,97,,400,1400,,curve1,curve4,,,1,priority,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,200,400,93,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_left,amb\environment\wind\air\amb_wind_air_l.wav,amb_1000,,,ambience,89,91,,300,1000,1400,,curve3,,,,,,,-281,165,,,,,,3d,streamed,looping,,,,90,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_right,amb\environment\wind\air\amb_wind_air_r.wav,amb_1000,,,ambience,89,91,,300,1000,1400,,curve3,,,,,,,-281,165,,,,,,3d,streamed,looping,,,,90,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Amb Randoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_mpl_cairo_flies,amb\insects\flies,AMB_500,,,ambience,93,97,,50,300,,curve3,curve2,,,3,priority,,,100,200,,,,,,3d,,,,,,93,,,,20,50,85,0.8,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_gusts,amb\environment\wind\gusts\medium,amb_1000,,,ambience,83,88,,200,600,,curve3,curve2,,,3,priority,,,0,0,,,,,,3d,,,,,,96,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_howls,amb\environment\wind\howl\outdoor,amb_1000,,,ambience,83,88,,200,600,,curve3,curve2,,,3,priority,,,0,0,,,,,,3d,,,,,,96,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,ambience
amb_mpl_cairo_wind_howls,amb\environment\wind\howl\outdoor,amb_1000,,,ambience,83,88,,200,600,,curve3,curve2,,,3,priority,,,0,0,,,,,,3d,,,,,,96,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,ambience
#amb_insects,amb\insects\crickets,AMB_500,,,ambience,93,95,,150,400,700,curve3,curve2,,,3,priority,,,100,200,,,,,,3d,,,,,,93,,,,20,50,85,0.8,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_leaves,amb\environment\wind\gusts\leaves,amb_1000,,,ambience,87,89,,400,800,,curve3,curve2,,,2,priority,,,-34,100,,,,,,3d,streamed,,pitch,,,96,,,,100,250,92,0.2,,,,,,,,,,,,,,,,,,,,,,ambience
amb_cloth_flap,amb\cloth\flap,amb_500,,,ambience,91,95,,300,500,,curve3,curve2,,,2,priority,,,-88,0,,,,,,3d,streamed,,pitch,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Diagetic Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_bar_music,mus\licensed\celia_cruz\mus_quimbara_short.wav,AMB_1000,,,music,92,92,,100,1300,2300,log2,log3,,,,,,,0,0,,50,,,,,streamed,looping,,,,100,,,,10,75,50,0.5,,,no,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_police_siren,veh\police\veh_police_siren.wav,AMB_1000,,,ambience,90,94,,300,800,1800,,curve4,,,,,2,reject,-80,100,,,,,,,streamed,looping,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,music
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evt_exp_transformers,evt\cuba\transformer,evt_3d,,,explosion,100,100,,1200,5000,8500,log1,log0,,,,,,,-300,300,,,,,,,streamed,,,,,100,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,explosion
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_celing_fan,amb\industrial\fan\celing,AMB_500,,,ambience,88,88,,25,250,,log1,log3,,,,,,,0,0,,,,,,3d,,looping,,,,100,,,,50,150,98,0.15,,,,,,,,,,,,,,,,,,,,,,ambience
amb_spark_small,amb\electronics\spark\small,AMB_1000,,,ambience,83,91,,,,,,,,,,,,,-200,200,,,,,,3d,,,,,,96,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
evt_comp_room_sparks,evt\wmd\comp_room,AMB_FAR,,,event,98,98,,100,500,1000,log2,log0,,,,,,,,,,,,,,3d,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
amb_neon,amb\lights\neon\large.wav,AMB_500,,,ambience,88,88,,50,450,,log1,log3,,,,,,,0,0,,,,,,3d,,looping,,,,100,,,,50,150,98,0.15,,,,,,,,,,,,,,,,,,,,,,ambience
