name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Amb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_left,amb\environment\wind\dull\outside\dull_mn_left.wav,amb_2000,,,ambience,94,96,,300,1800,1800,,curve3,,,,,,,-281,165,,,,,,3d,streamed,looping,,,,90,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_right,amb\environment\wind\dull\outside\dull_mn_right.wav,amb_2000,,,ambience,94,96,,300,1800,1800,,curve3,,,,,,,-281,165,,,,,,3d,streamed,looping,,,,90,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_line_l,amb\environment\wind\desert\line\desert_l_02.wav,amb_2000,,,ambience,94,96,,600,1200,1200,,curve3,,,,,,,-281,165,,,,,,3d,streamed,looping,,,,90,,,,300,800,93,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_line_r,amb\environment\wind\desert\line\desert_r_02.wav,amb_2000,,,ambience,94,96,,600,1200,1200,,curve3,,,,,,,-281,165,,,,,,3d,streamed,looping,,,,90,,,,300,800,93,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_open,amb\environment\wind\high\open\wind_open.wav,amb_1000,,,ambience,94,96,,200,600,600,,curve3,,,,,,,-150,165,,,,,,3d,streamed,looping,pitch,,,88,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_indoor,amb\environment\wind\howl\indoor\indoor.wav,amb_1000,,,ambience,88,88,,200,600,600,,curve3,,,,,,,0,0,,,,,,3d,,looping,pitch,,,88,,,,200,400,95,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_gusts,amb\environment\wind\gusts\medium,amb_1000,,,ambience,86,89,,200,900,900,,curve4,,,2,reject,,,-150,150,,,,,,3d,,,,,,96,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_alarm_buzz,amb\alarms\buzz\buzz_00.wav,amb_3000,,,ambience,94,94,,750,4750,6000,,,,,,,,,0,0,,,,,,3d,,,,,,100,,,,250,800,98,0.15,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_vox_rus_pa_1,vox\scripted\rebirth\vox_reb1_s01_022A_rus1_f.wav,amb_3000,,,ambience,97,97,,750,4750,10000,,curve0,,,,,,,0,0,,80,95,,,3d,streamed,,,,,100,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,ambience
amb_vox_rus_pa_2,vox\scripted\rebirth\vox_reb1_s01_048A_rus1_f.wav,amb_3000,,,ambience,97,97,,750,4750,10000,,curve0,,,,,,,0,0,,80,95,,,3d,streamed,,,,,100,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,ambience
amb_vox_rus_pa_3,vox\scripted\rebirth\vox_reb1_s02_050A_rus1_f.wav,amb_3000,,,ambience,97,97,,750,4750,10000,,curve0,,,,,,,0,0,,80,95,,,3d,streamed,,,,,100,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,ambience
amb_vox_rus_pa_4,vox\scripted\rebirth\vox_reb1_s02_058A_rus1_f.wav,amb_3000,,,ambience,97,97,,750,4750,10000,,curve0,,,,,,,0,0,,80,95,,,3d,streamed,,,,,100,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_air_exhaust_l,amb\industrial\exhaust\exhaust_l.wav,amb_1000,,,ambience,97,97,,700,1000,1300,,curve3,,,,,,,0,0,,,,,,3d,streamed,looping,,,,100,,,,100,300,89,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_air_exhaust_r,amb\industrial\exhaust\exhaust_r.wav,amb_1000,,,ambience,97,97,,700,1000,1300,,curve3,,,,,,,0,0,,,,,,3d,streamed,looping,,,,100,,,,100,300,89,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_gust_nometal,amb\environment\wind\gusts\desert,AMB_1500,,amb_sand_debris,,88,96,,,,,,,,,6,priority,,,-250,250,,,,,,,streamed,,,,,90,,,,100,350,92,0.4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_sand_debris,amb\environment\wind\gusts\debris_sand,AMB_1500,,,,85,93,,,,,,,,,3,priority,,,-250,250,,,,,,,streamed,,,0.6,400,98,,,,100,350,92,0.4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_hi_l,amb\environment\wind\high\line\line_l.wav,amb_1000,,,ambience,92,93,,500,1000,1000,,curve3,,,,,,,0,0,,,,,,3d,,looping,,,,93,,,,100,300,89,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_hi_r,amb\environment\wind\high\line\line_r.wav,amb_1000,,,ambience,92,93,,500,1000,1000,,curve3,,,,,,,0,0,,,,,,3d,,looping,,,,93,,,,100,300,89,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
amb_comp_room,amb\electronics\computer\room\room_01.wav,amb_bg_2d,,,ambience,74,74,,,,,,,,,,,,,0,0,,,,,,2d,,looping,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambience
amb_windsock_flap,amb\cloth\windsock,amb_1000,,,ambience,92,96,,200,,,,,,,2,oldest,,,-300,300,,,,,,3d,,,,0.8,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
#FX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_engine_run_thrum,amb\industrial\engine\run\run.wav,amb_500,,,ambience,86,86,,250,1000,1000,,,,,,,,,-281,165,,,,,,3d,streamed,looping,,,,100,,,,250,800,98,0.15,,,,,,,,,,,,,,,,,,,,,,ambience
amb_power_motor,amb\industrial\power\motor\motor_00.wav,amb_500,,,ambience,93,93,,,750,750,,,,,,,,,0,0,,,,,,3d,,looping,pitch,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_power_gen,amb\industrial\buzz_subtle\amb_buzz_subtle_01.wav,amb_500,,,ambience,90,90,,,750,750,,,,,,,,,0,0,,,,,,3d,,looping,pitch,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_boiler_hiss,amb\industrial\boiler\hiss\hiss.wav,amb_500,,,ambience,89,89,,100,,700,,,,,,,,,-34,100,,,,,,3d,streamed,looping,pitch,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_fan_blower,amb\industrial\fan\blower\blower.wav,amb_500,,,ambience,96,96,,250,900,900,,,,,,,,,-150,165,,,,,,3d,,looping,pitch,,,93,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_fan_space,amb\industrial\fan\space\space.wav,amb_500,,,ambience,96,96,,150,750,900,,,,,,,,,0,0,,,,,,3d,,looping,pitch,,,93,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_gas_hiss,amb\industrial\gas\hiss\hiss.wav,amb_500,,,ambience,86,86,,150,,,,,,,,,,,-150,165,,,,,,3d,,looping,pitch,,,93,,,,50,100,93,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_steam_hose_slow,amb\industrial\steam\slow\slow.wav,amb_500,,,ambience,97,97,,200,800,950,,,,,,,,,-200,150,,,,,,3d,,looping,pitch,,,93,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_power_hum,amb\industrial\power\hum\hum.wav,amb_500,,,ambience,94,96,,,800,1000,,,,,,,,,0,0,,,,,,3d,,looping,pitch,,,93,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_bigmachine_run,amb\industrial\big_machine\big_machine.wav,amb_1000,,,ambience,96,96,,250,1200,1500,,,,,,,,,-150,165,,,,,,3d,,looping,pitch,,,93,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_diesel_run,amb\industrial\engine\diesel\diesel.wav,amb_1000,,,ambience,97,97,,400,1000,1000,,,,,,,,,-150,165,,,,,,3d,streamed,looping,pitch,,,93,,,,200,400,98,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_fan_run,amb\industrial\fan\generic\fan_generic.wav,amb_500,,,ambience,85,87,,75,350,350,,,,,,,,,-150,165,,,,,,3d,,looping,pitch,,,93,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_hollowfan_run,amb\industrial\fan\hollow\hollow.wav,amb_500,,,ambience,98,98,,250,700,700,,,,,,,,,-150,165,,,,,,3d,,looping,pitch,,,93,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,ambience
amb_light_flourescent,amb\lights\flourescent\flourescent.wav,amb_500,,,ambience,82,82,,200,,,,,,,,,,,0,0,,,,,,3d,,looping,pitch,,,93,,,,50,75,93,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
amb_light_hum,amb\lights\buzz\buzz_01.wav,amb_500,,,ambience,87,87,,200,,,,,,,,,,,0,0,,,,,,3d,,looping,pitch,,,93,,,,50,75,93,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
amb_steam_low,amb\industrial\steam\low\low.wav,amb_500,,,ambience,86,86,,,400,400,,,,,,,,,-150,165,,,,,,3d,,looping,pitch,,,93,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_steam_hiss,amb\industrial\steam\hiss\small\small.wav,amb_500,,,ambience,83,85,,,700,1000,,curve3,,,,,,,-150,165,,,,,,3d,,looping,pitch,,,98,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_steam_blast,amb\industrial\steam\blast,amb_500,,,ambience,87,92,,200,800,800,,curve3,,,2,reject,,,-75,75,,,,,,3d,streamed,,,0.8,,100,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
