name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
#FX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_cloth_flap,amb\cloth\flap,amb_500,,,ambience,91,95,,300,500,,curve3,curve2,,,2,priority,,,-88,0,,,,,,3d,streamed,,pitch,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_boat_bell,amb\bell\boat,amb_2500,,,ambience,80,93,,1900,2200,,curve3,curve2,,,5,priority,,,-34,100,,,,,,3d,,,pitch,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
fly_dirt_tumble,fly\step\dirt_tumble,amb_1000,,,ambience,89,95,,300,600,,curve3,curve2,,,2,reject,,,-50,50,,,,,,3d,,,,,,96,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,ambience
#amb_instects_locust,amb\insects\locust,amb_3000,,,ambience,92,98,,2300,2500,3000,curve3,curve2,,,3,priority,,,-34,100,,,,,,3d,streamed,,pitch,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
#amb_instects_cicadas,amb\insects\cicadas\cicadas.wav,amb_3000,,,ambience,89,97,,1600,2000,3000,curve3,curve2,,,5,priority,,,-34,100,,,,,,3d,streamed,looping,pitch,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
amb_metal_groan,amb\creak\metal,amb_500,,,ambience,77,82,,100,300,,curve3,curve2,,,3,reject,,,-182,165,,,,,,3d,streamed,,pitch,,,96,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_leaves,amb\environment\wind\gusts\leaves,amb_1000,,,ambience,87,89,,400,800,,curve3,curve2,,,2,priority,,,-34,100,,,,,,3d,streamed,,pitch,,,96,,,,100,250,92,0.2,,,,,,,,,,,,,,,,,,,,,,ambience
amb_power_buzz,amb\industrial\power\buzz\buzz.wav,amb_1000,,,ambience,68,70,,200,700,,curve3,curve2,,,2,priority,,,-34,100,,,,,,3d,,looping,pitch,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_power_box_buzz,amb\industrial\power\box\box.wav,amb_500,,,ambience,75,80,,50,150,,curve2,curve2,,,1,reject,,,-34,100,,,,,,3d,,looping,pitch,,,96,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
amb_boiler_hiss,amb\industrial\boiler\hiss\hiss.wav,amb_500,,,ambience,75,80,,50,300,,curve3,curve2,,,2,priority,,,-34,100,,,,,,3d,,looping,pitch,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_sink_drip,amb\environment\water\drip\loop\drip.wav,amb_500,,,ambience,75,80,,50,300,,curve3,curve2,,,2,priority,,,-34,100,,,,,,3d,streamed,looping,,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_tv_static,amb\electronics\tv\static\static.wav,amb_1000,,,ambience,83,85,,200,700,,curve2,,,,,,,,,,,,,,,3d,,looping,,,,96,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
amb_steam_hiss,amb\industrial\steam\hiss\small\small.wav,amb_1000,,,ambience,83,85,,100,700,900,,curve2,,,2,priority,,,-150,165,,,,,,3d,,looping,pitch,,,98,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_light_hum,amb\lights\hum\hum_00.wav,amb_500,,,ambience,85,85,,200,400,600,,curve3,,,3,priority,,,-150,165,,,,,,3d,,looping,pitch,,,93,,,,50,75,93,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
amb_flourescent,amb\lights\flourescent\flourescent.wav,amb_500,,,ambience,82,82,,100,400,,,curve3,,,3,priority,,,-150,165,,,,,,3d,,looping,pitch,,,93,,,,50,75,93,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
amb_ac,amb\industrial\fan\ac\ac_00.wav,amb_1000,,,ambience,90,94,,200,900,,curve2,,,,2,priority,,,,,,,,,,3d,,looping,,,,96,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
amb_clock_tick,amb\clocks\tick\loop\loop.wav,amb_500,,,ambience,83,83,,100,400,,,,,,1,priority,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
amb_spark_small,amb\electronics\spark\small,AMB_1000,,,ambience,83,91,,,,,,,,,2,reject,,,-200,200,,,,,,3d,,,,,,96,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_flies,amb\insects\flies,AMB_500,,,ambience,93,97,,50,300,,curve3,curve2,,,3,priority,,,100,200,,,,,,3d,streamed,looping,,,,93,,,,20,50,85,0.8,,,,,,,,,,,,,,,,,,,,,,ambience
amb_lantern,amb\lantern\lantern_loop_far.wav,AMB_500,,,ambience,100,100,,50,200,500,log2,log2,,,2,priority,,,,,,,,,,,streamed,looping,pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
