name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,,,,
# Winds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_cold,amb\environment\wind\calm\night\wind_00.wav,AMB_BG_2D,,,ambience,95,95,,,,,,,,,,,,,0,0,,,,,,2d,streamed,looping,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_tree_l,amb\environment\wind\tree\leaves\night\night_l.wav,AMB_1000,,,ambience,89,89,,400,1100,1100,curve4,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,400,700,93,0.3,,,,,,,,,,,,,,,,,,,,,,
amb_wind_tree_r,amb\environment\wind\tree\leaves\night\night_r.wav,AMB_1000,,,ambience,89,89,,400,1100,1100,curve4,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,400,700,93,0.3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_tree_l_2,amb\environment\wind\tree\leaves\night\night_l.wav,AMB_1000,,,ambience,89,89,,300,700,700,curve4,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,200,500,92,0.4,,,,,,,,,,,,,,,,,,,,,,
amb_wind_tree_r_2,amb\environment\wind\tree\leaves\night\night_r.wav,AMB_1000,,,ambience,89,89,,300,700,700,curve4,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,200,500,92,0.4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_low,amb\environment\wind\low\low_01.wav,AMB_500,,,ambience,88,88,,200,,,curve4,curve4,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,200,300,95,0.4,,,,,,,,,,,,,,,,,,,,,,
amb_wind_low_2,amb\environment\wind\low\low_01.wav,AMB_500,,,ambience,91,91,,200,,,curve4,curve4,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,200,300,95,0.4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_gust,amb\environment\wind\gusts\desert,AMB_1000,,,ambience,79,85,,,,,,,,,5,priority,,,-300,300,,,,,,3d,,,,,,96,,,,200,1000,92,0.3,,,,,,,,,,,,,,,,,,,,,,
