name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
# Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_out_1,amb\environment\wind\high\line\line_l.wav,AMB_1000,,,ambience,88,88,,200,,,curve3,curve3,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,200,600,92,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_out_2,amb\environment\wind\high\line\line_r.wav,AMB_1000,,,ambience,88,88,,200,,,curve3,curve3,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,200,600,92,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_airy,amb\environment\wind\calm\airy,AMB_1000,,,ambience,92,92,,250,,,curve4,curve4,,,,,,,,,,,,,,3d,streamed,looping,,,,96,,,,200,600,89,0.2,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_leaves,amb\environment\wind\gusts\leaves,AMB_1000,,,ambience,83,88,,200,,,curve4,curve4,,,6,priority,,,-200,200,,,,,,3d,streamed,,,,,96,,,,150,400,89,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_in_1,amb\environment\wind\calm\line\line_l_2.wav,AMB_1000,,,ambience,92,92,,200,600,600,curve4,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,150,400,93,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_in_2,amb\environment\wind\calm\line\line_r_2.wav,AMB_1000,,,ambience,92,92,,200,600,600,curve4,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,150,400,93,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_cen_1,amb\environment\wind\calm\line\line_l_2.wav,AMB_1000,,,ambience,92,92,,,,,curve4,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,150,500,93,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_cen_2,amb\environment\wind\calm\line\line_r_2.wav,AMB_1000,,,ambience,92,92,,,,,curve4,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,150,500,93,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_close_l,amb\environment\wind\calm\night\night_l.wav,AMB_250,,,ambience,86,86,,,,,curve2,curve3,,,,,,,-200,-100,,,,,,3d,streamed,looping,,,,96,,,,100,190,93,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_close_r,amb\environment\wind\calm\night\night_r.wav,AMB_250,,,ambience,86,86,,,,,curve2,curve3,,,,,,,-200,-100,,,,,,3d,streamed,looping,,,,96,,,,100,190,93,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_close_l_2,amb\environment\wind\calm\night\night_l.wav,AMB_250,,,ambience,86,86,,150,300,300,curve2,curve3,,,,,,,-200,-100,,,,,,3d,streamed,looping,,,,96,,,,100,250,92,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_close_r_2,amb\environment\wind\calm\night\night_r.wav,AMB_250,,,ambience,86,86,,150,300,300,curve2,curve3,,,,,,,-200,-100,,,,,,3d,streamed,looping,,,,96,,,,100,250,92,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_room,amb\environment\wind\hollow\hollow.wav,AMB_250,,,ambience,80,80,,,,,curve2,curve2,,,,,,,,,,,,,,3d,,looping,,,,96,,,,100,300,92,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_inside,amb\rooms\quagmire\quiet\quiet.wav,AMB_BG_2D,,,ambience,93,93,,,,,,,,,,,,,0,0,,,,,,2d,streamed,looping,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_cricket_line_1,amb\insects\lines\insect_line_01_l.wav,AMB_1500,,,ambience,89,89,,300,1600,1600,curve3,curve3,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,400,700,86,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_cricket_line_2,amb\insects\lines\insect_line_01_r.wav,AMB_1500,,,ambience,89,89,,300,1600,1600,curve3,curve3,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,400,700,86,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
