name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Amb Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_left,amb\environment\wind\dull\outside\dull_mn_left.wav,amb_2000,,,ambience,74,76,,400,1600,2250,curve3,,,,2,priority,,,-281,165,,,,,,3d,streamed,looping,,,,100,,,,,,86,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_right,amb\environment\wind\dull\outside\dull_mn_right.wav,amb_2000,,,ambience,74,76,,400,1600,2250,curve3,,,,2,priority,,,-281,165,,,,,,3d,streamed,looping,,,,100,,,,,,86,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_dead_left,amb\environment\wind\calm\night\night_L.wav,amb_1500,,,ambience,86,88,,300,1100,1200,curve3,curve4,,,2,priority,,,-281,165,,,,,,3d,streamed,looping,,,,93,,,,,,86,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_dead_right,amb\environment\wind\calm\night\night_R.wav,amb_1500,,,ambience,86,88,,300,1100,1200,curve3,curve4,,,2,priority,,,-281,165,,,,,,3d,streamed,looping,,,,93,,,,,,86,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_hollow,amb\environment\wind\hollow,amb_500,,,ambience,76,78,,100,500,,curve3,curve2,,,2,priority,,,-50,10,,,,,,3d,,looping,,,,96,,,,100,500,86,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Amb Jungle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
