name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot,,,
# Helicopter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evt_helicopter_hit,mpl\heli_crash\expl_heli_hit1.wav,evt_3d,veh_heli,,vehicle,100,100,,4000,10000,20100,curve4,,,,,,,,-100,100,,100,100,0.25,1,3d,,,,,,,,,,50,300,93,0.25,,,no,,,,,,,,,,,yes,,,,,,,,vehicle_mp,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evt_helicopter_spin_loop,mpl\heli_crash\scn_airlift_cobra_down1.wav,evt_3d,veh_heli,,vehicle,95,95,,4500,10000,20100,curve4,,,,,,,,-100,100,,100,100,0.25,1,3d,streamed,looping,,,,,,,,400,1000,93,0.25,,,no,,,,,,,,,,,yes,,,,,,,,vehicle_mp,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evt_helicopter_midair_exp,mpl\heli_crash\expl_heli_midair.wav,evt_3d,veh_heli,evt_helicopter_midair_sub,vehicle,100,100,,6000,10000,20100,curve4,,,,,,,,-20,20,,100,100,0.25,1,3d,,,,,,,,,,400,1000,93,0.25,,,no,,,,,,,,,,,yes,,,,,,,,vehicle_mp,,,
evt_helicopter_midair_sub,wpn\rocket\rpg\explode\sub,WPN_GRENADE_EXP,veh_heli,,,,,,,,35000,,,,,,,,,,,,,,,,2d,,,,,,,,lfe,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evt_helicopter_spin_start,mpl\heli_crash\expl_heli_midair.wav,evt_3d,veh_heli,,vehicle,90,90,,3000,10000,20100,curve4,,,,,,,,-100,100,,100,100,0.25,1,3d,,,,,,,,,,400,1000,93,0.25,,,no,,,,,,,,,,,yes,,,,,,,,vehicle_mp,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
