name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#GLOBAL MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#MAP SPECIFIC UNDERSCORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#mus_underscore,mus\mp\underscores\industrial\mus_underscore_industrial_00.wav,mus_normal_2D,,,music,92,92,,,,,,,,,,,,,0,0,,100,100,0.25,1,2d,streamed,looping,,,,0,,music,,,,,,,,,,,,,,,,,,,,,,,,,,,
#WMD Set,,,wmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#mus_underscore,mus\wmd\mus_rts_canyon_loop.wav,mus_normal_2D,,,music,89,89,,,,,,,,,,,,,0,0,,100,100,0.25,1,2d,streamed,looping,,,,0,,music,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Kowloon Set,,,kowloon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#mus_underscore,mus\kowloon\mus_rooftops_ambience_loop.wav,mus_normal_2D,,,music,89,89,,,,,,,,,,,,,0,0,,100,100,0.25,1,2d,streamed,looping,,,,0,,music,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Shared Silence,This randomizes between silent underscore and music,,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#mus_underscore,mus\mp\underscores\silence\mus_silence.wav,mus_normal_2D,,,music,92,92,,,,,,,,,,,,,0,0,,100,100,0.25,1,2d,streamed,looping,,,,0,,music,,,,,,,,,,,,,,,,,,,,,,,,,,,
