name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
#Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_out,amb\environment\wind\high\bg\amb_bg_high_wind_00.wav,AMB_BG_2D,,,ambience,90,90,,,,,,,,,,,,,0,0,,,,,,2d,streamed,looping,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_edge,amb\environment\wind\calm\night\wind_00.wav,AMB_1000,,,ambience,96,96,,200,,,curve3,curve3,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,250,600,96,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_tree_creak,amb\environment\wind\tree\creak\wind_tree_creak_01.wav,AMB_1000,,,ambience,93,93,,200,,,curve2,curve2,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,300,500,92,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_tree_rustle_1,amb\environment\wind\tree\rustle\rustle.wav,AMB_1000,,,ambience,94,94,,250,,,curve2,curve2,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,150,300,89,0.2,,,,,,,,,,,,,,,,,,,,,,ambience
amb_tree_birds,amb\animals\birds\line\line_00.wav,AMB_1000,,,ambience,90,90,,200,,,curve2,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,95,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_alley_l,amb\environment\wind\calm\night\night_l.wav,AMB_1000,,,ambience,96,96,,250,800,,curve2,curve2,,,,,,,0,0,,,,,,3d,streamed,looping,,,,95,,,,150,500,92,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_alley_r,amb\environment\wind\calm\night\night_r.wav,AMB_1000,,,ambience,96,96,,250,800,,curve2,curve2,,,,,,,0,0,,,,,,3d,streamed,looping,,,,95,,,,150,500,92,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_corridor,amb\environment\wind\calm\night\night_l.wav,AMB_250,,,ambience,96,96,,,,,,,,,,,,,0,0,,,,,,3d,streamed,looping,,,,95,,,,100,250,95,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_passage,amb\environment\wind\desert\inside\desert_int.wav,AMB_500,,,ambience,92,92,,150,,,,,,,,,,,0,0,,,,,,3d,,looping,,,,95,,,,100,400,95,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_line,amb\environment\wind\snow\cold_wind\short\short_00.wav,AMB_500,,,ambience,90,90,,150,600,600,curve3,curve3,,,,,,,0,0,,,,,,3d,streamed,looping,,,,95,,,,150,400,96,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_low,amb\environment\wind\low\low_01.wav,AMB_500,,,ambience,95,95,,,,,curve1,curve1,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,200,500,95,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_hollow,amb\environment\wind\hollow\hollow.wav,AMB_250,,,ambience,87,87,,50,200,200,,,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,75,150,95,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_dank,amb\environment\wind\hollow\hollow.wav,AMB_500,,,ambience,90,90,,,300,300,,,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,100,300,95,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_bldg,amb\environment\wind\desert\inside\desert_int_lopass.wav,AMB_500,,,ambience,93,93,,150,,,,,,,,,,,0,0,,,,,,3d,,looping,,,,95,,,,100,300,95,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_drafty,amb\environment\wind\cold\cold_1_r.wav,AMB_500,,,ambience,94,94,,150,,,curve1,curve1,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,250,400,95,0.7,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_gust,amb\environment\wind\gusts\desert,AMB_1000,,amb_wind_debris,ambience,89,93,,150,,,curve1,curve1,,,4,priority,,,-200,200,,,,,,3d,streamed,,,,,96,,,,150,400,89,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_debris,amb\environment\wind\gusts\debris_metal,AMB_1000,,,ambience,84,87,,,,,,,,,2,priority,,,-200,200,,,,,,3d,streamed,,,0.45,200,95,,,,100,250,86,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_high_1,amb\environment\wind\cold\cold_2_R.wav,AMB_500,,,ambience,94,94,,,,,,,,,,,,,0,0,,,,,,3d,streamed,looping,,,,95,,,,250,400,96,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_wind_high_2,amb\environment\wind\cold\cold_2_L.wav,AMB_500,,,ambience,94,94,,,,,,,,,,,,,0,0,,,,,,3d,streamed,looping,,,,95,,,,250,400,96,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_room_fact_l,amb\rooms\lines\warehouse\warehouse_l.wav,AMB_500,,,ambience,96,96,,200,750,750,curve2,curve2,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,150,500,93,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_room_fact_r,amb\rooms\lines\warehouse\warehouse_r.wav,AMB_500,,,ambience,96,96,,200,750,750,curve2,curve2,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,150,500,93,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_snow_fall,amb\environment\snow\fall,AMB_1000,,,ambience,78,90,,,,,curve1,curve2,,,2,reject,,,-350,300,,,,,,3d,,,,,,99,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_bird_crow,amb\animals\birds\raven,AMB_1000,,,ambience,89,91,,,,,curve2,curve3,,,3,priority,,,-250,250,,,,,,3d,,,,,,99,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_branch_creak,amb\creak\tree,AMB_1000,,,ambience,92,96,,,,,curve1,curve4,,,3,priority,,,-200,250,,,,,,3d,,,,,,95,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
#Industrial Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_power_line,amb\industrial\power\buzz\buzz.wav,AMB_1000,,,ambience,89,89,,,,,,,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_power_arc,amb\industrial\power\arcs\arc,AMB_1000,,,ambience,89,89,,,,,,,,,,,,,0,0,,,,,,3d,,,,,,96,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_light_buzz,amb\lights\buzz\buzz_01.wav,AMB_500,,,ambience,96,96,,,,,,,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_power_buzz,amb\industrial\buzz\buzz_00.wav,AMB_1000,,,ambience,90,90,,,900,900,,,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_power_thumpy,amb\industrial\fan\thumpy\thumpy.wav,AMB_1000,,,ambience,96,96,,,900,900,,,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_power_fan,amb\industrial\fan\space\space.wav,AMB_1000,,,ambience,96,96,,,800,800,curve1,curve1,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_power_fan_tank,amb\industrial\fan\space\space.wav,AMB_500,,,ambience,94,94,,,,,,,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,ambience
amb_power_gen,amb\industrial\power\motor\motor_00.wav, ,,,ambience,96,96,,200,750,1200,curve1,curve1,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_heater_hum,amb\industrial\heater\heater.wav,AMB_500,,,ambience,95,95,,,600,600,curve1,curve1,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_pipe_hiss,amb\industrial\pipe\hiss\hiss_R.wav,AMB_500,,,ambience,99,99,,,900,1000,curve1,curve1,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,75,150,93,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_pipe_water,amb\industrial\pipe\flow\flow_02.wav,AMB_500,,,ambience,92,92,,,,,curve1,curve1,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_pipe_water_2,amb\industrial\pipe\flow\flow_01.wav,AMB_500,,,ambience,91,91,,,,,curve1,curve1,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,75,125,93,0.9,,,,,,,,,,,,,,,,,,,,,,ambience
amb_pipe_water_big,amb\industrial\pipe\flow\flow_04.wav,AMB_500,,,ambience,93,93,,,750,750,curve1,curve1,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,75,125,91,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
#Train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_train_dist,amb\industrial\train\loops\loop_dist.wav,AMB_2000,,,ambience,0,0,,500,,,curve3,curve5,,,,,,,0,0,,,,,,3d,streamed,looping,,,,95,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,ambience
amb_train_close,amb\industrial\train\loops\loop_near.wav,AMB_1500,,,ambience,0,0,,500,,,curve2,curve3,,,,,,,0,0,,,,,,3d,streamed,looping,,,,95,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,ambience
amb_train_grind,amb\industrial\train\grind,AMB_1000,,,ambience,0,0,,500,,,curve1,curve1,,,,,,,-250,200,,,,,,3d,,,,,,95,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_fire_xlrg,amb\environment\fire\medium\medium.wav,AMB_1000,,,ambience,100,100,,,,,log2,,,,16,priority,,,-20,10,,,,,,3d,,looping,pitch,,,96,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_fire_lrg,amb\environment\fire\medium\medium.wav,AMB_1000,,,ambience,95,95,,,,,log2,,,,16,priority,,,-20,10,,,,,,3d,,looping,pitch,,,96,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_fire_med,amb\environment\fire\medium\medium.wav,AMB_1000,,,ambience,93,93,,,,,log2,,,,16,priority,,,-20,10,,,,,,3d,,looping,pitch,,,96,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_fire_sml,amb\environment\fire\medium\medium.wav,AMB_1000,,,ambience,93,93,,,,,log2,,,,16,priority,,,-20,10,,,,,,3d,,looping,pitch,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veh_train_move_slow,veh\train\veh_train_move_slow.wav,,,,vehicle,98,98,,1200,14500,45000,log3,,,,5,priority,,,0,0,,50,90,0.25,1,3d,streamed,looping,,,,,,,,500,1000,93,0.2,,,no,,,,,,,,,,,,,,,,,,,vehicle_ground
veh_train_move_fast,veh\train\veh_train_move_fast.wav,,,,vehicle,100,100,,1200,14500,45000,log3,,,,5,priority,,,0,0,,50,90,0.25,1,3d,streamed,looping,,,,,,,,500,1000,94,0.2,,,no,,,,,,,,,,,,,,,,,,,vehicle_ground
veh_train_horn_short,veh\train\horn\horn_short.wav,,,,vehicle,100,100,,6000,22000,65000,log3,,,,,,,,0,0,,50,90,0.25,1,3d,,,,,,,,,,,,,0,,,no,,,,,,,,,,,,,,,,,,,vehicle_ground
veh_train_horn_med,veh\train\horn\horn_med.wav,,,,vehicle,100,100,,6000,22000,65000,log3,,,,,,,,0,0,,50,90,0.25,1,3d,,,,,,,,,,,,,0,,,no,,,,,,,,,,,,,,,,,,,vehicle_ground
veh_train_horn_long,veh\train\horn\horn_long.wav,,,,vehicle,100,100,,6000,22000,65000,log3,,,,,,,,0,0,,50,90,0.25,1,3d,,,,,,,,,,,,,0,,,no,,,,,,,,,,,,,,,,,,,vehicle_ground
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#FX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_water_drip,amb\environment\water\drip\loop\large_drip.wav,amb_500,,,ambience,90,93,,300,600,600,,,,,,,,,0,0,,,,,,3d,,looping,pitch,,,100,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_steam_hiss,amb\industrial\steam\hiss\small\small.wav,amb_500,,,ambience,88,90,,350,900,1000,log3,log3,,,,,,,-250,250,,,,,,3d,,looping,pitch,,,98,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
amb_steam_hose_slow,amb\industrial\steam\slow\slow.wav,amb_500,,,ambience,97,97,,200,800,950,,,,,,,,,-200,150,,,,,,3d,,looping,pitch,,,93,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_lantern,amb\lantern\lantern_loop_far.wav,AMB_500,,,ambience,100,100,,200,400,600,curve3,curve3,,,2,priority,,,,,,,,,,,streamed,looping,pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambience
amb_light_hum,amb\lights\hum\hum_00.wav,amb_500,,,ambience,85,85,,200,400,600,,curve3,,,3,priority,,,-150,165,,,,,,3d,,looping,pitch,,,93,,,,50,75,93,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
