name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot,,,
# LINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_ocean_dist,amb\environment\water\ocean\shore\far_st\far_st.wav,,,,ambience,92,92,,800,3200,4000,log2,log3,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_wind_shore_l,amb\environment\wind\shore\line\shore_l.wav,,,,ambience,90,93,,800,2900,3800,log2,log3,,,2,reject,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,150,200,92,0.4,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_wind_shore_r,amb\environment\wind\shore\line\shore_r.wav,,,,ambience,90,93,,800,2900,3800,log2,log3,,,2,reject,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,150,200,92,0.4,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_wind_street_loop_l,amb\environment\wind\desert\line\desert_l_02.wav,amb_1500,,,ambience,90,93,,400,2400,3000,log2,log3,,,1,priority,,,0,0,,,,,,3d,streamed,looping,,,,92,,,,200,400,93,0.7,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_wind_street_loop_r,amb\environment\wind\desert\line\desert_r_02.wav,amb_1500,,,ambience,90,93,,400,2400,3000,log2,log3,,,1,priority,,,0,0,,,,,,3d,streamed,looping,,,,92,,,,200,400,93,0.7,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_wind_dead,amb\environment\wind\calm\night\night_L.wav,amb_1500,,,ambience,94,94,,300,2100,2200,log2,log3,,,2,priority,,,-281,165,,,,,,3d,streamed,looping,,,,93,,,,,,86,0.4,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# LINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#amb_ocean_dist,amb\environment\water\ocean\shore\far_st\far_st.wav,,,,ambience,92,92,,800,2200,3000,curve3,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,ambience,,,
#amb_wind_shore_l,amb\environment\wind\shore\line\shore_l.wav,,,,ambience,90,93,,800,1900,2800,curve3,curve2,,,2,reject,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,150,200,92,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
#amb_wind_shore_r,amb\environment\wind\shore\line\shore_r.wav,,,,ambience,90,93,,800,1900,2800,curve3,curve2,,,2,reject,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,150,200,92,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
#amb_wind_street_loop_l,amb\environment\wind\desert\line\desert_l_02.wav,amb_1500,,,ambience,90,93,,400,1400,,curve1,curve4,,,1,priority,,,0,0,,,,,,3d,streamed,looping,,,,92,,,,200,400,93,0.7,,,,,,,,,,,,,,,,,,,,,,ambience,,,
#amb_wind_street_loop_r,amb\environment\wind\desert\line\desert_r_02.wav,amb_1500,,,ambience,90,93,,400,1400,,curve1,curve4,,,1,priority,,,0,0,,,,,,3d,streamed,looping,,,,92,,,,200,400,93,0.7,,,,,,,,,,,,,,,,,,,,,,ambience,,,
#amb_wind_dead,amb\environment\wind\calm\night\night_L.wav,amb_1500,,,ambience,94,94,,300,1100,1200,curve3,curve4,,,2,priority,,,-281,165,,,,,,3d,streamed,looping,,,,93,,,,,,86,0.4,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# RANDOMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_gusts,amb\environment\wind\gusts\medium,amb_1000,,,ambience,83,88,,200,600,,curve3,curve2,,,5,reject,,,0,0,,,,,,3d,,,,,,96,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_wind_leaves,amb\environment\wind\gusts\leaves,amb_1000,,,ambience,87,89,,400,800,,curve3,curve2,,,2,priority,,,-34,100,,,,,,3d,streamed,,pitch,,,96,,,,100,250,92,0.2,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_wind_howls,amb\environment\wind\howl\outdoor,amb_1000,,,ambience,88,92,,200,600,,curve3,curve2,,,3,priority,,,0,0,,,,,,3d,,,,,,96,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_birds_gulls,amb\animals\birds\seagull,amb_1000,,,ambience,90,96,,800,1000,2500,curve3,curve2,,,3,priority,,,-34,100,,,,,,3d,streamed,,pitch,,,96,,,,100,250,92,0.2,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_gate_creek,amb\creak\wood,amb_500,,,ambience,88,90,,100,500,900,curve2,curve4,,,5,reject,,,0,0,,,,,,3d,,,,,,100,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# LOOPERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_fountian_top,amb\environment\water\waterfall\small\waterfall_small_2.wav,amb_1500,,,ambience,95,95,,200,800,1000,curve3,curve4,,,4,priority,,,-100,75,,,,,,3d,,looping,,,,90,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_fountian_bottom,amb\environment\water\waterfall\jungle\stereo\waterfall_st.wav,amb_1000,,,ambience,86,88,,200,1000,2000,curve2,curve4,,,4,priority,,,-100,75,,,,,,3d,,looping,,,,96,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_wind_hi,amb\environment\wind\high\steady\steady.wav,amb_1500,,,ambience,87,90,,400,1500,1900,curve3,curve2,,,8,priority,,,-50,10,,,,,,3d,streamed,looping,,,,88,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_step_water_enter,amb\environment\water\splash\small,,,,foley,90,94,,300,1300,,curve3,,,,,,,,-150,250,,20,40,0.25,1,3d,,,,,,90,,,,50,100,93,0.2,,,,,,,,,,,,,,,,,,,,,,foley,,,
fly_step_water_move,amb\water\water_wade,,,,foley,90,94,,300,1300,,curve3,,,,,,,,-150,250,,20,40,0.25,1,3d,,,,,,90,,,,50,100,93,0.2,,,,,,,,,,,,,,,,,,,,,,foley,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_thunder_clap,amb\weather\thunder\clap,EVT_3D,,amb_thunder_flux_l,,100,100,,10000,40000,50000,curve4,log3,,,,,,,-80,80,,,,,,,streamed,,,,,100,thunder_clap,,,,,,0.2,,,no,,,,,,,,,,,,,,,,,,,event,,,
#amb_thunder_rumble,amb\weather\thunder\2d,EVT_3D,,,,98,98,,8000,40000,50000,,,,,1,oldest,,,,,,,,,,,streamed,,,,,100,,,,,,,0.1,,,no,,,,,,,,,,,,,,,,,,,event,,,
amb_thunder_flux_l,amb\weather\thunder\flux\evt_thunder_flux_l.wav,WPN_GRENADE_FLUX_L,,amb_thunder_flux_r,,97,99,,6000,40000,50000,log1,log3,,,4,oldest,,,-250,250,,,,,,,,,,,250,100,,,,,,,0.25,,,no,left_player,19000,,,,,,,,,,,,,,,,,event,,,
amb_thunder_flux_r,amb\weather\thunder\flux\evt_thunder_flux_r.wav,WPN_GRENADE_FLUX_R,,,,97,99,,6000,40000,50000,log1,log3,,,4,oldest,,,-250,250,,,,,,,,,,,400,100,,,,,,,0.25,,,no,right_player,19000,,,,,,,,,,,,,,,,,event,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_fire_med,amb\environment\fire\medium\medium.wav,amb_1500,,,ambience,90,93,,500,1000,1200,log0,,,,1,priority,,,-80,80,,,,,,3d,,looping,pitch,,,96,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_battle_dist,amb\environment\town\distant\amb_town_cuba_hills_distant.wav,AMB_1000,,,ambience,100,100,,4200,32000,54000,log1,log3,,,,,2,reject,-80,100,,65,100,,,3d,streamed,looping,,,,100,,,,1150,2250,85,0.4,,,no,,,,,,,,,,,,,,,,,,,ambience,,,
amb_mpl_flies,amb\insects\flies,AMB_500,,,ambience,93,97,,50,300,,curve3,curve2,,,3,priority,,,100,200,,,,,,3d,,,,,,93,,,,20,50,85,0.8,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_celing_fan,amb\industrial\fan\celing,AMB_500,,,ambience,88,88,,25,250,,log1,log3,,,,,,,0,0,,,,,,3d,,looping,,,,100,,,,250,800,98,0.15,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_light_hum,amb\lights\hum,AMB_500,,,ambience,85,88,,10,250,,log1,,,,,,,,0,0,,,,,,3d,,looping,,,,100,,,,250,800,98,0.15,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
