name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
# Contextual Melee sounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Victim vox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_ctxt_melee_gack_sht,vox\contextual_melee\generic\gack\short,vox_plot_dialog,cntxt_melee_all,,,100,100,,,,,,,,,,,,,,,,,,,,,streamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
vox_ctxt_melee_gack_lng,vox\contextual_melee\generic\gack\long,vox_plot_dialog,cntxt_melee_garotte,,,100,100,,,,,,,,,,,,,,,,,,,,,streamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_ctxt_melee_hand_over_mouth,vox\contextual_melee\generic\hand_over_mouth,vox_plot_dialog,cntxt_melee_knife,,,100,100,,,,,,,,,,,,,,,,,,,,,streamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
vox_ctxt_melee_stab_hand_over_mouth,vox\contextual_melee\generic\stab_hand_over_mouth,vox_plot_dialog,cntxt_melee_knife,,,100,100,,,,,,,,,,,,,,,,,,,,,streamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
vox_ctxt_melee_necksnap_hand_over_mouth,vox\contextual_melee\generic\snap_hand_over_mouth,vox_plot_dialog,cntxt_melee_necksnap,,,100,100,,,,,,,,,,,,,,,,,,,,,streamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Player vox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_ctxt_melee_exert_plr,vox\contextual_melee\plr\player_exert,VOX_MELEE_GRUNT_PLR,cntxt_melee_garotte,,,100,100,,,,,,,,,,,,,,,,,,,,,streamed,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,event
vox_ctxt_melee_relax_plr,vox\contextual_melee\plr\player_relax,VOX_MELEE_GRUNT_PLR,cntxt_melee_garotte,,,100,100,,,,,,,,,,,,,,,,,,,,,streamed,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,event
vox_ctxt_melee_shush_plr, ,VOX_MELEE_GRUNT_PLR,cntxt_melee_all,,,100,100,,,,,,,,,,,,,,,,,,,,,streamed,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_punch_plr,fly\melee\punch,VOX_MELEE_GRUNT_PLR,cntxt_melee_all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Cloth Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_quickmmt_cloth,fly\melee\contextual\quick_mmt,FLY_CM_PLR_2D,cntxt_melee_all,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
fly_cloth_struggle,fly\melee\contextual\cloth_mmt,FLY_CM_PLR_2D,cntxt_melee_all,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Grab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_human_grab,fly\melee\contextual\grab,FLY_CM_PLR_2D,cntxt_melee_all,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Struggle Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_footstruggle_dirt,fly\melee\contextual\struggle\dirt,FLY_CM_PLR_2D,cntxt_melee_all,,,100,100,,,,,,,,,,,,,,,,,,,,,streamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
fly_footstruggle_wood,fly\melee\contextual\struggle\wood,FLY_CM_PLR_2D,cntxt_melee_garotte,,,100,100,,,,,,,,,,,,,,,,,,,,,streamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Neck Snap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_neck_snap,fly\melee\contextual\neck_crack,FLY_CM_PLR_2D,cntxt_melee_necksnap,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Garotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_garotte_loop,fly\melee\contextual\garotte\loop,FLY_CM_PLR_2D,cntxt_melee_garotte,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
fly_garotte_pull,fly\melee\contextual\garotte\pull,FLY_CM_PLR_2D,cntxt_melee_garotte,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Stab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_knife_stab,wpn\melee\knife\knife_stab,FLY_CM_PLR_2D,cntxt_melee_knife,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
fly_knife_pull,wpn\melee\knife\knife_pull,FLY_CM_PLR_2D,cntxt_melee_knife,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
fly_knife_in_struggle,fly\melee\contextual\knife_in_struggle\knife_in_struggle_00.wav,FLY_CM_PLR_2D,cntxt_melee_knife,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
fly_knife_in_struggle,fly\melee\contextual\knife_in_struggle\knife_in_struggle_01.wav,FLY_CM_PLR_2D,cntxt_melee_knife,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
fly_knife_twist,wpn\melee\knife\knife_twist,FLY_CM_PLR_2D,cntxt_melee_knife,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Hatchet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_hatchet_hit,wpn\melee\hatchet\hatchet_hit_flesh,evt_2d,cntxt_melee_hatchet,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
fly_hatchet_pull,wpn\melee\hatchet\hatchet_remove,evt_2d,cntxt_melee_hatchet,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
fly_hatchet_in_struggle,fly\melee\contextual\knife_in_struggle\knife_in_struggle_00.wav,evt_2d,cntxt_melee_hatchet,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
fly_hatchet_in_struggle,fly\melee\contextual\knife_in_struggle\knife_in_struggle_01.wav,evt_2d,cntxt_melee_hatchet,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
fly_hatchet_twist,wpn\melee\hatchet\hatchet_twist,evt_2d,cntxt_melee_hatchet,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Cloth Foley_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_quickmmt_cloth_npc,fly\melee\contextual\quick_mmt,evt_3d,cntxt_melee_all,,,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
fly_cloth_struggle_npc,fly\melee\contextual\cloth_mmt,evt_3d,cntxt_melee_all,,,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Grab+NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_human_grab_npc,fly\melee\contextual\grab,evt_3d,cntxt_melee_all,,,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Struggle Foley_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_footstruggle_dirt_npc,fly\melee\contextual\struggle\dirt,evt_3d,cntxt_melee_all,,,97,97,,,,,,,,,,,,,,,,,,,,,streamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
fly_footstruggle_wood_npc,fly\melee\contextual\struggle\wood,evt_3d,cntxt_melee_garotte,,,97,97,,,,,,,,,,,,,,,,,,,,,streamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Neck Snap_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_neck_snap_npc,fly\melee\contextual\neck_crack,evt_3d,cntxt_melee_necksnap,,,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Garotte_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_garotte_loop_npc,fly\melee\contextual\garotte\loop,evt_3d,cntxt_melee_garotte,,,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
fly_garotte_pull_npc,fly\melee\contextual\garotte\pull,evt_3d,cntxt_melee_garotte,,,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Stab_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_knife_stab_npc,wpn\melee\knife\knife_stab,evt_3d,cntxt_melee_knife,,,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
fly_knife_pull_npc,wpn\melee\knife\knife_pull,evt_3d,cntxt_melee_knife,,,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
fly_knife_in_struggle_npc,fly\melee\contextual\knife_in_struggle\knife_in_struggle_00.wav,evt_3d,cntxt_melee_knife,,,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
fly_knife_in_struggle_npc,fly\melee\contextual\knife_in_struggle\knife_in_struggle_01.wav,evt_3d,cntxt_melee_knife,,,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
fly_knife_twist_npc,wpn\melee\knife\knife_twist,evt_3d,cntxt_melee_knife,,,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Hatchet NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
