name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#MELEE - generic Fixes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_melee_swing_gear_plr,fly\gear\cloth,WPN_ALL_MELEE_PLR,wpn_knife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_melee_swing_gear_npc,fly\gear\cloth,WPN_ALL_MELEE_NPC,wpn_knife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_knife_melee_stab,wpn\melee\knife\knife_stab,WPN_ALL_MELEE_NPC,wpn_knife,wpn_melee_knife_hit_lfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_knife_pull_plr,wpn\melee\knife\knife_pull,WPN_ALL_MELEE_PLR,wpn_knife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_knife_pull_npc,wpn\melee\knife\knife_pull,WPN_ALL_MELEE_NPC,wpn_knife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_melee_knife_hit_body,wpn\melee\knife\knife_slash,WPN_ALL_MELEE_NPC,wpn_knife,wpn_melee_knife_hit_lfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_melee_knife_hit_other,wpn\melee\knife\hit_object,WPN_ALL_MELEE_NPC,wpn_knife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_melee_whoosh_plr,wpn\melee\knife\knife_whoosh,WPN_ALL_MELEE_PLR,wpn_knife,wpn_melee_swing_gear_plr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
