name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
# Satchel Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_wood,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_rock,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_dirt,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_dirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_default,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_bark,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_bark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_brick,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_carpet,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_carpet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_cloth,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_cloth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_concrete,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_foliage,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_foliage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_glass,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_grass,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_gravel,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_gravel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_ice,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_metal,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_mud,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_paper,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_plaster,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_plaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_sand,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_snow,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_water,fly\footsteps\walk\water,WPN_GRENADE_BOUNCE,wpn_satchel surf_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_water_secondary,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_asphalt,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_ceramic,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_ceramic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_plastic,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_rubber,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_rubber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_cushion,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_fruit,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_satchel_plant_paintedmetal,wpn\grenade\satchel_charge\satchel_plant.wav,WPN_GRENADE_BOUNCE,wpn_satchel surf_paintedmetal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Material based bounces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_grenade_bounce_wood,wpn\grenade\bounce\frag\wood,WPN_GRENADE_BOUNCE,wpn_grenade surf_wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_grenade_bounce_rock,wpn\grenade\bounce\frag\metal,WPN_GRENADE_BOUNCE,wpn_grenade surf_rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
