name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
#ex41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_china_lake_fire_plr,wpn\gren_launcher\china_lake\plr\shot,WPN_ASLT_SHOT_PLR,wpn_china_lake,wpn_china_lake_bass_swt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_china_lake_bass_swt,wpn\gren_launcher\china_lake\lfe,WPN_ASLT_SHOT_PLR,wpn_china_lake,,,100,100,,,,,,,,,1,,,,,,,,,,,,,,,,,,smg_3p_gun_duck,lfe,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_china_lake_dryfire_plr,wpn\assault\dry_fire\plr,WPN_ASLT_SHOT_PLR,wpn_china_lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_ex41_pickup_plr,FLY\pickups\weapon,WPN_ALL_RELOAD_PLR,wpn_china_lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_ex41_1straise_plr,FLY\gear\rattle,WPN_ALL_RELOAD_PLR,wpn_china_lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_ex41_raise_plr,FLY\gear\rattle,WPN_ALL_RELOAD_PLR,wpn_china_lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_ex41_shell_in,wpn\gren_launcher\china_lake\foley\load,WPN_ALL_RELOAD_PLR,wpn_china_lake,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_ex41_pull,wpn\gren_launcher\china_lake\foley\fly_china_lake_back.wav,WPN_ALL_RELOAD_PLR,wpn_china_lake,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_ex41_push,wpn\gren_launcher\china_lake\foley\fly_china_lake_forward.wav,WPN_ALL_RELOAD_PLR,wpn_china_lake,,,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
