name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
# FUN stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weap_rgun_fire_plr,SFX\Weapon\ray_gun\wpn_ray_st_f.wav,,pel1 audio_test_tuey nazi_zombie_prototype,weap_rgun_fire_plr_act,rfl_1st,100,100,,,,,,,,,1,oldest,,,-34,34,,90,90,0.25,1,2d,,,,,,,,wpn_all,,,,,,,,,,,,,,,,,,,,,,,,,,,rfl_1st
weap_rgun_fire_rear_plr,SFX\Weapon\ray_gun\wpn_ray_st_r.wav,,pel1 audio_test_tuey nazi_zombie_prototype,weap_rgun_fire_rear_plr,rfl_1st,100,100,,,,,,,,,1,oldest,,,-34,34,,90,90,0.25,1,2d,,,,,,,,wpn_rear,,,,,,,,,,,,,,,,,,,,,,,,,,,rfl_1st
weap_rgun_fire_plr_act,SFX\Weapon\ray_gun\wpn_ray_st_f_act.wav,,pel1 audio_test_tuey nazi_zombie_prototype,weap_rgun_flux_plr_l,rfl_1st,100,100,,,,,,,,,3,oldest,,,0,0,,90,90,0.25,1,2d,,,,,,,,wpn_all,,,,,,,,,,,,,,,,,,,,,,,,,,,rfl_1st
weap_rgun_fire,SFX\Weapon\ray_gun\wpn_ray_mn.wav,,pel1 audio_test_tuey nazi_zombie_prototype,weap_rgun_fire_act,rfl_3rd,100,100,,250,4000,,,,,,1,oldest,,,-34,34,,70,90,0.25,1,3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rfl_3rd
weap_rgun_fire_act,SFX\Weapon\ray_gun\wpn_ray_mn_act.wav,,pel1 audio_test_tuey nazi_zombie_prototype,weap_rgun_flux_l,rfl_3rd,100,100,,100,400,,,,,,3,oldest,,,0,0,,70,90,0.25,1,3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rfl_3rd
weap_rgun_flux_plr_l,SFX\Weapon\ray_gun\wpn_ray_flux_l.wav,,pel1 audio_test_tuey nazi_zombie_prototype,weap_rgun_flux_plr_r,decay,99,100,,200,2000,,curve2,,,,3,oldest,,,-34,34,,90,90,0.25,1,3d,,,,,75,100,,,,,,,,,,,left_shot,4000,,,,,,,,,,,,,,,,,decay
weap_rgun_flux_plr_r,SFX\Weapon\ray_gun\wpn_ray_flux_r.wav,,pel1 audio_test_tuey nazi_zombie_prototype,,decay,99,100,,200,2000,,curve2,,,,3,oldest,,,0,0,,90,90,0.25,1,3d,,,,,100,100,,,,,,,,,,,right_shot,4000,,,,,,,,,,,,,,,,,decay
weap_rgun_flux_l,SFX\Weapon\ray_gun\wpn_ray_flux_l.wav,,pel1 audio_test_tuey nazi_zombie_prototype,weap_rgun_flux_r,decay,99,100,,200,1800,,curve2,,,,3,oldest,,,-34,34,,90,90,0.25,1,3d,,,,,75,,,,,,,,,,,,left_shot,2000,,,,,,,,,,,,,,,,,decay
weap_rgun_flux_r,SFX\Weapon\ray_gun\wpn_ray_flux_r.wav,,pel1 audio_test_tuey nazi_zombie_prototype,,decay,99,100,,200,1800,,curve2,,,,3,oldest,,,0,0,,90,90,0.25,1,3d,,,,,100,,,,,,,,,,,,right_shot,2000,,,,,,,,,,,,,,,,,decay
weap_rgun_loop,SFX\Weapon\ray_gun\wpn_ray_loop.wav,,pel1 audio_test_tuey nazi_zombie_prototype,,rfl_3rd,100,100,,300,4000,,curve2,,,,,,,,-34,34,,70,90,0.25,1,3d,,looping,,,,,,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,,,rfl_3rd
weap_rgun_exp,SFX\Weapon\ray_gun\wpn_ray_exp.wav,,pel1 audio_test_tuey nazi_zombie_prototype,weap_rgun_exp_cl,full_vol,100,100,,1200,8000,,,,,,,,,,-34,34,,70,90,0.25,1,3d,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,full_vol
weap_rgun_exp_cl,SFX\Weapon\ray_gun\wpn_ray_exp_cl.wav,,pel1 audio_test_tuey nazi_zombie_prototype,weap_rgun_exp_flux_l,full_vol,100,100,,250,400,,,,,,,,,,-34,34,,70,90,0.25,1,3d,,,,,250,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,full_vol
weap_rgun_exp_flux_l,SFX\Weapon\ray_gun\wpn_ray_flux_l.wav,,pel1 audio_test_tuey nazi_zombie_prototype,weap_rgun_exp_flux_r,decay,99,100,,200,1800,,curve2,,,,3,oldest,,,-617,-386,,90,90,0.25,1,3d,,,,,125,100,,,,,,,,,,,left_player,3000,,,,,,,,,,,,,,,,,decay
weap_rgun_exp_flux_r,SFX\Weapon\ray_gun\wpn_ray_flux_r.wav,,pel1 audio_test_tuey nazi_zombie_prototype,,decay,99,100,,200,1800,,curve2,,,,3,oldest,,,-617,-386,,90,90,0.25,1,3d,,,,,250,100,,,,,,,,,,,right_player,3000,,,,,,,,,,,,,,,,,decay
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ray_reload_open,SFX/Weapon/ray_gun/wpn_ray_reload_open.wav,,pel1 audio_test_tuey nazi_zombie_prototype,,reload,97,98,,,,,,curve4,,,,,,,-88,84,,80,95,0.55,1,2d,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,reload
ray_reload_battery_out,SFX/Weapon/ray_gun/wpn_ray_reload_battery_out.wav,,pel1 audio_test_tuey nazi_zombie_prototype,,reload,97,98,,,,,,curve4,,,,,,,-88,84,,80,95,0.55,1,2d,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,reload
