name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
amb_breathing_aparatus,,AMB_1000,,,,90,90,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_light_hum,amb\lights\hum\hum_00.wav,AMB_500,,,,94,98,,,,,,,,,,,,,-400,400,,,,,,,,looping,pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_player_heartmonitor,evt\front_end\heart_monitor,AMB_1000,,,,75,75,,,,,,,,,,,,,0,0,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_breathing_aparatus_scripted,amb\aparatus\aparatus_00.wav,AMB_1000,,,,80,80,,,,,,,,,2,oldest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_light_flourescent,amb\lights\flourescent,AMB_500,,,ambience,91,91,,,,,log2,log1,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,40,80,94,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_light_buzz_chair,amb\lights\hum,AMB_500,,,ambience,90,90,,,,,log2,log1,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,40,80,94,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_light_trippy,evt\int_escape\amb_light_trippy,AMB_500,,,ambience,91,91,,,,,log2,log1,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,40,80,94,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_data_flow_oneshots,amb\electronics\computer\data_flow,AMB_500,,,ambience,91,93,,,,,log2,log1,,,4,oldest,,,-600,400,,,,,,3d,,,,,,96,,,,40,80,97,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_mainframe_loop,amb\electronics\computer\loops\mainframe\mainframe_loop_02.wav,AMB_500,,,ambience,91,91,,,,,log2,log1,,,,,,,-600,-600,,,,,,3d,streamed,looping,,,,96,,,,40,80,94,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_electrical_motor,amb\electronics\computer\loops\fan,AMB_500,,,ambience,80,80,,,,,log2,log1,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,40,80,94,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
