name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Creek ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_chopperintro_STG,mus\creek\reboot\mus_chopperIntro_stg.wav,mus_normal_2D,creek,,,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,0,,quad,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_jungle_action_loop,mus\creek\reboot\mus_arclight_in_the_jungle_action.wav,MUS_NORMAL_LOOP_2D,creek,,,94,94,,,,,,,,,,,,,,,,,,,,,,looping,,,,0,,front_mostly,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_jungle_ambient_loop,mus\creek\reboot\mus_arclight_in_the_jungle_ambient.wav,MUS_NORMAL_LOOP_2D,creek,,,88,88,,,,,,,,,,,,,,,,,,,,,,looping,,,,0,,quad,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_meat_shield,mus\creek\reboot\mus_arclight_meat_shield.wav,mus_normal_2D,creek,,,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,0,,quad,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_bendz_tension,mus\creek\reboot\mus_bendz_tension.wav,mus_normal_2D,creek,,,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,0,,front_mostly,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_village_part_one,mus\creek\reboot\mus_samsung_village_part_one.wav,MUS_NORMAL_LOOP_2D,creek,,,94,94,,,,,,,,,,,,,,,,,,,,,,looping,,,,0,,front_mostly,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_village_part_two,mus\creek\reboot\mus_samsung_village_part_two.wav,MUS_NORMAL_LOOP_2D,creek,,,96,96,,,,,,,,,,,,,,,,,,,,,,looping,,,,0,,front_mostly,,,,,,,,,,,,,,,,,,,,,,,,,,,
#mus_invictus_tribal_loop,mus\creek\reboot\mus_invictus_village_tribal.wav,MUS_NORMAL_LOOP_2D,creek,,,100,100,,,,,,,,,,,,,,,,,,,,,,looping,,,,0,,quad,,,,,,,,,,,,,,,,,,,,,,,,,,,
