name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
# UI TEMPLATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIN_BUTTON_2D,,,,,ui,90,90,,,,,,,,,2,oldest,,,0,0,,100,100,0,1,2d,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,ui
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Player Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLY_STEP_CROUCH_WALK_PLR_2D,,,,,foley,62,65,,,,,,,,,2,oldest,,,-281,84,,70,70,0,1,2d,,,,,,90,,fly_foot_all,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_STEP_CROUCH_RUN_PLR_2D,,,,,foley,64,68,,,,,,,,,2,oldest,,,-281,84,,70,70,0,1,2d,,,,,,90,,fly_foot_all,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_STEP_WALK_PLR_2D,,,,,foley,94,96,,,,,,,,,2,oldest,,,-281,84,,70,70,0,1,2d,,,,,,94,,fly_foot_all,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_STEP_RUN_PLR_2D,,,,,foley,96,98,,,,,,,,,2,oldest,,,-200,84,,70,70,0,1,2d,,,,,,96,,fly_foot_all,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_STEP_SPRINT_PLR_2D,,,,,foley,98,100,,,,,,,,,2,oldest,,,-281,84,,70,70,0,1,2d,,,,,,98,,fly_foot_all,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_STEP_PRONE_PLR_2D,,,,,foley,86,88,,,,,,,,,2,oldest,,,-88,67,,70,70,0,1,2d,,,,,,90,,fly_foot_all,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_GEAR_FRONT_PLR_2D,,,,,foley,95,98,,,,,,,,,2,oldest,,,-88,84,,70,70,0,1,2d,,,,,,90,,fly_gear_front_73,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_GEAR_CENTER_PLR_2D,,,,,foley,100,100,,,,,,,,,2,oldest,,,-88,84,,70,70,0,1,2d,,,,,,90,,fly_gear_wpn_cnt,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_GEAR_REAR_PLR_2D,,,,,foley,94,97,,,,,,,,,2,oldest,,,-88,84,,70,70,0,1,2d,,,,,,90,,fly_gear_rear_73,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
# Player Quiet Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLY_QSTEP_CROUCH_WALK_PLR_2D,,,,,foley,45,50,,,,,,,,,2,oldest,,,-281,67,,70,70,0,1,2d,,,,,,89,,fly_foot_all,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_QSTEP_CROUCH_RUN_PLR_2D,,,,,foley,50,53,,,,,,,,,2,oldest,,,-281,67,,70,70,0,1,2d,,,,,,89,,fly_foot_all,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_QSTEP_WALK_PLR_2D,,,,,foley,55,60,,,,,,,,,2,oldest,,,-281,84,,70,70,0,1,2d,,,,,,89,,fly_foot_all,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_QSTEP_RUN_PLR_2D,,,,,foley,65,68,,,,,,,,,2,oldest,,,-281,84,,70,70,0,1,2d,,,,,,89,,fly_foot_all,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_QSTEP_SPRINT_PLR_2D,,,,,foley,70,73,,,,,,,,,2,oldest,,,-281,84,,70,70,0,1,2d,,,,,,89,,fly_foot_all,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_QSTEP_PRONE_PLR_2D,,,,,foley,50,63,,,,,,,,,2,oldest,,,-386,165,,70,70,0,1,2d,,,,,,89,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_QGEAR_FRONT_PLR_2D,,,,,foley,65,68,,,,,,,,,2,oldest,,,-88,84,,70,70,0,1,2d,,,,,,89,,fly_gear_front_73,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_QGEAR_CENTER_PLR_2D,,,,,foley,65,68,,,,,,,,,2,oldest,,,-88,84,,70,70,0,1,2d,,,,,,89,,fly_gear_wpn_cnt,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_QGEAR_REAR_PLR_2D,,,,,foley,65,68,,,,,,,,,2,oldest,,,-88,84,,70,70,0,1,2d,,,,,,89,,fly_gear_rear_73,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLY_CM_PLR_2D,,,,,foley,100,100,,,,,,,,,2,oldest,,,0,0,,70,70,0,1,2d,,,,,,96,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_CM_LOOP_PLR_2D,,,,,foley,100,100,,,,,,,,,2,oldest,,,0,0,,70,70,0,1,2d,,looping,,,,96,,fly_foot_all,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NPC Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLY_STEP_CROUCH_WALK_NPC,,,,,foley,70,73,,50,300,,log2,,,,3,priority,2,oldest,-281,250,0.8,10,90,0.15,0.85,3d,,,,,,94,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_STEP_CROUCH_RUN_NPC,,,,,foley,73,76,,60,350,,log2,,,,3,priority,2,oldest,-200,250,0.8,10,90,0.15,0.85,3d,,,,,,94,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_STEP_WALK_NPC,,,,,foley,95,98,,50,800,,log2,,,,3,priority,2,oldest,-281,250,0.8,10,90,0.15,0.85,3d,,,,,,94,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_STEP_RUN_NPC,,,,,foley,96,99,,50,1000,,log2,,,,3,priority,2,oldest,-200,250,0.8,10,90,0.15,0.85,3d,,,,,,94,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_STEP_SPRINT_NPC,,,,,foley,97,100,,70,1100,,log2,,,,3,priority,2,oldest,-281,250,0.8,10,90,0.15,0.85,3d,,,,,,94,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_STEP_PRONE_NPC,,,,,foley,83,87,,50,500,,log2,,,,3,priority,2,oldest,-182,0,0.8,10,90,0.15,0.85,3d,,,,,,94,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_GEAR_FRONT_NPC,,,,,foley,90,94,,40,475,,log2,,,,3,priority,2,oldest,-617,-281,0.8,10,90,0.15,0.85,3d,,,,,,94,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
FLY_GEAR_REAR_NPC,,,,,foley,90,94,,50,600,,log2,,,,3,priority,2,oldest,-617,-281,0.8,10,90,0.15,0.85,3d,,,,,,94,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,foley
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NPC Quiet Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
