name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
#M16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m16_fire_plr,wpn\assault\m16\plr\shot,WPN_ASLT_SHOT_PLR,wpn_m16,wpn_m16_fire_plr_ring_f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smg_3p_gun_duck,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m16_fire_plr_ring_f,wpn\assault\m16\plr\ringoff\ringoff_f.wav,WPN_ASLT_RING_PLR,wpn_m16,wpn_m16_fire_plr_ring_r,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,front,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m16_fire_plr_ring_r,wpn\assault\m16\plr\ringoff\ringoff_f.wav,WPN_ASLT_RING_PLR,wpn_m16,wpn_m16_bass_swt,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,back,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m16_bass_swt,wpn\smg\g11\lfe,WPN_ASLT_SHOT_PLR,wpn_m16,fly_assault_shell_out_plr,,100,100,,,,,,,,,1,,,,,,,,,,,,,,,,,,,lfe,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m16_silencer_fire_plr,wpn\assault\m16\plr\shot\silenced,WPN_ASLT_SHOT_SIL_PLR,wpn_m16,wpn_m16_bass_swt_silencer,,,,,,,,,,,,1,oldest,,,,,,,,,,,,,,,,,smg_3p_silencer_duck,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m16_bass_swt_silencer,wpn\smg\g11\lfe,WPN_SMG_SHOT_PLR,wpn_m16,fly_assault_shell_out_sil_plr,,100,100,,,,,,,,,1,,,,,,,,,,,,,,,,,,,lfe,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m16_dryfire_plr,wpn\assault\dry_fire\plr,WPN_ASLT_SHOT_PLR,wpn_m16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m16_pickup_plr,FLY\pickups\weapon,WPN_PICKUP_PLR,wpn_m16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m16_1straise_plr,FLY\gear\rattle,WPN_ALL_RELOAD_PLR,wpn_m16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m16_raise_plr,FLY\gear\rattle,WPN_ALL_RELOAD_PLR,wpn_m16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m16_mag_out,wpn\assault\m16\reload\fly_m16_mag_out.wav,WPN_ALL_RELOAD_PLR,wpn_m16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m16_futz,wpn\assault\m16\reload\fly_m16_futz.wav,WPN_ALL_RELOAD_PLR,wpn_m16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m16_mag_in,wpn\assault\m16\reload\fly_m16_mag_in.wav,WPN_ALL_RELOAD_PLR,wpn_m16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
