name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
#rpk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_rpk_fire_plr,wpn\lmg\rpk\plr\shot,WPN_LMG_SHOT_PLR,wpn_rpk,wpn_rpk_fire_plr_ring_f,,,,,,,,,,,,2,,,,0,0,,,,,,,,,,,,,smg_3p_gun_duck,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_rpk_fire_plr_ring_f,wpn\assault\aug\plr\ringoff\ringoff_f.wav,WPN_LMG_RING_PLR,wpn_rpk,wpn_rpk_fire_plr_ring_r,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,quad,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_rpk_fire_plr_ring_r,wpn\assault\aug\plr\ringoff\ringoff_r.wav,WPN_LMG_RING_PLR,wpn_rpk,wpn_rpk_bass_swt,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,back,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_rpk_bass_swt,wpn\lmg\hk21\lfe,WPN_LMG_SHOT_PLR,wpn_rpk,fly_lmg_shell_out_plr,,100,100,,,,,,,,,1,,,,0,0,,,,,,,,,,,,,,lfe,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_rpk_dryfire_plr,wpn\lmg\dry_fire\plr,WPN_LMG_SHOT_PLR,wpn_rpk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_rpk_pickup_plr,FLY\pickups\weapon,WPN_PICKUP_PLR,wpn_rpk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_rpk_1straise_plr,FLY\gear\rattle,WPN_ALL_RELOAD_PLR,wpn_rpk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
