name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
#wa2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_wa2000_fire_plr,wpn\sniper\wa2000\plr\shot,WPN_RFL_SHOT_PLR,wpn_wa2000,wpn_wa2000_bass_swt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sniper_3p_gun_duck,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_wa2000_bass_swt,wpn\sniper\wa2000\lfe,WPN_ASLT_SHOT_PLR,wpn_wa2000,fly_sniper_shell_out_plr,,100,100,,,,,,,,,1,,,,,,,,,,,,,,,,,,,lfe,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_wa2000_silencer_fire_plr,wpn\sniper\wa2000\plr\shot\silenced,WPN_RFL_SHOT_SIL_PLR,wpn_wa2000,wpn_wa2000_bass_swt_silencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smg_3p_silencer_duck,all,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_wa2000_bass_swt_silencer,wpn\sniper\wa2000\lfe,WPN_SMG_SHOT_PLR,wpn_wa2000,fly_sniper_shell_out_plr,,100,100,,,,,,,,,1,,,,,,,,,,,,,,,,,,,lfe,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_wa2000_dryfire_plr,wpn\lmg\dry_fire\plr,WPN_RFL_SHOT_PLR,wpn_wa2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_wa2000_pickup_plr,FLY\pickups\weapon,WPN_PICKUP_PLR,wpn_wa2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_wa2000_1straise_plr,FLY\gear\rattle,WPN_ALL_RELOAD_PLR,wpn_wa2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_wa2000_raise_plr,FLY\gear\rattle,WPN_ALL_RELOAD_PLR,wpn_wa2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_wa2000_mag_out,wpn\sniper\wa2000\reload\fly_wa2000_mag_out.wav,WPN_ALL_RELOAD_PLR,wpn_wa2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_wa2000_mag_in,wpn\sniper\wa2000\reload\fly_wa2000_mag_in.wav,WPN_ALL_RELOAD_PLR,wpn_wa2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_wa2000_tap,wpn\sniper\wa2000\reload\fly_wa2000_tap.wav,WPN_ALL_RELOAD_PLR,wpn_wa2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_wa2000_futz,wpn\sniper\l96a1\reload\fly_l96a1_futz.wav,WPN_ALL_RELOAD_PLR,wpn_wa2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_wa2000_dial_scope,wpn\sniper\wa2000\reload\fly_wa2000_dial_scope.wav,WPN_ALL_RELOAD_PLR,wpn_wa2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_wa2000_bolt_back,wpn\assault\m14\reload\fly_m14_bolt_back.wav,WPN_ALL_RELOAD_PLR,wpn_wa2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_wa2000_bolt_release,wpn\assault\m14\reload\fly_m14_bolt_release.wav,WPN_ALL_RELOAD_PLR,wpn_wa2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_wa2000_scope_zoom,wpn\scope\zoom,WPN_ALL_RELOAD_PLR,wpn_wa2000,,event,95,95,,20000,40000,41000,,,,,,,,,0,0,,100,100,0.25,1,2d,,,,,,86,,,,521,4000,100,0.15,,,no,,,,,,,,,,,,,,,,,,,event
#NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_wa2000_fire_npc,wpn\sniper\wa2000\plr\shot,WPN_RFL_SHOT_NPC,wpn_wa2000,wpn_wa2000_fire_npc_dist_ring,,,,,500,7000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,
#wpn_wa2000_fire_npc_dist,wpn\sniper\psg1\npc\dist,WPN_ASLT_DIST_NPC,wpn_wa2000,wpn_wa2000_fire_npc_dist_ring,,97,97,,,,,,,,,10,oldest,3,oldest,0,0,,,,,,,,,pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_wa2000_fire_npc_dist_ring,wpn\sniper\ringoff\2,WPN_RFL_SHOT_NPC,wpn_wa2000,fly_sniper_shell_out_npc,,100,100,,500,7000,8000,,,,,10,oldest,3,oldest,0,0,,,,,,,,,pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_wa2000_silencer_fire_npc,wpn\sniper\wa2000\plr\shot\silenced,WPN_RFL_SHOT_SIL_NPC,wpn_wa2000,fly_sniper_shell_out_npc,,,,,250,4500,4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,
wpn_wa2000_dryfire_npc,wpn\lmg\dry_fire\npc,WPN_RFL_SHOT_NPC,wpn_wa2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_wa2000_pickup_npc,FLY\pickups\weapon,WPN_PICKUP_NPC,wpn_wa2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_wa2000_1straise_npc,FLY\gear\rattle,WPN_ALL_RELOAD_NPC,wpn_wa2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_wa2000_raise_npc,FLY\gear\rattle,WPN_ALL_RELOAD_NPC,wpn_wa2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#dragunov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_dragunov_fire_plr,wpn\sniper\dragunov\plr\shot,WPN_RFL_SHOT_PLR,wpn_dragunov,wpn_dragunov_bass_swt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dragunov_3p_gun_duck,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_dragunov_bass_swt,wpn\sniper\dragunov\lfe,WPN_ASLT_SHOT_PLR,wpn_dragunov,fly_sniper_shell_out_plr,,100,100,,,,,,,,,1,,,,,,,,,,,,,,,,,,,lfe,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_dragunov_silencer_fire_plr,wpn\sniper\wa2000\plr\shot\silenced,WPN_RFL_SHOT_SIL_PLR,wpn_dragunov,wpn_dragunov_bass_swt_silencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smg_3p_silencer_duck,all,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_dragunov_bass_swt_silencer,wpn\sniper\dragunov\lfe,WPN_SMG_SHOT_PLR,wpn_dragunov,fly_sniper_shell_out_plr,,100,100,,,,,,,,,1,,,,,,,,,,,,,,,,,,,lfe,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_dragunov_dryfire_plr,wpn\lmg\dry_fire\plr,WPN_RFL_SHOT_PLR,wpn_dragunov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_dragunov_pickup_plr,FLY\pickups\weapon,WPN_PICKUP_PLR,wpn_dragunov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_dragunov_1straise_plr,FLY\gear\rattle,WPN_ALL_RELOAD_PLR,wpn_dragunov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_dragunov_raise_plr,FLY\gear\rattle,WPN_ALL_RELOAD_PLR,wpn_dragunov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_dragunov_mag_out,wpn\sniper\dragunov\reload\fly_dragunov_mag_out.wav,WPN_ALL_RELOAD_PLR,wpn_dragunov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_dragunov_mag_in,wpn\sniper\dragunov\reload\fly_dragunov_mag_in.wav,WPN_ALL_RELOAD_PLR,wpn_dragunov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_dragunov_futz,wpn\assault\ak47\reload\fly_ak47_futz.wav,WPN_ALL_RELOAD_PLR,wpn_dragunov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_dragunov_bolt_back,wpn\sniper\dragunov\reload\fly_dragunov_pull.wav,WPN_ALL_RELOAD_PLR,wpn_dragunov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_dragunov_bolt_release,wpn\sniper\dragunov\reload\fly_dragunov_release.wav,WPN_ALL_RELOAD_PLR,wpn_dragunov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_dragunov_dial_scope,wpn\sniper\dragunov\reload\fly_dragunov_dial_scope.wav,WPN_ALL_RELOAD_PLR,wpn_dragunov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_dragunov_fire_npc,wpn\sniper\dragunov\plr\shot,WPN_RFL_SHOT_NPC,wpn_dragunov,wpn_dragunov_fire_npc_dist_ring,,,,,500,7000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,
#wpn_dragunov_fire_npc_dist,wpn\sniper\psg1\npc\dist,WPN_ASLT_DIST_NPC,wpn_dragunov,wpn_dragunov_fire_npc_dist_ring,,97,97,,,,,,,,,10,oldest,3,oldest,0,0,,,,,,,,,pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_dragunov_fire_npc_dist_ring,wpn\sniper\ringoff\2,WPN_RFL_SHOT_NPC,wpn_dragunov,fly_sniper_shell_out_npc,,100,100,,500,7000,8000,,,,,10,oldest,3,oldest,0,0,,,,,,,,,pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_dragunov_silencer_fire_npc,wpn\sniper\wa2000\plr\shot\silenced,WPN_RFL_SHOT_SIL_NPC,wpn_dragunov,fly_sniper_shell_out_npc,,,,,250,4500,4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,
wpn_dragunov_dryfire_npc,wpn\lmg\dry_fire\npc,WPN_RFL_SHOT_NPC,wpn_dragunov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_dragunov_pickup_npc,FLY\pickups\weapon,WPN_PICKUP_NPC,wpn_dragunov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
