name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
# hs10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_hs10_fire_plr,WPN\shotgun\hs10\plr\shot,WPN_SHG_SHOT_PLR,wpn_hs10,wpn_hs10_fire_plr_ring_f,,,,,,,,,,,,2,oldest,,,,,,,,,,,,,,,,,hs10_3p_gun_duck,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_hs10_fire_plr_lh,WPN\shotgun\hs10\plr\shot,WPN_SHG_SHOT_PLR,wpn_hs10,wpn_hs10_fire_plr_ring_f,,,,,,,,,,,,2,oldest,,,,,,,,,,,,,,,,,hs10_3p_gun_duck,wpn_left,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_hs10_fire_plr_rh,WPN\shotgun\hs10\plr\shot,WPN_SHG_SHOT_PLR,wpn_hs10,wpn_hs10_fire_plr_ring_f,,,,,,,,,,,,2,oldest,,,,,,,,,,,,,,,,,hs10_3p_gun_duck,wpn_right,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_hs10_fire_plr_ring_f,wpn\shotgun\spas\plr\ringoff\ringoff_f.wav,WPN_SHG_RING_PLR,wpn_hs10,wpn_hs10_fire_plr_ring_r,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,front,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_hs10_fire_plr_ring_r,wpn\shotgun\spas\plr\ringoff\ringoff_r.wav,WPN_SHG_RING_PLR,wpn_hs10,wpn_hs10_bass_swt,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,back,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_hs10_bass_swt,wpn\shotgun\lfe,WPN_ASLT_SHOT_PLR,wpn_hs10,fly_shotgun_shell_out_plr,,97,97,,,,,,,,,1,,,,,,,,,,,,,,,,,,,lfe,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_hs10_dryfire_plr,WPN\shotgun\dry_fire\plr,WPN_SHG_SHOT_PLR,wpn_hs10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_hs10_pickup_plr,FLY\pickups\weapon,WPN_PICKUP_PLR,wpn_hs10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_hs10_1straise_plr,FLY\gear\weapon,WPN_ALL_RELOAD_PLR,wpn_hs10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_hs10_raise_plr,FLY\gear\weapon,WPN_ALL_RELOAD_PLR,wpn_hs10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_hs10_charge,wpn\shotgun\hs10\plr\foley\fly_hs10_charge.wav,WPN_ALL_RELOAD_PLR,wpn_hs10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_hs10_shell_in,WPN\shotgun\foley\load,WPN_ALL_RELOAD_PLR,wpn_hs10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_hs10_fire_npc,WPN\shotgun\hs10\plr\shot,WPN_SHG_SHOT_NPC,wpn_hs10,wpn_hs10_fire_npc_dist,,,,,500,5000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,
wpn_hs10_fire_npc_dist,wpn\shotgun\rottweil72\npc\dist,WPN_SHG_DIST_NPC,wpn_hs10,fly_shotgun_shell_out_npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_hs10_dryfire_npc,WPN\shotgun\dry_fire\npc,WPN_SHG_SHOT_NPC,wpn_hs10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_hs10_pickup_npc,FLY\pickups\weapon,WPN_PICKUP_NPC,wpn_hs10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_hs10_1straise_npc,FLY\gear\weapon,WPN_ALL_RELOAD_NPC,wpn_hs10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_hs10_raise_npc,FLY\gear\weapon,WPN_ALL_RELOAD_NPC,wpn_hs10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire Plr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_hs10_fire_plr_pap,wpn\pap\pap_shot_st.wav,WPN_PAP_SHOT_PLR,wpn_hs10 pap,wpn_hs10_flux_l_plr_pap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_hs10_fire_plr_pap_lh,wpn\pap\pap_shot_st.wav,WPN_PAP_SHOT_PLR,wpn_hs10 pap,wpn_hs10_flux_l_plr_pap_lh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wpn_left,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_hs10_fire_plr_pap_rh,wpn\pap\pap_shot_st.wav,WPN_PAP_SHOT_PLR,wpn_hs10 pap,wpn_hs10_flux_l_plr_pap_rh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wpn_right,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_hs10_flux_l_plr_pap,wpn\pap\pap_flux_left.wav,WPN_PAP_FLUX_LEFT,wpn_hs10 pap,wpn_hs10_flux_r_plr_pap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_hs10_flux_r_plr_pap,wpn\pap\pap_flux_right.wav,WPN_PAP_FLUX_RIGHT,wpn_hs10 pap,wpn_hs10_fire_plr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
