name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
#M203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#wpn_m203_fire_plr,wpn\rocket\m202\plr\shot,,wpn_rpg,,wpn_plr,100,100,,1000,10000,15000,curve4,curve2,,,,,,,-34,67,,90,90,0.25,1,3d,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,wpn_plr
#NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#wpn_m203_fire_npc,wpn\rocket\m202\npc\shot,,wpn_rpg,,wpn_npc,100,100,,1000,10000,15000,curve4,curve2,,,,,,,-34,67,,90,90,0.25,1,3d,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,wpn_npc
#rpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_rpg_fire_plr,wpn\rocket\rpg\plr\shot,WPN_SHL_SHOT_PLR,wpn_rpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_rpg_dryfire_plr,wpn\lmg\dry_fire\plr,WPN_SHL_SHOT_PLR,wpn_rpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_rpg_pickup_plr,FLY\pickups\weapon,WPN_ALL_RELOAD_PLR,wpn_rpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_rpg_1straise_plr,FLY\gear\rattle,WPN_ALL_RELOAD_PLR,wpn_rpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_rpg_raise_plr,FLY\gear\rattle,WPN_ALL_RELOAD_PLR,wpn_rpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_rpg_futz,wpn\rocket\rpg\foley\fly_rpg_futz.wav,WPN_ALL_RELOAD_PLR,wpn_rpg,,,86,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_rpg_slide,wpn\rocket\rpg\foley\fly_rpg_slide.wav,WPN_ALL_RELOAD_PLR,wpn_rpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_rpg_lock,wpn\rocket\rpg\foley\fly_rpg_latch.wav,WPN_ALL_RELOAD_PLR,wpn_rpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_law_sight_up,wpn\gren_launcher\china_lake\foley\fly_china_lake_sight_up.wav,WPN_ALL_RELOAD_PLR,wpn_rpg,,,100,100,,,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_rpg_fire_npc,wpn\rocket\rpg\plr\shot,WPN_SHL_SHOT_NPC,wpn_rpg,,,,,,1500,12000,,,,,,,,,,,,,,,,,,,,,,,,rpg_whine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_rpg_dryfire_npc,wpn\lmg\dry_fire\npc,WPN_SHL_SHOT_NPC,wpn_rpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_rpg_pickup_npc,FLY\pickups\weapon,WPN_ALL_RELOAD_NPC,wpn_rpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_rpg_1straise_npc,FLY\gear\rattle,WPN_ALL_RELOAD_NPC,wpn_rpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_rpg_raise_npc,FLY\gear\rattle,WPN_ALL_RELOAD_NPC,wpn_rpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Projectile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_rpg_loop,prj\rocket\rpg\whoosh,WPN_SHL_PROJ,wpn_rpg,wpn_rpg_loop_close,,,,,,,,,,,,,,,,300,600,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
wpn_rpg_loop_close,prj\rocket\rpg\whoosh\close,WPN_SHL_PROJ,wpn_rpg,wpn_rpg_loop_whine,,,,,250,750,1000,log1,,,,,,,,,,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
wpn_rpg_loop_whine,prj\rocket\rpg\whoosh\whine,WPN_SHL_PROJ,wpn_rpg,,projectile,,,,125,400,450,log0,,,,,,,,0,300,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,rpg_whine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TOW M203 TV GUIDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_rpg_loop_tow,prj\rocket\rpg\whoosh,WPN_SHL_PROJ,wpn_rpg,wpn_rpg_loop_close_tow,,,,,,,,,,,,,,,,300,600,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
wpn_rpg_loop_close_tow,prj\rocket\rpg\whoosh\close,WPN_SHL_PROJ,wpn_rpg,wpn_rpg_loop_whine_tow,,,,,2000,5000,8000,log1,curve0,,,,,,,,,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
wpn_rpg_loop_whine_tow,prj\rocket\rpg\whoosh\whine,WPN_SHL_PROJ,wpn_rpg,,projectile,,,,400,900,1200,log0,,,,,,,,0,300,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,rpg_whine
#strela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_strela_fire_plr,wpn\rocket\rpg\plr\shot,WPN_SHL_SHOT_PLR,wpn_strela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rpg_whine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_strela_dryfire_plr,wpn\lmg\dry_fire\plr,WPN_SHL_SHOT_PLR,wpn_strela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_strela_loop,prj\rocket\rpg\whoosh,WPN_SHL_PROJ,wpn_strela,wpn_strela_loop_close,,,,,500,4000,4500,curve1,,,,,,,,,,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
wpn_strela_loop_close,prj\rocket\rpg\whoosh\close,WPN_SHL_PROJ,wpn_strela,wpn_strela_loop_whine,,,,,250,750,1000,curve2,,,,,,,,,,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
wpn_strela_loop_whine,prj\rocket\rpg\whoosh\whine,WPN_SHL_PROJ,wpn_strela,,projectile,,,,125,400,450,curve3,,,,,,,,0,300,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,rpg_whine
wpn_strela_explo,wpn\grenade\explosion\explode,WPN_GRENADE_EXP,wpn_strela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_strela_pickup_plr,FLY\pickups\weapon,WPN_ALL_RELOAD_PLR,wpn_strela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_strela_1straise_plr,FLY\gear\rattle,WPN_ALL_RELOAD_PLR,wpn_strela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_strela_raise_plr,FLY\gear\rattle,WPN_ALL_RELOAD_PLR,wpn_strela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_strela_load_plr,wpn\rocket\rpg\foley\fly_rpg_slide.wav,WPN_ALL_RELOAD_PLR,wpn_strela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_strela_fire_npc,wpn\rocket\rpg\plr\shot,WPN_SHL_SHOT_NPC,wpn_strela,,,,,,1500,12000,,,,,,,,,,,,,,,,,,,,,,,,rpg_whine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_strela_dryfire_npc,wpn\lmg\dry_fire\npc,WPN_SHL_SHOT_NPC,wpn_strela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_strela_pickup_npc,FLY\pickups\weapon,WPN_ALL_RELOAD_NPC,wpn_strela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_strela_1straise_npc,FLY\gear\rattle,WPN_ALL_RELOAD_NPC,wpn_strela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_strela_raise_npc,FLY\gear\rattle,WPN_ALL_RELOAD_NPC,wpn_strela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#m202a1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m202_fire_plr,wpn\rocket\rpg\plr\shot,WPN_SHL_SHOT_PLR,wpn_m202,wpn_m202_fire_blast_plr,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,rpg_whine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m202_fire_blast_plr,wpn\rocket\m202\plr\blast,WPN_SHL_SHOT_PLR,wpn_m202,wpn_m202_flux_plr_l,wpn_heavy_plr,,,,,,,,,,,,,2,reject,,,,,,,,,,,,,250,,,back,,,,,,,,,,,,,,,,,,,,,,,,,,,wpn_heavy_plr
wpn_m202_fire_trigger_plr,wpn\rocket\m202\plr\act,WPN_SHL_SHOT_PLR,wpn_m202,,,85,87,,,,,,,,,,,1,reject,,,,,,,,,,,,,,,rpg_whine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m202_dryfire_plr,wpn\lmg\dry_fire\plr,WPN_SHL_SHOT_PLR,wpn_m202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m202_flux_plr_l,wpn\rocket\m202\flux\flux_l.wav,WPN_SHG_PLR_FLUX_L,wpn_m202,wpn_m202_flux_plr_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m202_flux_plr_r,wpn\rocket\m202\flux\flux_r.wav,WPN_SHG_PLR_FLUX_R,wpn_m202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m202_pickup_plr,FLY\pickups\weapon,WPN_ALL_RELOAD_PLR,wpn_m202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m202_1straise_plr,FLY\gear\rattle,WPN_ALL_RELOAD_PLR,wpn_m202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m202_raise_plr,FLY\gear\rattle,WPN_ALL_RELOAD_PLR,wpn_m202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m202_flip_sight,wpn\rocket\m202\foley\fly_m202_flip_sight.wav,WPN_ALL_RELOAD_PLR,wpn_m202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m202_select,wpn\rocket\m202\foley\select,WPN_ALL_RELOAD_NPC,wpn_m202,,,86,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m202_down,wpn\rocket\m202\foley\fly_m202_down.wav,WPN_ALL_RELOAD_PLR,wpn_m202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m202_flip_ground,wpn\rocket\m202\foley\fly_m202_ground.wav,WPN_ALL_RELOAD_PLR,wpn_m202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m202_flip_start,wpn\rocket\m202\foley\fly_m202_start.wav,WPN_ALL_RELOAD_PLR,wpn_m202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m202_flip_tap,wpn\rocket\m202\foley\fly_m202_tap.wav,WPN_ALL_RELOAD_PLR,wpn_m202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m202_flip_up,wpn\rocket\m202\foley\fly_m202_up.wav,WPN_ALL_RELOAD_PLR,wpn_m202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
