name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
# skorpion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_skorpion_fire_plr,WPN\smg\skorpion\plr\shot,WPN_SMG_SHOT_PLR,wpn_skorpion,wpn_skorpion_fire_plr_ring_f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smg_3p_gun_duck,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_skorpion_fire_plr_lh,WPN\smg\skorpion\plr\shot,WPN_SMG_SHOT_PLR,wpn_skorpion,wpn_skorpion_fire_plr_ring_f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smg_3p_gun_duck,wpn_left,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_skorpion_fire_plr_rh,WPN\smg\skorpion\plr\shot,WPN_SMG_SHOT_PLR,wpn_skorpion,wpn_skorpion_fire_plr_ring_f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smg_3p_gun_duck,wpn_right,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_skorpion_fire_plr_ring_f,WPN\smg\skorpion\plr\ringoff\ringoff_f.wav,WPN_SMG_RING_PLR,wpn_skorpion,wpn_skorpion_fire_plr_ring_r,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,front,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_skorpion_fire_plr_ring_r,WPN\smg\skorpion\plr\ringoff\ringoff_r.wav,WPN_SMG_RING_PLR,wpn_skorpion,wpn_skorpion_bass_swt,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,back,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_skorpion_bass_swt,wpn\smg\mpl\lfe,WPN_SMG_SHOT_PLR,wpn_skorpion,fly_smg_shell_out_plr,,100,100,,,,,,,,,1,,,,,,,,,,,,,,,,,,,lfe,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_skorpion_silencer_fire_plr,wpn\assault\aug\plr\shot\silenced,WPN_ASLT_SHOT_PLR,wpn_skorpion,wpn_skorpion_silencer_bass_swt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,smg_3p_silencer_duck,wpn_all,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_skorpion_silencer_bass_swt,wpn\smg\mpl\lfe,WPN_ASLT_SHOT_PLR,wpn_skorpion,fly_smg_shell_out_sil_plr,,100,100,,,,,,,,,1,,,,,,,,,,,,,,,,,,,lfe,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_skorpion_dryfire_plr,WPN\smg\dry_fire\plr,WPN_SMG_SHOT_PLR,wpn_skorpion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_skorpion_pickup_plr,FLY\pickups\weapon,WPN_PICKUP_PLR,wpn_skorpion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_skorpion_1straise_plr,FLY\gear\rattle,WPN_ALL_RELOAD_PLR,wpn_skorpion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
