name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
# MINI GUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_minigun_fire_loop_plr,wpn\lmg\minigun\dmachine\plr\loop,WPN_LMG_SHOT_PLR,wpn_minigun,wpn_minigun_fire_loop_lfe_plr,,100,100,,,,,,,,,1,reject,1,reject,,,,,,,,,,looping,,,,,smg_3p_gun_duck,quad,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_minigun_fire_loop_lfe_plr,wpn\lmg\minigun\wpn_minigun_shot_loop_lfe_plr.wav,WPN_LMG_SHOT_PLR,wpn_minigun,,,0,0,,,,,,,,,1,reject,1,reject,,,,,,,,,,looping,,,,,,lfe,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_minigun_fire_loop_ring_plr,wpn\lmg\minigun\dmachine\plr\wpn_minigun_ring_plr.wav,WPN_LMG_SHOT_PLR,wpn_minigun,wpn_minigun_fire_lfe_ring_plr,,100,100,,,,,,,,, , , , ,0,0,,,,,,,,,,,,,,quad,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_minigun_fire_lfe_ring_plr,wpn\lmg\minigun\wpn_minigun_shot_lfe_ring_plr.wav,WPN_LMG_SHOT_PLR,wpn_minigun,,,96,96,,,,,,,,, , , , ,0,0,,,,,,,,,,,,,,quad,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_minigun_start_plr,wpn\lmg\minigun\dmachine\plr\wpn_minigun_start_plr.wav,WPN_LMG_ACT_PLR,wpn_minigun,,,95,95,,,,,,,,,1,reject,1,reject,0,0,,,,,,,,,,,,,,quad,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_minigun_loop_plr,wpn\lmg\minigun\dmachine\plr\wpn_minigun_loop_plr.wav,WPN_LMG_ACT_PLR,wpn_minigun,,,94,94,,,,,,,,,,,,,0,0,,,,,,,,looping,,,,,,quad,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_minigun_stop_plr,wpn\lmg\minigun\dmachine\plr\wpn_minigun_stop_plr.wav,WPN_LMG_ACT_PLR,wpn_minigun,,,95,95,,,,,,,,,1,reject,1,reject,0,0,,,,,,,,,,,,,,quad,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_minigun_dryfire_plr,,WPN_LMG_SHOT_PLR,wpn_minigun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_minigun_pickup_plr,FLY\pickups\weapon,WPN_ALL_RELOAD_PLR,wpn_minigun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_minigun_1straise_plr,FLY\gear\rattle,WPN_ALL_RELOAD_PLR,wpn_minigun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_minigun_raise_plr,wpn\lmg\minigun\foley,WPN_ALL_RELOAD_PLR,wpn_minigun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_minigun_fire_loop_npc,wpn\lmg\minigun\dmachine\plr\loop,WPN_LMG_SHOT_NPC,wpn_minigun,,,99,99,,1500,5000,5001,,,,,,,1,reject,,,,,,,,,,looping,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_minigun_fire_loop_ring_npc,wpn\lmg\minigun\wpn_minigun_shot_loop_ring_npc.wav,WPN_LMG_SHOT_NPC,wpn_minigun,wpn_minigun_dist_loop_ring_npc,,99,99,,500,2000,5001,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_minigun_dist_loop_npc,wpn\lmg\minigun\wpn_minigun_dist_loop_npc.wav,WPN_LMG_DIST_NPC,wpn_minigun,,,,,,500,2000,5001,,,,,,,1,reject,,,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_minigun_dist_loop_ring_npc,wpn\lmg\minigun\wpn_minigun_dist_ring_npc.wav,WPN_LMG_DIST_NPC,wpn_minigun,,,,,,500,2000,5001,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_minigun_start_npc,wpn\lmg\minigun\dmachine\plr\wpn_minigun_start_plr.wav,WPN_LMG_ACT_NPC,wpn_minigun,,,,,,500,2000,5001,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_minigun_stop_npc,wpn\lmg\minigun\dmachine\plr\wpn_minigun_stop_plr.wav,WPN_LMG_ACT_NPC,wpn_minigun,,,,,,500,2000,5001,,,,,,,1,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_minigun_loop_npc,wpn\lmg\minigun\dmachine\plr\wpn_minigun_loop_plr.wav,WPN_LMG_ACT_NPC,wpn_minigun,,,,,,500,2000,5001,,,,,,,1,reject,,,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_minigun_dryfire_npc,wpn\lmg\dry_fire\npc,WPN_LMG_SHOT_NPC,wpn_minigun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
