name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
#M60E4-SPC,USED on the DUALS in Quagmire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m60e4_fire_plr_spc,wpn\turret\dual_m60\plr\shot,WPN_LMG_SHOT_PLR,wpn_m60e4,wpn_m60e4_act_plr_spc,,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,quad,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m60e4_act_plr_spc,wpn\turret\dual_m60\plr\act,WPN_LMG_ACT_PLR,wpn_m60e4,wpn_m60e4_fire_plr_lfe_spc,,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m60e4_fire_plr_lfe_spc,wpn\lmg\m60\plr\lfe,WPN_LMG_SHOT_PLR,wpn_m60e4,wpn_m60e4_belt_feed_spc,,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,lfe,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_m60e4_belt_feed_spc,wpn\turret\dual_m60\plr\belt_feed,WPN_LMG_SHOT_PLR,wpn_m60e4,wpn_m60e4_shelleject_npc,,96,96,,,,,,,,,,,,,,,,,,,,,,,,,75,,,front,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PBR_Front_Gunner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_pbr_front_gunner_fire_plr,wpn\lmg\m60\plr\shot,WPN_LMG_SHOT_PLR,wpn_pbr_front_gunner,wpn_pbr_front_gunner_fire_plr_act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_pbr_front_gunner_fire_plr_act,wpn\lmg\m60\plr\act,WPN_LMG_ACT_PLR,wpn_pbr_front_gunner,wpn_pbr_front_gunner_flux_plr_l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_pbr_front_gunner_dryfire_plr,wpn\lmg\dry_fire\plr,WPN_LMG_SHOT_PLR,wpn_pbr_front_gunner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_pbr_front_gunner_flux_plr_l,wpn\lmg\flux\flux_l.wav,WPN_LMG_PLR_FLUX_L,wpn_pbr_front_gunner,wpn_pbr_front_gunner_flux_plr_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_pbr_front_gunner_flux_plr_r,wpn\lmg\flux\flux_r.wav,WPN_LMG_PLR_FLUX_R,wpn_pbr_front_gunner,wpn_pbr_front_gunner_shelleject_plr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_pbr_front_gunner_shelleject_plr,WPN\shell\eject,WPN_SHELL_PLR,wpn_pbr_front_gunner,wpn_pbr_front_gunner_shellimpact_plr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
