name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
# ppsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PLR,#PLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_ppsh_fire_plr,wpn\smg\pm63\plr\shot,WPN_SMG_SHOT_PLR,wpn_ppsh,wpn_ppsh_fire_plr_ring_f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smg_3p_gun_duck,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_ppsh_fire_plr_ring_f,wpn\smg\skorpion\plr\ringoff\ringoff_f.wav,WPN_SMG_RING_PLR,wpn_ppsh,wpn_ppsh_fire_plr_ring_r,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,front,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_ppsh_fire_plr_ring_r,wpn\smg\skorpion\plr\ringoff\ringoff_r.wav,WPN_SMG_RING_PLR,wpn_ppsh,wpn_ppsh_bass_swt,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,back,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_ppsh_bass_swt,wpn\smg\pm63\lfe,WPN_SMG_SHOT_PLR,wpn_ppsh,,,93,93,,,,,,,,,1,,,,,,,,,,,,,,,,,,,lfe,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_ppsh_silencer_fire_plr,wpn\assault\aug\plr\shot\silenced,WPN_ASLT_SHOT_PLR,wpn_ppsh,wpn_ppsh_silencer_bass_swt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,wpn_all,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_ppsh_silencer_bass_swt,wpn\assault\aug\plr\shot\silenced\lfe,WPN_ASLT_SHOT_PLR,wpn_ppsh,,,100,100,,,,,,,,,1,,,,,,,,,,,,,,,,,,,lfe,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_ppsh_dryfire_plr,wpn\smg\dry_fire\plr,WPN_SMG_SHOT_PLR,wpn_ppsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_ppsh_pickup_plr,FLY\pickups\weapon,WPN_PICKUP_PLR,wpn_ppsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_ppsh_1straise_plr,FLY\gear\rattle,WPN_ALL_RELOAD_PLR,wpn_ppsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_ppsh_raise_plr,FLY\gear\rattle,WPN_ALL_RELOAD_PLR,wpn_ppsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_ppsh_slide_back_plr,wpn\smg\ww2\\ppsh\foley\gr_ppsh_slide_forward.wav,WPN_ALL_RELOAD_PLR,wpn_ppsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_ppsh_mag_in_plr,wpn\smg\ww2\\ppsh\foley\gr_ppsh_mag_in.wav,WPN_ALL_RELOAD_PLR,wpn_ppsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_ppsh_mag_out_plr,wpn\smg\ww2\\ppsh\foley\gr_ppsh_mag_out.wav,WPN_ALL_RELOAD_PLR,wpn_ppsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_ppsh_tap_plr,wpn\smg\ww2\\ppsh\foley\gr_ppsh_mag_tap.wav,WPN_ALL_RELOAD_PLR,wpn_ppsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_ppsh_fire,wpn\smg\pm63\plr\shot,WPN_SMG_SHOT_NPC,wpn_ppsh,wpn_ppsh_fire_npc_dist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
