name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
# Zombie Vocals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Universal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zmb_elec_vocals,vox\zmb\standard\elec,zmb_zombie_amb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Standard Zombies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zmb_vocals_zombie_ambience,vox\zmb\standard\amb,zmb_zombie_amb,,,voice,90,93,,100,4500,5000,log1,log0,,,6,priority,1,reject,-300,300,,30,60,0.25,1,3d,,,,,,98,,,,,,,0.75,,,yes,,,,,,,,,,,,,,,,,yes,,voice
zmb_vocals_zombie_teardown,vox\zmb\standard\attack,zmb_zombie_amb,,,voice,94,98,,50,2000,2150,log1,log0,,,5,priority,1,reject,-300,300,,70,90,0.25,1,3d,,,,,,98,,,,,,,0.75,,,no,,,,,,,,,,,,,,,,,yes,,voice
zmb_vocals_zombie_attack,vox\zmb\standard\attack,zmb_zombie_close,,,voice,94,97,,150,1000,1500,log1,log0,,,5,priority,1,reject,-300,300,,70,90,0.25,1,3d,,,,,,98,,,,50,150,94,0.75,,,no,,,,,,,,,,,,,,,,,yes,,voice
zmb_vocals_zombie_sprint,vox\zmb\standard\sprint,zmb_zombie_amb,,,voice,92,94,,50,3000,3500,log2,log0,,,3,priority,1,reject,-300,300,,30,60,0.25,1,3d,,,,,,98,,,,,,,0.5,,,no,,,,,,,,,,,,,,,,,yes,,voice
zmb_vocals_zombie_taunt,vox\zmb\standard\taunt,zmb_zombie_amb,,,voice,91,93,,50,1000,1200,log1,log0,,,3,priority,1,reject,-300,300,,30,60,0.25,1,3d,,,,,,98,,,,,,,0.75,,,no,,,,,,,,,,,,,,,,,yes,,voice
zmb_vocals_zombie_death,vox\zmb\standard\death,zmb_zombie_close,,,voice,94,97,,150,1000,1500,log2,log0,,,6,priority,1,reject,-300,300,,30,60,0.25,1,3d,,,,,,98,,,,,,,0.75,,,no,,,,,,,,,,,,,,,,,,,voice
