name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Monkey Zombie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Vox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zmb_vocals_monkey_ambience,vox\zmb\monkey\scream,zmb_zombie_amb,,,,97,98,,100,2000,2500,log1,log0,,,5,priority,1,reject,-165,165,,30,60,0.25,1,3d,,,pitch,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,
zmb_vocals_monkey_sprint,vox\zmb\monkey\scream,zmb_zombie_amb,,,,97,98,,100,2000,2500,log2,log0,,,3,priority,1,reject,-165,165,,30,60,0.25,1,3d,,,pitch,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,
zmb_vocals_monkey_attack,vox\zmb\monkey\scream,zmb_zombie_close,,,,100,100,,100,4500,5000,log2,log0,,,3,priority,1,reject,-165,165,,30,60,0.25,1,3d,,,pitch,,,98,,,,75,250,94,,,,,,,,,,,,,,,,,,,,,yes,,
zmb_vocals_monkey_death,vox\zmb\monkey\scream,zmb_zombie_close,,,,97,100,,100,4500,5000,log2,log0,,,6,priority,1,reject,-165,165,,70,90,0.25,1,3d,,,pitch,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zmb_vocals_monkey_behind,vox\zmb\monkey\scream,zmb_zombie_close,,,,,,,,,,,,,,4,priority,1,reject,-165,165,,,,,,,,,pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# SFX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zmb_simianaut_chest_hit,evt\zombie_tron\simianaut\chest_hit,evt_3d,,,,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zmb_simianaut_step,evt\zombie_tron\simianaut\step,evt_3d,,,,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zmb_simianaut_groundpound,evt\zombie_tron\simianaut\ground_pound,evt_3d,,,,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# EVENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Centrifuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zmb_cent_alarm,evt\zombie_cosmodrome\centrifuge\cent_alarm.wav,evt_3d,,,,98,98,,500,1500,2500,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zmb_cent_start,evt\zombie_cosmodrome\centrifuge\cent_start.wav,evt_3d,,,,100,100,,500,1500,2500,,,,,,,,,-80,80,,,,,,,,,pitch,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,
zmb_cent_mach_loop,evt\zombie_cosmodrome\centrifuge\cent_mach_loop.wav,evt_3d,,zmb_cent_whoosh_loop,,100,100,,500,1500,2500,,,,,,,,,-80,80,,,,,,,,looping,pitch,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,
zmb_cent_whoosh_loop,evt\zombie_cosmodrome\centrifuge\cent_whoosh_loop.wav,evt_3d,,,,95,95,,500,1500,2500,,,,,,,,,-80,80,,,,,,,,looping,pitch,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,
zmb_cent_close_loop,evt\zombie_cosmodrome\centrifuge\cent_close_loop.wav,evt_3d,,,,98,98,,50,100,125,,,,,,,,,-80,0,,,,,,,,looping,pitch,,,,,,,,,,0.4,,,,,,,,,yes,,,,,,,,,,,,,
zmb_cent_end,evt\zombie_cosmodrome\centrifuge\cent_end.wav,evt_3d,,,,100,100,,500,1500,2500,,,,,,,,,-80,80,,,,,,,,,pitch,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,
