name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
# LEVEL SPEC MUSIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_pentagon_underscore,mus\zombie_theatre,MUS_NORMAL_LOOP_2D,,,,72,72,,,,,,,,,,,,,,,,,,,,,,looping,,,,0,,front_mostly,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# AMBIENCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_office_bg,amb\stereo_backgrounds\zmb_pentagon\office_bg.wav,amb_bg_2d,,,,87,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_warroom_bg,amb\stereo_backgrounds\zmb_pentagon\warroom_bg.wav,amb_bg_2d,,,,89,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_lab_bg,amb\stereo_backgrounds\zmb_pentagon\labs_bg.wav,amb_bg_2d,,,,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Pentagon Offices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_lights_buzz,amb\lights\buzz\buzz_01.wav,AMB_500,,,ambience,86,86,,,,,,,,,,,,,0,0,,,,,,3d,,looping,,,,93,,,,100,150,92,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
amb_clock_tick,amb\clocks\tick\loop\loop.wav,AMB_500,,,ambience,85,85,,,600,600,curve2,curve2,,,,,,,0,0,,,,,,3d,,looping,,,,93,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,ambience
amb_switch_clack,amb\telephones\pentagon\clacks,AMB_500,,,ambience,93,96,,,700,700,,,,,,,,,0,0,,,,,,3d,,,,,,93,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# War Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_printer,amb\electronics\printer\printer_00.wav,AMB_500,,,ambience,95,95,,,,,curve2,curve2,,,,,,,0,0,,,,,,3d,,looping,,,,95,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_comp_sonar,amb\electronics\computer\ping\ping_00.wav,AMB_500,,,ambience,86,86,,,,,curve2,curve2,,,,,,,0,0,,,,,,3d,,looping,,,,95,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_comp_mainframe,amb\electronics\computer\loops\beeps_n_boops\bips.wav,AMB_500,,,ambience,88,88,,,,,curve2,curve2,,,,,,,0,0,,,,,,3d,,looping,,,,95,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_comp_mainframe,amb\electronics\computer\loops\mainframe\mainframe_loop_02.wav,AMB_500,,,ambience,88,88,,,,,curve2,curve2,,,,,,,0,0,,,,,,3d,,looping,,,,95,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_comp_mainframe,amb\electronics\computer\loops\beeps_n_boops\beeps.wav,AMB_500,,,ambience,88,88,,,,,curve2,curve2,,,,,,,0,0,,,,,,3d,,looping,,,,95,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_comp_mainframe,amb\electronics\computer\loops\beeps_n_boops\boops.wav,AMB_500,,,ambience,88,88,,,,,curve2,curve2,,,,,,,0,0,,,,,,3d,,looping,,,,95,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_comp_tape,amb\electronics\computer\loops\reel\reel.wav,AMB_500,,,ambience,95,95,,,,,curve2,curve2,,,,,,,0,0,,,,,,3d,,looping,,,,95,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_projector,amb\projector\amb_projector_00.wav,AMB_500,,,ambience,96,96,,,,,curve2,curve2,,,,,,,0,0,,,,,,3d,,looping,,,,95,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_clock_grandfather,amb\clocks\tick\antique\loop.wav,AMB_500,,,ambience,94,94,,,600,600,curve2,curve2,,,,,,,0,0,,,,,,3d,,looping,,,,93,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,ambience
amb_tv_static,amb\electronics\tv\static\static.wav,AMB_500,,,ambience,91,91,,,,,curve2,curve2,,,,,,,0,0,,,,,,3d,,looping,,,,95,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_power_box,amb\industrial\hum\hum_a.wav,AMB_500,,,ambience,100,100,,,,,curve3,curve2,,,,,,,-88,88,,,,,,3d,,looping,,,,95,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
amb_ac,amb\industrial\fan\ac\ac_00.wav,AMB_500,,,ambience,93,93,,,,,curve3,curve2,,,,,,,-88,88,,,,,,3d,,looping,,,,95,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
amb_alarms,amb\alarms\rebirth\alarm_2001.wav,AMB_1500,,,ambience,100,100,,,,,curve2,curve2,,,4,priority,,,0,0,,,,,,3d,,looping,,,,95,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,ambience
amb_alarms_out,amb\alarms\rebirth\outside.wav,EVT_3D,,,ambience,100,100,,500,9000,14000,curve3,curve2,,,4,priority,,,0,0,,,,,,3d,,looping,,,,95,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience_ext
