name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot
# AMBIENCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Theater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_theater_bg,evt\zombie_theater\theater_amb_loop.wav,amb_bg_2d,,,,88,88,,,,,,,,,,,,,,,,,,,,,,looping,,,,,,quad,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wood_groan,evt\zombie_theater\amb_wood_groan,amb_1000,,,,,,,,,,,,,,,,,,,,,,,,,2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_fire,amb\environment\fire\chemical\chemical_00.wav,amb_1500,,,,92,97,,,,,,,,,,,,,,,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_fire_smolder,amb\environment\fire\smolder,amb_1500,,,,93,93,,,,,,,,,,,,,,,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_howl,amb\environment\wind\howl\eerie,amb_2500,,,,93,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_chandelier_loop,evt\zombie_theater\chandel_loop.wav,amb_1000,,,,89,89,,100,1000,1250,log2,log0,,,,,,,,,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_steam_sputter,amb\industrial\steam\sputter,amb_1000,,,,97,97,,,,,,,,,,,,,,,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_steam_small,amb\industrial\steam\hiss\small,amb_1000,,,,97,97,,,,,,,,,,,,,,,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_metal_clangs,amb\creak\stair,amb_1000,,,,96,100,,100,900,1000,log2,log0,,,,,,,,,,,,,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_rope_stretch,amb\creak\wood,amb_1000,,,,93,100,,100,900,1000,log2,log0,,,,,,,,,,,,,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
