name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot,voice_limit,file_xenon,file_size_xenon,file_ps3,file_size_ps3,file_pc,file_size_pc,file_wii,file_size_wii,source_csv,language
amb_sampan_voice,raw\english\sound\vox\generic\path_vox\vox_vc_distance_00.wav,evt_3d,,,effects,85,91,100,500,4000,5500,curve3,curve4,allon,rdefault,5,priority,5,reject,-100,125,0,100,100,0,1,3d,loaded,nonlooping,,1,0,92,,default,0,0,0,0,0,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,effects,no,raw\english\sound\vox\generic\path_vox\vox_vc_distance_00.xm4,0,raw\english\sound\vox\generic\path_vox\vox_vc_distance_00.mp3,0,raw\english\sound\vox\generic\path_vox\vox_vc_distance_00.wav,0,raw\english\sound\vox\generic\path_vox\vox_vc_distance_00.wds,0,spl_up_a_creek,english
amb_sampan_voice,raw\english\sound\vox\generic\path_vox\vox_vc_distance_01.wav,evt_3d,,,effects,85,91,100,500,4000,5500,curve3,curve4,allon,rdefault,5,priority,5,reject,-100,125,0,100,100,0,1,3d,loaded,nonlooping,,1,0,92,,default,0,0,0,0,0,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,effects,no,raw\english\sound\vox\generic\path_vox\vox_vc_distance_01.xm4,0,raw\english\sound\vox\generic\path_vox\vox_vc_distance_01.mp3,0,raw\english\sound\vox\generic\path_vox\vox_vc_distance_01.wav,0,raw\english\sound\vox\generic\path_vox\vox_vc_distance_01.wds,0,spl_up_a_creek,english
amb_sampan_voice,raw\english\sound\vox\generic\path_vox\vox_vc_distance_02.wav,evt_3d,,,effects,85,91,100,500,4000,5500,curve3,curve4,allon,rdefault,5,priority,5,reject,-100,125,0,100,100,0,1,3d,loaded,nonlooping,,1,0,92,,default,0,0,0,0,0,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,effects,no,raw\english\sound\vox\generic\path_vox\vox_vc_distance_02.xm4,0,raw\english\sound\vox\generic\path_vox\vox_vc_distance_02.mp3,0,raw\english\sound\vox\generic\path_vox\vox_vc_distance_02.wav,0,raw\english\sound\vox\generic\path_vox\vox_vc_distance_02.wds,0,spl_up_a_creek,english
amb_sampan_voice,raw\english\sound\vox\generic\path_vox\vox_vc_distance_03.wav,evt_3d,,,effects,85,91,100,500,4000,5500,curve3,curve4,allon,rdefault,5,priority,5,reject,-100,125,0,100,100,0,1,3d,loaded,nonlooping,,1,0,92,,default,0,0,0,0,0,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,effects,no,raw\english\sound\vox\generic\path_vox\vox_vc_distance_03.xm4,0,raw\english\sound\vox\generic\path_vox\vox_vc_distance_03.mp3,0,raw\english\sound\vox\generic\path_vox\vox_vc_distance_03.wav,0,raw\english\sound\vox\generic\path_vox\vox_vc_distance_03.wds,0,spl_up_a_creek,english
amb_sampan_voice,raw\english\sound\vox\generic\path_vox\vox_vc_distance_04.wav,evt_3d,,,effects,85,91,100,500,4000,5500,curve3,curve4,allon,rdefault,5,priority,5,reject,-100,125,0,100,100,0,1,3d,loaded,nonlooping,,1,0,92,,default,0,0,0,0,0,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,effects,no,raw\english\sound\vox\generic\path_vox\vox_vc_distance_04.xm4,0,raw\english\sound\vox\generic\path_vox\vox_vc_distance_04.mp3,0,raw\english\sound\vox\generic\path_vox\vox_vc_distance_04.wav,0,raw\english\sound\vox\generic\path_vox\vox_vc_distance_04.wds,0,spl_up_a_creek,english
amb_sampan_voice,raw\english\sound\vox\generic\path_vox\vox_vc_distance_05.wav,evt_3d,,,effects,85,91,100,500,4000,5500,curve3,curve4,allon,rdefault,5,priority,5,reject,-100,125,0,100,100,0,1,3d,loaded,nonlooping,,1,0,92,,default,0,0,0,0,0,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,effects,no,raw\english\sound\vox\generic\path_vox\vox_vc_distance_05.xm4,0,raw\english\sound\vox\generic\path_vox\vox_vc_distance_05.mp3,0,raw\english\sound\vox\generic\path_vox\vox_vc_distance_05.wav,0,raw\english\sound\vox\generic\path_vox\vox_vc_distance_05.wds,0,spl_up_a_creek,english
amb_sampan_voice,raw\english\sound\vox\generic\path_vox\vox_vc_distance_06.wav,evt_3d,,,effects,85,91,100,500,4000,5500,curve3,curve4,allon,rdefault,5,priority,5,reject,-100,125,0,100,100,0,1,3d,loaded,nonlooping,,1,0,92,,default,0,0,0,0,0,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,effects,no,raw\english\sound\vox\generic\path_vox\vox_vc_distance_06.xm4,0,raw\english\sound\vox\generic\path_vox\vox_vc_distance_06.mp3,0,raw\english\sound\vox\generic\path_vox\vox_vc_distance_06.wav,0,raw\english\sound\vox\generic\path_vox\vox_vc_distance_06.wds,0,spl_up_a_creek,english
chr_breathing_better,raw\english\sound\vox\dds\us\breath\carter\breathing_better.wav,vox_local_plr_2d,,,voice_player,96,96,100,0,0,0,log2,log1,allon,rdefault,1,reject,5,reject,0,0,0,100,100,0,1,2d,streamed,nonlooping,,1,0,90,,quad,0,0,0,0,0.1,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,yes,voice,voice_player,yes,discdata\english\sound\vox\dds\us\breath\carter\breathing_better.xm4,0,discdata\english\sound\vox\dds\us\breath\carter\breathing_better.mp3,0,discdata\english\sound\vox\dds\us\breath\carter\breathing_better.wav,0,discdata\english\sound\vox\dds\us\breath\carter\breathing_better.wds,0,cmn_exerts,english
chr_breathing_hurt,raw\english\sound\vox\dds\us\breath\carter\hurt\hurt_00.wav,vox_local_plr_2d,,,voice_player,96,96,100,0,0,0,log2,log1,allon,rdefault,1,reject,5,reject,0,0,0,100,100,0,1,2d,streamed,nonlooping,,1,0,90,,quad,0,0,0,0,0.1,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,yes,voice,voice_player,yes,discdata\english\sound\vox\dds\us\breath\carter\hurt\hurt_00.xm4,0,discdata\english\sound\vox\dds\us\breath\carter\hurt\hurt_00.mp3,0,discdata\english\sound\vox\dds\us\breath\carter\hurt\hurt_00.wav,0,discdata\english\sound\vox\dds\us\breath\carter\hurt\hurt_00.wds,0,cmn_exerts,english
chr_breathing_hurt,raw\english\sound\vox\dds\us\breath\carter\hurt\hurt_01.wav,vox_local_plr_2d,,,voice_player,96,96,100,0,0,0,log2,log1,allon,rdefault,1,reject,5,reject,0,0,0,100,100,0,1,2d,streamed,nonlooping,,1,0,90,,quad,0,0,0,0,0.1,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,yes,voice,voice_player,yes,discdata\english\sound\vox\dds\us\breath\carter\hurt\hurt_01.xm4,0,discdata\english\sound\vox\dds\us\breath\carter\hurt\hurt_01.mp3,0,discdata\english\sound\vox\dds\us\breath\carter\hurt\hurt_01.wav,0,discdata\english\sound\vox\dds\us\breath\carter\hurt\hurt_01.wds,0,cmn_exerts,english
