name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot,voice_limit,file_xenon,file_size_xenon,file_ps3,file_size_ps3,file_pc,file_size_pc,source_csv,language
amb_fire_manager_0,raw\sound\wpn\flame\dyn_fire\dyn_fire_00.wav,,wpn_flamethrower,,event,97,100,100,100,1250,1500,log2,log1,allon,rdefault,5,priority,5,reject,-88,84,0,25,80,0.25,1,3d,loaded,looping,,1,0,96,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,event,no,raw\sound\wpn\flame\dyn_fire\dyn_fire_00_l.xm4,0,raw\sound\wpn\flame\dyn_fire\dyn_fire_00_l.mp3,0,raw\sound\wpn\flame\dyn_fire\dyn_fire_00_l.wav,0,wpn_special,all
amb_fire_manager_1,raw\sound\wpn\flame\dyn_fire\dyn_fire_01.wav,,wpn_flamethrower,,event,97,100,100,100,1250,1500,log2,log1,allon,rdefault,5,priority,5,reject,-88,84,0,25,80,0.25,1,3d,loaded,looping,,1,0,96,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,event,no,raw\sound\wpn\flame\dyn_fire\dyn_fire_01_l.xm4,0,raw\sound\wpn\flame\dyn_fire\dyn_fire_01_l.mp3,0,raw\sound\wpn\flame\dyn_fire\dyn_fire_01_l.wav,0,wpn_special,all
amb_fire_manager_2,raw\sound\wpn\flame\dyn_fire\dyn_fire_02.wav,,wpn_flamethrower,,event,97,100,100,100,1250,1500,log2,log1,allon,rdefault,5,priority,5,reject,-88,84,0,25,80,0.25,1,3d,loaded,looping,,1,0,96,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,event,no,raw\sound\wpn\flame\dyn_fire\dyn_fire_02_l.xm4,0,raw\sound\wpn\flame\dyn_fire\dyn_fire_02_l.mp3,0,raw\sound\wpn\flame\dyn_fire\dyn_fire_02_l.wav,0,wpn_special,all
amb_fire_manager_3,raw\sound\wpn\flame\dyn_fire\dyn_fire_03.wav,,wpn_flamethrower,,event,97,100,100,100,1250,1500,log2,log1,allon,rdefault,5,priority,5,reject,-88,84,0,25,80,0.25,1,3d,loaded,looping,,1,0,96,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,event,no,raw\sound\wpn\flame\dyn_fire\dyn_fire_03_l.xm4,0,raw\sound\wpn\flame\dyn_fire\dyn_fire_03_l.mp3,0,raw\sound\wpn\flame\dyn_fire\dyn_fire_03_l.wav,0,wpn_special,all
amb_fire_manager_4,raw\sound\wpn\flame\dyn_fire\dyn_fire_00.wav,,wpn_flamethrower,,event,97,100,100,100,1250,1500,log2,log1,allon,rdefault,5,priority,5,reject,-88,84,0,25,80,0.25,1,3d,loaded,looping,,1,0,96,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,event,no,raw\sound\wpn\flame\dyn_fire\dyn_fire_00_l.xm4,0,raw\sound\wpn\flame\dyn_fire\dyn_fire_00_l.mp3,0,raw\sound\wpn\flame\dyn_fire\dyn_fire_00_l.wav,0,wpn_special,all
amb_fire_manager_5,raw\sound\wpn\flame\dyn_fire\dyn_fire_01.wav,,wpn_flamethrower,,event,97,100,100,100,1250,1500,log2,log1,allon,rdefault,5,priority,5,reject,-88,84,0,25,80,0.25,1,3d,loaded,looping,,1,0,96,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,event,no,raw\sound\wpn\flame\dyn_fire\dyn_fire_01_l.xm4,0,raw\sound\wpn\flame\dyn_fire\dyn_fire_01_l.mp3,0,raw\sound\wpn\flame\dyn_fire\dyn_fire_01_l.wav,0,wpn_special,all
amb_fire_manager_6,raw\sound\wpn\flame\dyn_fire\dyn_fire_02.wav,,wpn_flamethrower,,event,97,100,100,100,1250,1500,log2,log1,allon,rdefault,5,priority,5,reject,-88,84,0,25,80,0.25,1,3d,loaded,looping,,1,0,96,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,event,no,raw\sound\wpn\flame\dyn_fire\dyn_fire_02_l.xm4,0,raw\sound\wpn\flame\dyn_fire\dyn_fire_02_l.mp3,0,raw\sound\wpn\flame\dyn_fire\dyn_fire_02_l.wav,0,wpn_special,all
amb_fire_manager_7,raw\sound\wpn\flame\dyn_fire\dyn_fire_03.wav,,wpn_flamethrower,,event,97,100,100,100,1250,1500,log2,log1,allon,rdefault,5,priority,5,reject,-88,84,0,25,80,0.25,1,3d,loaded,looping,,1,0,96,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,event,no,raw\sound\wpn\flame\dyn_fire\dyn_fire_03_l.xm4,0,raw\sound\wpn\flame\dyn_fire\dyn_fire_03_l.mp3,0,raw\sound\wpn\flame\dyn_fire\dyn_fire_03_l.wav,0,wpn_special,all
aml_dog_attack_jump,raw\sound\aml\dog\attack\attack_00.wav,chr_dog_event,char_dog,,event,95,96,100,500,6000,6000,curve3,curve3,allon,rdefault,5,priority,5,reject,0,0,0,60,90,0,0.9,3d,loaded,nonlooping,pitch,1,0,98,,default,0,0,0,0,0.2,0.5,no,yes,none,1000,no,,both,no,no,,,75,yes,no,0,0,wma,yes,no,world,event,no,raw\sound\aml\dog\attack\attack_00.xm4,0,raw\sound\aml\dog\attack\attack_00.mp3,0,raw\sound\aml\dog\attack\attack_00.wav,0,cmn_dogs,all
aml_dog_attack_jump,raw\sound\aml\dog\attack\attack_01.wav,chr_dog_event,char_dog,,event,95,96,100,500,6000,6000,curve3,curve3,allon,rdefault,5,priority,5,reject,0,0,0,60,90,0,0.9,3d,loaded,nonlooping,pitch,1,0,98,,default,0,0,0,0,0.2,0.5,no,yes,none,1000,no,,both,no,no,,,75,yes,no,0,0,wma,yes,no,world,event,no,raw\sound\aml\dog\attack\attack_01.xm4,0,raw\sound\aml\dog\attack\attack_01.mp3,0,raw\sound\aml\dog\attack\attack_01.wav,0,cmn_dogs,all
