name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot,voice_limit,file_xenon,file_size_xenon,file_ps3,file_size_ps3,file_pc,file_size_pc,file_wii,file_size_wii,source_csv,language
chr_death_gibs,raw\sound\fly\gibs\gibs_00.wav,,char_human,,event,100,100,100,2000,4000,6000,curve4,default,allon,rdefault,5,priority,3,reject,-182,133,0,50,90,0.15,0.65,3d,loaded,nonlooping,,1,0,96,,default,0,0,0,0,0.1,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,event,no,raw\sound\fly\gibs\gibs_00.xm4,0,raw\sound\fly\gibs\gibs_00.mp3,0,raw\sound\fly\gibs\gibs_00.wav,0,raw\sound\fly\gibs\gibs_00.wds,0,cmn_foley,all
chr_death_gibs,raw\sound\fly\gibs\gibs_01.wav,,char_human,,event,100,100,100,2000,4000,6000,curve4,default,allon,rdefault,5,priority,3,reject,-182,133,0,50,90,0.15,0.65,3d,loaded,nonlooping,,1,0,96,,default,0,0,0,0,0.1,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,event,no,raw\sound\fly\gibs\gibs_01.xm4,0,raw\sound\fly\gibs\gibs_01.mp3,0,raw\sound\fly\gibs\gibs_01.wav,0,raw\sound\fly\gibs\gibs_01.wds,0,cmn_foley,all
chr_death_gibs,raw\sound\fly\gibs\gibs_02.wav,,char_human,,event,100,100,100,2000,4000,6000,curve4,default,allon,rdefault,5,priority,3,reject,-182,133,0,50,90,0.15,0.65,3d,loaded,nonlooping,,1,0,96,,default,0,0,0,0,0.1,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,event,no,raw\sound\fly\gibs\gibs_02.xm4,0,raw\sound\fly\gibs\gibs_02.mp3,0,raw\sound\fly\gibs\gibs_02.wav,0,raw\sound\fly\gibs\gibs_02.wds,0,cmn_foley,all
chr_death_gibs,raw\sound\fly\gibs\gibs_03.wav,,char_human,,event,100,100,100,2000,4000,6000,curve4,default,allon,rdefault,5,priority,3,reject,-182,133,0,50,90,0.15,0.65,3d,loaded,nonlooping,,1,0,96,,default,0,0,0,0,0.1,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,event,no,raw\sound\fly\gibs\gibs_03.xm4,0,raw\sound\fly\gibs\gibs_03.mp3,0,raw\sound\fly\gibs\gibs_03.wav,0,raw\sound\fly\gibs\gibs_03.wds,0,cmn_foley,all
chr_gib_epic,raw\sound\fly\gibs\epic\fly_gib_00.wav,,char_human,,event,100,100,100,2000,4000,6000,curve4,default,allon,rdefault,5,priority,3,reject,-182,133,0,50,90,0.15,0.65,3d,loaded,nonlooping,,1,0,96,,default,0,0,0,0,0.1,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,event,no,raw\sound\fly\gibs\epic\fly_gib_00.xm4,0,raw\sound\fly\gibs\epic\fly_gib_00.mp3,0,raw\sound\fly\gibs\epic\fly_gib_00.wav,0,raw\sound\fly\gibs\epic\fly_gib_00.wds,0,cmn_foley,all
chr_gib_epic,raw\sound\fly\gibs\epic\fly_gib_01.wav,,char_human,,event,100,100,100,2000,4000,6000,curve4,default,allon,rdefault,5,priority,3,reject,-182,133,0,50,90,0.15,0.65,3d,loaded,nonlooping,,1,0,96,,default,0,0,0,0,0.1,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,event,no,raw\sound\fly\gibs\epic\fly_gib_01.xm4,0,raw\sound\fly\gibs\epic\fly_gib_01.mp3,0,raw\sound\fly\gibs\epic\fly_gib_01.wav,0,raw\sound\fly\gibs\epic\fly_gib_01.wds,0,cmn_foley,all
chr_gib_epic,raw\sound\fly\gibs\epic\fly_gib_02.wav,,char_human,,event,100,100,100,2000,4000,6000,curve4,default,allon,rdefault,5,priority,3,reject,-182,133,0,50,90,0.15,0.65,3d,loaded,nonlooping,,1,0,96,,default,0,0,0,0,0.1,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,event,no,raw\sound\fly\gibs\epic\fly_gib_02.xm4,0,raw\sound\fly\gibs\epic\fly_gib_02.mp3,0,raw\sound\fly\gibs\epic\fly_gib_02.wav,0,raw\sound\fly\gibs\epic\fly_gib_02.wds,0,cmn_foley,all
chr_gib_epic,raw\sound\fly\gibs\epic\fly_gib_03.wav,,char_human,,event,100,100,100,2000,4000,6000,curve4,default,allon,rdefault,5,priority,3,reject,-182,133,0,50,90,0.15,0.65,3d,loaded,nonlooping,,1,0,96,,default,0,0,0,0,0.1,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,event,no,raw\sound\fly\gibs\epic\fly_gib_03.xm4,0,raw\sound\fly\gibs\epic\fly_gib_03.mp3,0,raw\sound\fly\gibs\epic\fly_gib_03.wav,0,raw\sound\fly\gibs\epic\fly_gib_03.wds,0,cmn_foley,all
dst_car_bullet_impact,raw\sound\prj\bullet\impacts\sm\metal\metal_00.wav,prj_bullet_imp_large,surf_metal prj_large,dst_car_bullet_rico,projectile,95,97,100,150,600,600,log2,default,allon,rdefault,5,priority,5,reject,-281,500,0,50,80,0.35,0.8,3d,loaded,nonlooping,pitch,1,100,95,projectile_close,default,0,50,250,100,0.1,0.5,no,no,none,1000,no,,both,no,no,,,75,yes,no,0,0,wma,yes,no,world,projectile,no,raw\sound\prj\bullet\impacts\sm\metal\metal_00.xm4,0,raw\sound\prj\bullet\impacts\sm\metal\metal_00.mp3,0,raw\sound\prj\bullet\impacts\sm\metal\metal_00.wav,0,raw\sound\prj\bullet\impacts\sm\metal\metal_00.wds,0,cmn_projectiles,all
dst_car_bullet_impact,raw\sound\prj\bullet\impacts\sm\metal\metal_01.wav,prj_bullet_imp_large,surf_metal prj_large,dst_car_bullet_rico,projectile,95,97,100,150,600,600,log2,default,allon,rdefault,5,priority,5,reject,-281,500,0,50,80,0.35,0.8,3d,loaded,nonlooping,pitch,1,100,95,projectile_close,default,0,50,250,100,0.1,0.5,no,no,none,1000,no,,both,no,no,,,75,yes,no,0,0,wma,yes,no,world,projectile,no,raw\sound\prj\bullet\impacts\sm\metal\metal_01.xm4,0,raw\sound\prj\bullet\impacts\sm\metal\metal_01.mp3,0,raw\sound\prj\bullet\impacts\sm\metal\metal_01.wav,0,raw\sound\prj\bullet\impacts\sm\metal\metal_01.wds,0,cmn_projectiles,all
