name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot,voice_limit,file_xenon,file_size_xenon,file_ps3,file_size_ps3,file_pc,file_size_pc,source_csv,language
mpl_ui_timer_countdown,raw\sound\uin\timer\beep\evt_mpl_clock_beep.wav,uin_button_2d,menu,,ui,90,90,100,0,0,0,default,default,allon,rdefault,2,oldest,5,reject,0,0,0,100,100,0,1,2d,loaded,nonlooping,,1,0,0,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,no,no,world,ui,no,raw\sound\uin\timer\beep\evt_mpl_clock_beep.xm4,0,raw\sound\uin\timer\beep\evt_mpl_clock_beep.mp3,0,raw\sound\uin\timer\beep\evt_mpl_clock_beep.wav,0,cmn_ui,all
mus_mp_frontend,raw\sound\mus\mp\frontend\mus_mp_frontend_lp.wav,mus_normal_loop_2d,mp_menu,,music,95,95,100,0,0,0,default,default,allon,rdefault,5,priority,5,reject,0,0,0,100,100,0.25,1,2d,streamed,looping,,1,0,0,,music,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,yes,0,0,wma,yes,no,world,music,no,discdata\sound\mus\mp\frontend\mus_mp_frontend_lp_l.xm4,0,discdata\sound\mus\mp\frontend\mus_mp_frontend_lp_l.mp3,0,discdata\sound\mus\mp\frontend\mus_mp_frontend_lp_l.wav,0,cmn_ui,all
uin_aar_cp_fill,raw\sound\uin\aar\cp_fill.wav,uin_button_2d,menu,,ui,90,90,100,0,0,0,default,default,allon,rdefault,2,oldest,5,reject,0,0,0,100,100,0,1,2d,loaded,nonlooping,,1,0,0,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,no,no,world,ui,no,raw\sound\uin\aar\cp_fill.xm4,0,raw\sound\uin\aar\cp_fill.mp3,0,raw\sound\uin\aar\cp_fill.wav,0,cmn_ui,all
uin_aar_unlock,raw\sound\uin\aar\unlock.wav,uin_button_2d,menu,,ui,90,90,100,0,0,0,default,default,allon,rdefault,2,oldest,5,reject,0,0,0,100,100,0,1,2d,streamed,nonlooping,,1,0,0,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,no,no,world,ui,no,discdata\sound\uin\aar\unlock.xm4,0,discdata\sound\uin\aar\unlock.mp3,0,discdata\sound\uin\aar\unlock.wav,0,cmn_ui,all
uin_aar_unlock_loud,raw\sound\uin\aar\unlock.wav,uin_button_2d,menu,,event,96,96,100,0,0,0,default,default,allon,rdefault,2,oldest,5,reject,0,0,0,100,100,0,1,2d,streamed,nonlooping,,1,0,0,,front_mostly,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,no,no,world,event,no,discdata\sound\uin\aar\unlock.xm4,0,discdata\sound\uin\aar\unlock.mp3,0,discdata\sound\uin\aar\unlock.wav,0,cmn_ui,all
uin_aar_xp_fill,raw\sound\uin\aar\xp_fill.wav,uin_button_2d,menu,,ui,90,90,100,0,0,0,default,default,allon,rdefault,2,oldest,5,reject,0,0,0,100,100,0,1,2d,loaded,nonlooping,,1,0,0,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,no,no,world,ui,no,raw\sound\uin\aar\xp_fill.xm4,0,raw\sound\uin\aar\xp_fill.mp3,0,raw\sound\uin\aar\xp_fill.wav,0,cmn_ui,all
uin_alert_lockon,raw\sound\uin\alert\lockon\lockon.wav,uin_button_2d,,,ui,90,90,100,0,0,0,default,default,allon,rdefault,2,oldest,5,reject,0,0,0,100,100,0,1,2d,loaded,nonlooping,,1,0,0,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,no,no,world,ui,no,raw\sound\uin\alert\lockon\lockon.xm4,0,raw\sound\uin\alert\lockon\lockon.mp3,0,raw\sound\uin\alert\lockon\lockon.wav,0,cmn_ui,all
uin_alert_lockon_start,raw\sound\uin\alert\lockon\lockon_start.wav,uin_button_2d,,,ui,90,90,100,0,0,0,default,default,allon,rdefault,2,oldest,5,reject,0,0,0,100,100,0,1,2d,loaded,nonlooping,,1,0,0,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,no,no,world,ui,no,raw\sound\uin\alert\lockon\lockon_start.xm4,0,raw\sound\uin\alert\lockon\lockon_start.mp3,0,raw\sound\uin\alert\lockon\lockon_start.wav,0,cmn_ui,all
uin_alert_slideout,raw\sound\uin\alert\slideout\slide_out.wav,uin_button_2d,menu,,ui,90,90,100,0,0,0,default,default,allon,rdefault,2,oldest,5,reject,0,0,0,100,100,0,1,2d,loaded,nonlooping,,1,0,0,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,no,no,world,ui,no,raw\sound\uin\alert\slideout\slide_out.xm4,0,raw\sound\uin\alert\slideout\slide_out.mp3,0,raw\sound\uin\alert\slideout\slide_out.wav,0,cmn_ui,all
uin_gamble,raw\sound\uin\gamble\gamble.wav,uin_button_2d,menu,,ui,90,90,100,0,0,0,default,default,allon,rdefault,2,oldest,5,reject,0,0,0,100,100,0,1,2d,loaded,nonlooping,,1,0,0,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,no,no,world,ui,no,raw\sound\uin\gamble\gamble.xm4,0,raw\sound\uin\gamble\gamble.mp3,0,raw\sound\uin\gamble\gamble.wav,0,cmn_ui,all
